,labels_statlog_DBSCAN_params11,labels_statlog_DBSCAN_params16,labels_statlog_DBSCAN_params21,labels_statlog_DBSCAN_params22,labels_statlog_DBSCAN_params26,labels_statlog_DBSCAN_params27,labels_statlog_DBSCAN_params31,labels_statlog_DBSCAN_params32,labels_statlog_DBSCAN_params33,labels_statlog_DBSCAN_params36,labels_statlog_DBSCAN_params37,labels_statlog_DBSCAN_params38,labels_statlog_DBSCAN_params39,labels_statlog_DBSCAN_params41,labels_statlog_DBSCAN_params42,labels_statlog_DBSCAN_params43,labels_statlog_DBSCAN_params44,labels_statlog_DBSCAN_params46,labels_statlog_DBSCAN_params47,labels_statlog_DBSCAN_params48,labels_statlog_DBSCAN_params49,labels_statlog_DBSCAN_params51,labels_statlog_DBSCAN_params52,labels_statlog_DBSCAN_params53,labels_statlog_DBSCAN_params54,labels_statlog_DBSCAN_params55
cSIL,,,,,,,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE,12712.585545188245,13622.197885769048,10510.200110507434,13118.565504431972,9642.51274042661,9760.437330054567,20703.152620555767,10474.30614837975,13945.337999135547,17523.087967379746,13700.781981969447,10684.598505797734,10193.960793487335,12975.982558393625,12058.0104293879,14097.763420841891,8573.59573179356,10954.359071691742,12224.490855486723,13163.484170393735,22313.100991570343,13726.619065804123,13862.737546071612,12346.26323479671,15699.207381263815,11840.378075558925
RS,,,,,,,,,,,,,,,,,,,,,,,,,,
DH,0.22793406880198427,0.011717555345070777,0.001690742015358548,0.03562970275837927,0.0006557473025566051,0.005882336833498734,0.0005624181852863379,0.0018475348542550795,0.015477653973329298,0.000923463232534951,0.0018618248445728004,0.008316863582372751,0.07792902414409102,0.0016949050554491416,0.00276640523328977,0.007618839328283289,0.03843590003017912,0.003970041221202573,0.007063012338257529,0.009199877362951723,0.0388122205109695,0.012691623939886076,0.02649160589167449,0.05913842284236213,0.05835591753178654,0.0647687689046088
B,0.001611822286255771,0.022857959602766598,0.10739374737443581,0.020282838437753414,0.34284675920331126,0.09631053765395743,0.757204315266601,0.5582707464933169,0.14055667585715642,1.3130467675926285,0.8638716459141706,0.6075521699075133,0.06172578158176858,1.9520912092739238,1.55538661102853,0.8088118046768473,0.33227100035106505,1.7777442476208427,1.8298530497463472,1.354012354201812,0.5422024329531958,1.7472050441836833,1.7849677830412483,1.7324519057419394,1.0526687313301226,1.1317934471971973
BH,0.00022066534239301565,0.0026349555319783342,0.011252297697018085,0.009114794400292803,0.03364321700654325,0.0530549205219152,0.2626712482255349,0.36296874942272567,0.2860826643205097,1.723373141213577,2.1165616311135884,3.1821061142651224,0.5262458879023536,3.9300087752788584,4.367866732371771,6.7712451532654025,4.007721430324029,16.54748311192805,20.605228577210337,15.562541305187125,17.73082739134255,102.7168118286856,163.043993164327,259.2998702550222,261.0493414600706,69.14735197785207
D,68.58402455829444,2.402379649173594,0.36754407517904636,0.7957166227647419,0.20436567246649065,0.2700216097732106,0.12037909151065533,0.1588739904711445,0.42742316643978995,0.10746365269712128,0.10187649391946335,0.14971356367605032,0.5874829712828954,0.12313400650827688,0.09378203836472257,0.14624750371825818,0.27299865606349705,0.11062080705951462,0.14056124425180433,0.18160123441884837,0.2820623171430127,0.1638942189580857,0.18391678923440263,0.18391678923440263,0.17989008824203506,0.3173084034020734
H,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.002876318312547609,0.015819750719025076,0.03663714149526341,0.006630375263357956,0.08599610179844872,0.008751671319784238,0.09121977107063997,0.017932181004005354,0.023992521078643067,0.08605062665207942,0.02365243489615698,0.03641596688547238,0.02648806231118698,0.05508454372396139,0.040009667109600425,0.06714544358359781,0.04534974817030819,0.11984271383829079,0.1294156500966757,0.07536658276734029,0.08249993122120103,0.4347141734240957,0.418233980615949,0.4787264049322787,0.39189515942718234,0.2135861838909156
I,84678662.39340355,526135.8338704573,4831.826424162109,715536.0204078134,62.28460746921782,1592.0225027255167,1.344809615064232,17.254912393114736,816.6994789765465,0.19618431342093703,1.1031212189892559,36.14956796175126,2320.4580911794874,0.1168929438719081,0.3734023446855101,5.028846398605843,94.27401093102132,0.1077651429404073,0.25522377246548994,1.2729607082063592,51.696497316844734,0.16069878248525232,0.4138181856884836,1.0357060473935658,1.8714208940323085,9.315471635636454
C,0.5527970753875112,0.5868382883099285,0.6019333480683896,0.5988662809504749,0.5748331941742574,0.6230507843579601,0.4646070409540324,0.5446881402587073,0.6073632132740023,0.3663984040006508,0.4067107389809768,0.5316594765872206,0.6349811179353826,0.27495763027957687,0.3307661304873922,0.44215442452497883,0.5849982706587301,0.15068272007559327,0.19822143559758093,0.32679574106193254,0.4834508787738687,0.12917676628866578,0.13229683621655966,0.13899358792045133,0.15938018659620143,0.32861466076124685
VIASCKDE,0.11082090489595733,0.09340747373589744,0.0916173102952027,0.11309800522332737,0.10777930427363117,0.10103920485525976,0.1483907994575932,0.12882310476722772,0.1062851249052374,0.1713726641048598,0.15387578329409946,0.11463744776754986,0.11433919366238558,0.17950329294119002,0.16621304908259252,0.13352906561609518,0.11890086443960282,0.16807636093505732,0.160577809736139,0.14343964368754575,0.12317167876824393,0.13511109037226962,0.132380520826243,0.1277293930155546,0.12628193241486865,0.13025818232046515
