,labels_yaleA_HDBSCAN_params1,labels_yaleA_HDBSCAN_params10,labels_yaleA_HDBSCAN_params11,labels_yaleA_HDBSCAN_params12,labels_yaleA_HDBSCAN_params13,labels_yaleA_HDBSCAN_params14,labels_yaleA_HDBSCAN_params15,labels_yaleA_HDBSCAN_params16,labels_yaleA_HDBSCAN_params17,labels_yaleA_HDBSCAN_params18,labels_yaleA_HDBSCAN_params19,labels_yaleA_HDBSCAN_params2,labels_yaleA_HDBSCAN_params20,labels_yaleA_HDBSCAN_params21,labels_yaleA_HDBSCAN_params22,labels_yaleA_HDBSCAN_params23,labels_yaleA_HDBSCAN_params24,labels_yaleA_HDBSCAN_params25,labels_yaleA_HDBSCAN_params26,labels_yaleA_HDBSCAN_params27,labels_yaleA_HDBSCAN_params28,labels_yaleA_HDBSCAN_params29,labels_yaleA_HDBSCAN_params3,labels_yaleA_HDBSCAN_params30,labels_yaleA_HDBSCAN_params31,labels_yaleA_HDBSCAN_params32,labels_yaleA_HDBSCAN_params33,labels_yaleA_HDBSCAN_params34,labels_yaleA_HDBSCAN_params35,labels_yaleA_HDBSCAN_params36,labels_yaleA_HDBSCAN_params37,labels_yaleA_HDBSCAN_params38,labels_yaleA_HDBSCAN_params39,labels_yaleA_HDBSCAN_params4,labels_yaleA_HDBSCAN_params40,labels_yaleA_HDBSCAN_params41,labels_yaleA_HDBSCAN_params42,labels_yaleA_HDBSCAN_params43,labels_yaleA_HDBSCAN_params44,labels_yaleA_HDBSCAN_params45,labels_yaleA_HDBSCAN_params46,labels_yaleA_HDBSCAN_params47,labels_yaleA_HDBSCAN_params48,labels_yaleA_HDBSCAN_params49,labels_yaleA_HDBSCAN_params5,labels_yaleA_HDBSCAN_params50,labels_yaleA_HDBSCAN_params51,labels_yaleA_HDBSCAN_params52,labels_yaleA_HDBSCAN_params53,labels_yaleA_HDBSCAN_params54,labels_yaleA_HDBSCAN_params55,labels_yaleA_HDBSCAN_params56,labels_yaleA_HDBSCAN_params6,labels_yaleA_HDBSCAN_params7,labels_yaleA_HDBSCAN_params8,labels_yaleA_HDBSCAN_params9
cSIL,0.8273789035054017,0.7972131861579633,0.7972131861579633,0.7972131861579633,0.7972131861579633,0.7972131861579633,0.7582375627007059,0.7582375627007059,0.7582375627007059,0.7582375627007059,0.7582375627007059,0.8273789035054017,0.7582375627007059,0.7582375627007059,0.7762746293464519,0.7762746293464519,0.7762746293464519,0.7762746293464519,0.7762746293464519,0.7762746293464519,0.7762746293464519,0.6817853607624391,0.8273789035054017,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.7582375627007059,0.7582375627007059,0.7582375627007059,0.7582375627007059,0.8273789035054017,0.7582375627007059,0.7582375627007059,0.7582375627007059,0.5913517985621739,0.5913517985621739,0.5913517985621739,0.5913517985621739,0.5913517985621739,0.5913517985621739,0.5913517985621739,0.8273789035054017,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.6817853607624391,0.8273789035054017,0.8273789035054017,0.7972131861579633,0.7972131861579633
GD43,0.018783815753741884,0.03262320440446162,0.03262320440446162,0.03262320440446162,0.03262320440446162,0.03262320440446162,0.045085616493214874,0.045085616493214874,0.045085616493214874,0.045085616493214874,0.045085616493214874,0.018783815753741884,0.045085616493214874,0.045085616493214874,0.031206547485324487,0.031206547485324487,0.031206547485324487,0.031206547485324487,0.031206547485324487,0.031206547485324487,0.031206547485324487,0.03542958989810735,0.018783815753741884,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.045085616493214874,0.045085616493214874,0.045085616493214874,0.045085616493214874,0.018783815753741884,0.045085616493214874,0.045085616493214874,0.045085616493214874,0.02576389653428123,0.02576389653428123,0.02576389653428123,0.02576389653428123,0.02576389653428123,0.02576389653428123,0.02576389653428123,0.018783815753741884,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.03542958989810735,0.018783815753741884,0.018783815753741884,0.03262320440446162,0.03262320440446162
GD53,0.07087267142989216,0.4877476054300949,0.4877476054300949,0.4877476054300949,0.4877476054300949,0.4877476054300949,0.4425906432902314,0.4425906432902314,0.4425906432902314,0.4425906432902314,0.4425906432902314,0.07087267142989216,0.4425906432902314,0.4425906432902314,0.48600189859946075,0.48600189859946075,0.48600189859946075,0.48600189859946075,0.48600189859946075,0.48600189859946075,0.48600189859946075,0.4694198550398982,0.07087267142989216,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4425906432902314,0.4425906432902314,0.4425906432902314,0.4425906432902314,0.07087267142989216,0.4425906432902314,0.4425906432902314,0.4425906432902314,0.4519669387468272,0.4519669387468272,0.4519669387468272,0.4519669387468272,0.4519669387468272,0.4519669387468272,0.4519669387468272,0.07087267142989216,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.4694198550398982,0.07087267142989216,0.07087267142989216,0.4877476054300949,0.4877476054300949
PS,3.6965896999909997,1.0150928601535663,1.0150928601535663,1.0150928601535663,1.0150928601535663,1.0150928601535663,1.752842406433058,1.752842406433058,1.752842406433058,1.752842406433058,1.752842406433058,3.6965896999909997,1.752842406433058,1.752842406433058,1.0550353888891983,1.0550353888891983,1.0550353888891983,1.0550353888891983,1.0550353888891983,1.0550353888891983,1.0550353888891983,1.8751334281048848,3.6965896999909997,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.752842406433058,1.752842406433058,1.752842406433058,1.752842406433058,3.6965896999909997,1.752842406433058,1.752842406433058,1.752842406433058,1.7633687222225318,1.7633687222225318,1.7633687222225318,1.7633687222225318,1.7633687222225318,1.7633687222225318,1.7633687222225318,3.6965896999909997,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,1.8751334281048848,3.6965896999909997,3.6965896999909997,1.0150928601535663,1.0150928601535663
WB,2.738659707695274,13.684900296675114,13.684900296675114,13.684900296675114,13.684900296675114,13.684900296675114,2.6091409134217676,2.6091409134217676,2.6091409134217676,2.6091409134217676,2.6091409134217676,2.738659707695274,2.6091409134217676,2.6091409134217676,8.62075139181916,8.62075139181916,8.62075139181916,8.62075139181916,8.62075139181916,8.62075139181916,8.62075139181916,3.742912860939875,2.738659707695274,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,2.6091409134217676,2.6091409134217676,2.6091409134217676,2.6091409134217676,2.738659707695274,2.6091409134217676,2.6091409134217676,2.6091409134217676,5.593511807488925,5.593511807488925,5.593511807488925,5.593511807488925,5.593511807488925,5.593511807488925,5.593511807488925,2.738659707695274,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,3.742912860939875,2.738659707695274,2.738659707695274,13.684900296675114,13.684900296675114
XB,0.5323187374841268,0.3199640757352398,0.3199640757352398,0.3199640757352398,0.3199640757352398,0.3199640757352398,0.3216285295524351,0.3216285295524351,0.3216285295524351,0.3216285295524351,0.3216285295524351,0.5323187374841268,0.3216285295524351,0.3216285295524351,0.3315480402424721,0.3315480402424721,0.3315480402424721,0.3315480402424721,0.3315480402424721,0.3315480402424721,0.3315480402424721,0.46686747401550005,0.5323187374841268,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.3216285295524351,0.3216285295524351,0.3216285295524351,0.3216285295524351,0.5323187374841268,0.3216285295524351,0.3216285295524351,0.3216285295524351,0.6905570132703684,0.6905570132703684,0.6905570132703684,0.6905570132703684,0.6905570132703684,0.6905570132703684,0.6905570132703684,0.5323187374841268,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.46686747401550005,0.5323187374841268,0.5323187374841268,0.3199640757352398,0.3199640757352398
SSE,22122.990411744988,85230.62394908616,85230.62394908616,85230.62394908616,85230.62394908616,85230.62394908616,10187.151937320954,10187.151937320954,10187.151937320954,10187.151937320954,10187.151937320954,22122.990411744988,10187.151937320954,10187.151937320954,95831.72713096903,95831.72713096903,95831.72713096903,95831.72713096903,95831.72713096903,95831.72713096903,95831.72713096903,24440.517514668714,22122.990411744988,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,10187.151937320954,10187.151937320954,10187.151937320954,10187.151937320954,22122.990411744988,10187.151937320954,10187.151937320954,10187.151937320954,40108.2036355428,40108.2036355428,40108.2036355428,40108.2036355428,40108.2036355428,40108.2036355428,40108.2036355428,22122.990411744988,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,24440.517514668714,22122.990411744988,22122.990411744988,85230.62394908616,85230.62394908616
RS,-1.1390527876717982,-0.34316168165298583,-0.34316168165298583,-0.34316168165298583,-0.34316168165298583,-0.34316168165298583,-0.11257867328417863,-0.11257867328417863,-0.11257867328417863,-0.11257867328417863,-0.11257867328417863,-1.1390527876717982,-0.11257867328417863,-0.11257867328417863,-0.3917168003798952,-0.3917168003798952,-0.3917168003798952,-0.3917168003798952,-0.3917168003798952,-0.3917168003798952,-0.3917168003798952,-0.2993805874374216,-1.1390527876717982,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.11257867328417863,-0.11257867328417863,-0.11257867328417863,-0.11257867328417863,-1.1390527876717982,-0.11257867328417863,-0.11257867328417863,-0.11257867328417863,-0.4536633754263698,-0.4536633754263698,-0.4536633754263698,-0.4536633754263698,-0.4536633754263698,-0.4536633754263698,-0.4536633754263698,-1.1390527876717982,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-0.2993805874374216,-1.1390527876717982,-1.1390527876717982,-0.34316168165298583,-0.34316168165298583
DH,0.023387171200531798,0.5382058399440347,0.5382058399440347,0.5382058399440347,0.5382058399440347,0.5382058399440347,0.5874843796387502,0.5874843796387502,0.5874843796387502,0.5874843796387502,0.5874843796387502,0.023387171200531798,0.5874843796387502,0.5874843796387502,0.576633680594462,0.576633680594462,0.576633680594462,0.576633680594462,0.576633680594462,0.576633680594462,0.576633680594462,0.6650636076709923,0.023387171200531798,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.5874843796387502,0.5874843796387502,0.5874843796387502,0.5874843796387502,0.023387171200531798,0.5874843796387502,0.5874843796387502,0.5874843796387502,0.7336580815718455,0.7336580815718455,0.7336580815718455,0.7336580815718455,0.7336580815718455,0.7336580815718455,0.7336580815718455,0.023387171200531798,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.6650636076709923,0.023387171200531798,0.023387171200531798,0.5382058399440347,0.5382058399440347
B,0.1990076893323572,0.3588584126762897,0.3588584126762897,0.3588584126762897,0.3588584126762897,0.3588584126762897,0.6741301042875407,0.6741301042875407,0.6741301042875407,0.6741301042875407,0.6741301042875407,0.1990076893323572,0.6741301042875407,0.6741301042875407,0.3979001608278908,0.3979001608278908,0.3979001608278908,0.3979001608278908,0.3979001608278908,0.3979001608278908,0.3979001608278908,0.9613295245015169,0.1990076893323572,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.6741301042875407,0.6741301042875407,0.6741301042875407,0.6741301042875407,0.1990076893323572,0.6741301042875407,0.6741301042875407,0.6741301042875407,1.3952773367428393,1.3952773367428393,1.3952773367428393,1.3952773367428393,1.3952773367428393,1.3952773367428393,1.3952773367428393,0.1990076893323572,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.9613295245015169,0.1990076893323572,0.1990076893323572,0.3588584126762897,0.3588584126762897
