,labels_line_SpectralClustering_params1,labels_line_SpectralClustering_params10,labels_line_SpectralClustering_params11,labels_line_SpectralClustering_params12,labels_line_SpectralClustering_params13,labels_line_SpectralClustering_params14,labels_line_SpectralClustering_params15,labels_line_SpectralClustering_params16,labels_line_SpectralClustering_params17,labels_line_SpectralClustering_params18,labels_line_SpectralClustering_params19,labels_line_SpectralClustering_params2,labels_line_SpectralClustering_params20,labels_line_SpectralClustering_params21,labels_line_SpectralClustering_params22,labels_line_SpectralClustering_params23,labels_line_SpectralClustering_params24,labels_line_SpectralClustering_params25,labels_line_SpectralClustering_params26,labels_line_SpectralClustering_params27,labels_line_SpectralClustering_params28,labels_line_SpectralClustering_params29,labels_line_SpectralClustering_params3,labels_line_SpectralClustering_params30,labels_line_SpectralClustering_params31,labels_line_SpectralClustering_params32,labels_line_SpectralClustering_params33,labels_line_SpectralClustering_params34,labels_line_SpectralClustering_params35,labels_line_SpectralClustering_params36,labels_line_SpectralClustering_params4,labels_line_SpectralClustering_params5,labels_line_SpectralClustering_params6,labels_line_SpectralClustering_params7,labels_line_SpectralClustering_params8,labels_line_SpectralClustering_params9
cSIL,0.3070320278634123,0.9018535864530648,0.9044348348510921,0.9018535864530648,0.8353506852004672,0.8330242520660615,0.8153940204808284,0.8153940204808284,0.8330242520660615,0.8330242520660615,0.9107992723241846,0.3070320278634123,0.8985492041488662,0.9107992723241846,0.8985492041488662,0.9107992723241846,0.8985492041488662,0.8835978030727895,0.8947375482587789,0.8960143842302155,0.9000504856910857,0.8939119394785209,0.3070320278634123,0.8996210715308733,0.8886134342130215,0.9008299591341351,0.8886134342130215,0.9008299591341351,0.8886134342130215,0.9008299591341351,0.3070320278634123,0.3070320278634123,0.3070320278634123,0.9044348348510921,0.9018535864530648,0.9044348348510921
GD43,0.49696239069342424,2.9146747023936745,2.8134661622066015,2.9146747023936745,2.033850257707382,1.9870543128685432,1.7226795314057763,1.7226795314057763,1.9870543128685432,1.9870543128685432,2.7562820430246795,0.49696239069342424,3.275626905770184,2.7562820430246795,3.275626905770184,2.7562820430246795,3.275626905770184,2.274543398452642,2.7319236099979527,2.8792927841846736,3.245433883456853,2.6412967629572788,0.49696239069342424,3.121781315195811,2.115139531842616,2.931335676985111,2.115139531842616,2.931335676985111,2.115139531842616,2.931335676985111,0.49696239069342424,0.49696239069342424,0.49696239069342424,2.8134661622066015,2.9146747023936745,2.8134661622066015
GD53,0.4004185253412428,0.4264446274051302,0.41570445631155084,0.4264446274051302,0.31369953909987586,0.3007101284258382,0.23360448540358247,0.23360448540358247,0.3007101284258382,0.3007101284258382,0.14569071427324964,0.4004185253412428,0.2796863665737175,0.14569071427324964,0.2796863665737175,0.14569071427324964,0.2796863665737175,0.08145800948366448,0.1261219647609007,0.1346267165693215,0.16675003315448006,0.12067049228917613,0.4004185253412428,0.15755229084932923,0.04501477704617858,0.09450268919857163,0.04501477704617858,0.09450268919857163,0.04501477704617858,0.09450268919857163,0.4004185253412428,0.4004185253412428,0.4004185253412428,0.41570445631155084,0.4264446274051302,0.41570445631155084
PS,1.2133687222225316,1.5356957662476889,1.4785202373740467,1.5356957662476889,1.7866359063687738,1.7519999591982363,1.5606509653552423,1.5606509653552423,1.7519999591982365,1.7519999591982363,1.014634668790284,1.2133687222225316,1.3332422489413391,1.014634668790284,1.3332422489413391,1.014634668790284,1.3332422489413391,1.2348226056538048,1.488727103120779,1.6040972368196562,1.816725018098391,1.4185909287161844,1.2133687222225316,1.6977939744969732,0.9741165406653218,1.4838975897386464,0.9741165406653218,1.4838975897386464,0.9741165406653218,1.4838975897386464,1.2133687222225316,1.2133687222225316,1.2133687222225316,1.4785202373740467,1.5356957662476889,1.4785202373740467
rCIP,2.9884538634120715e-21,0.02827464611094847,0.03049862572101179,0.02827464611094847,0.26170679155842586,0.26182006724881657,0.2654193447717256,0.2654193447717256,0.26182006724881657,0.26182006724881657,0.05695912061460966,2.9884538634120715e-21,0.05190786112588561,0.05695912061460966,0.05190786112588561,0.05695912061460966,0.05190786112588561,0.7867538605037638,0.7438360061641911,0.7310310571555508,0.7137822061214569,0.7483778629421097,2.9884538634120715e-21,0.7652346111794901,0.8208841304175222,0.7842650612753499,0.8208841304175222,0.7842650612753499,0.8208841304175222,0.7842650612753499,2.9884538634120715e-21,2.9884538634120715e-21,2.9884538634120715e-21,0.03049862572101179,0.02827464611094847,0.03049862572101179
WB,16.344297749216185,0.9973486664441997,1.0282892845012785,0.9973486664441997,0.8888740433318062,0.8875088987383906,0.9075948418518116,0.9075948418518116,0.8875088987383906,0.8875088987383906,0.788096862613237,16.344297749216185,0.6368635858384685,0.788096862613237,0.6368635858384685,0.788096862613237,0.6368635858384685,0.5765032739796703,0.517116657979158,0.5030990028616424,0.4809733850128221,0.5303967556461343,16.344297749216185,0.49715154347347207,0.6903943296399396,0.537396366266139,0.6903943296399396,0.537396366266139,0.6903943296399396,0.537396366266139,16.344297749216185,16.344297749216185,16.344297749216185,1.0282892845012785,0.9973486664441997,1.0282892845012785
XB,1.3075438199372946,0.11544510283824898,0.11537405772104341,0.11544510283824898,0.2871486206593826,0.2905309836417335,0.31653449815168266,0.31653449815168266,0.2905309836417335,0.2905309836417335,0.13777803042639472,1.3075438199372946,0.1418856543111805,0.13777803042639472,0.1418856543111805,0.13777803042639472,0.1418856543111805,0.19573670122059822,0.16968683922418576,0.16986714893010696,0.16471493396576642,0.16994522959570063,1.3075438199372946,0.15583451883136903,0.18221536482891454,0.14619521603805533,0.18221536482891454,0.14619521603805533,0.18221536482891454,0.14619521603805533,1.3075438199372946,1.3075438199372946,1.3075438199372946,0.11537405772104341,0.11544510283824898,0.11537405772104341
SSE,124.12664970100806,46.35638970160652,47.30617231338708,46.35638970160652,31.843163462077534,31.805423236297965,32.358050641755426,32.358050641755426,31.805423236297965,31.805423236297965,28.98400407770758,124.12664970100806,24.396035985626284,28.98400407770758,24.396035985626284,28.98400407770758,24.396035985626284,17.549625757258937,15.94876578737536,15.564738204270483,14.953695732630623,16.310395057685746,124.12664970100806,15.401078290600243,20.506319452858982,16.50014898588943,20.506319452858982,16.50014898588943,20.506319452858982,16.50014898588943,124.12664970100806,124.12664970100806,124.12664970100806,47.30617231338708,46.35638970160652,47.30617231338708
RS,-0.1172101080531833,0.37740007707007656,0.38568283554352756,0.37740007707007656,0.4264378995473802,0.42752358739708574,0.42464391240021326,0.42464391240021326,0.42752358739708574,0.42752358739708574,0.5301261029865607,-0.1172101080531833,0.5240723580090031,0.5301261029865607,0.5240723580090031,0.5301261029865607,0.5240723580090031,0.5872469599154325,0.5999567887380071,0.6017793239887825,0.606817852980317,0.5971157905893534,-0.1172101080531833,0.6003262252621774,0.5675463864454716,0.5929525458295976,0.5675463864454716,0.5929525458295976,0.5675463864454716,0.5929525458295976,-0.1172101080531833,-0.1172101080531833,-0.1172101080531833,0.38568283554352756,0.37740007707007656,0.38568283554352756
DH,0.5181393529503872,0.3776925522972271,0.3708764353979856,0.3776925522972271,0.29320979685606624,0.29282454729747776,0.29245873404776423,0.2924587340477642,0.29282454729747776,0.29282454729747776,0.2741564988943165,0.5181393529503872,0.2912229717135479,0.2741564988943165,0.2912229717135479,0.2741564988943165,0.2912229717135479,0.22457640366786558,0.22611273876458363,0.22728948556953638,0.22837066557978639,0.2256562684147466,0.5181393529503872,0.22874543017708754,0.2200537325757837,0.2260028414946944,0.2200537325757837,0.2260028414946944,0.2200537325757837,0.2260028414946944,0.5181393529503872,0.5181393529503872,0.5181393529503872,0.3708764353979856,0.3776925522972271,0.3708764353979856
