,labels_parabolic_MeanShift_params1,labels_parabolic_MeanShift_params10,labels_parabolic_MeanShift_params11,labels_parabolic_MeanShift_params12,labels_parabolic_MeanShift_params13,labels_parabolic_MeanShift_params14,labels_parabolic_MeanShift_params15,labels_parabolic_MeanShift_params16,labels_parabolic_MeanShift_params17,labels_parabolic_MeanShift_params18,labels_parabolic_MeanShift_params19,labels_parabolic_MeanShift_params2,labels_parabolic_MeanShift_params20,labels_parabolic_MeanShift_params21,labels_parabolic_MeanShift_params22,labels_parabolic_MeanShift_params23,labels_parabolic_MeanShift_params24,labels_parabolic_MeanShift_params25,labels_parabolic_MeanShift_params26,labels_parabolic_MeanShift_params27,labels_parabolic_MeanShift_params28,labels_parabolic_MeanShift_params3,labels_parabolic_MeanShift_params31,labels_parabolic_MeanShift_params32,labels_parabolic_MeanShift_params4,labels_parabolic_MeanShift_params5,labels_parabolic_MeanShift_params6,labels_parabolic_MeanShift_params7,labels_parabolic_MeanShift_params8,labels_parabolic_MeanShift_params9
cSIL,0.8588553728751422,0.8503487204863007,0.8165943856396215,0.8290444820084211,0.85209140768919,0.8380721291105891,0.8509860749420272,0.8503487204863007,0.7295058015270864,0.7295058015270864,0.7341372394884079,0.8377089607789194,0.7306665510112197,0.7300773788867195,0.7278479392259039,0.7125572360972416,0.7125572360972416,0.7193684031337174,0.7164346716912952,0.865435927561818,0.865435927561818,0.8381645615768516,0.8656622949504669,0.8656622949504669,0.8479980770511207,0.8470907963544468,0.8475497807115859,0.85209140768919,0.8380721291105891,0.8509860749420272
GD43,5.7416259733659585,2.3592602034909094,1.8836982108142934,1.8047218213869671,4.113887776150699,3.4067398621602663,2.353125395860236,2.3592602034909094,1.0679734407400616,1.0679734407400616,1.0630922450993443,4.175532222634855,1.0555830790983616,1.0629670675712846,1.0594424919096257,1.1141966973244248,1.1141966973244248,1.1632515771572036,1.1452064709481409,2.838655663674637,2.838655663674637,4.4040008947688625,2.8389092556050874,2.8389092556050874,4.359869697825263,4.638301494756746,3.9305860052369628,4.113887776150699,3.4067398621602663,2.353125395860236
GD53,0.1913045216581219,0.2074973786392984,0.33344246532632354,0.1533986785956097,0.2849099302411098,0.1881382112790468,0.2077573035616836,0.2074973786392984,0.1579055269319856,0.1579055269319856,0.14822261467292425,0.16014067431700504,0.14934242259753835,0.15439779035287207,0.15610473446412534,0.21127623982254828,0.21127623982254828,0.22151315999857152,0.2174231359704407,0.49754029639770414,0.49754029639770414,0.2455198259021554,0.4968026432352842,0.4968026432352842,0.23900098160249325,0.22611696035017795,0.15454347270107946,0.2849099302411098,0.1881382112790468,0.2077573035616836
PS,-7.654787299420256,0.6507089273345321,1.5233221849927339,1.7557548613459972,-1.9659858126869825,-2.7648165030536966,0.5643608856725351,0.6507089273345321,2.0946224636314645,2.0946224636314645,2.163600656058255,-9.825986688121485,2.12390185841287,2.1112961800705685,2.084205567876566,1.824036002202842,1.824036002202842,1.8736632339032797,1.9106014922308532,1.9554005947324917,1.9554005947324917,-3.4208519271785853,1.9593767062544676,1.9593767062544676,-3.9795671189722164,-2.841711732272774,-3.439843174774418,-1.9659858126869825,-2.7648165030536966,0.5643608856725351
rCIP,8.005779889281305,0.6815313218700785,0.1166177027410405,0.20485834995249033,2.1739075546611084,3.325040075065377,0.6749764233899624,0.6815313218700785,0.07373924917864726,0.07373924917864726,0.07165695033181263,11.634025809216073,0.07225761860852233,0.07288528422127126,0.0730779086581663,0.08010793735009221,0.08010793735009221,0.07616221412865613,0.07356650149567345,0.0066284202965239776,0.0066284202965239776,3.5946699946750305,0.006321549031635786,0.006321549031635786,4.599055773179063,3.01699309782459,4.351825149675895,2.1739075546611084,3.325040075065377,0.6749764233899624
WB,0.5275858008869907,0.8082499791445228,1.2196700960728855,1.0542356997447786,0.6564067229455063,0.6569502175887303,0.8130869264796461,0.8082499791445228,1.4603343504589534,1.4603343504589534,1.4765025878517044,0.5260966249004793,1.4758907485782184,1.4655190694054576,1.4631480508898687,1.4189855897879968,1.4189855897879968,1.4088988930716067,1.4112409569683575,1.2438864188208334,1.2438864188208334,0.6831001375612027,1.2414590950483917,1.2414590950483917,0.6759207965395624,0.6576884621993415,0.6847798047114012,0.6564067229455063,0.6569502175887303,0.8130869264796461
XB,0.24391949737759996,0.3539803117417436,0.32363184725891436,0.22556441442948916,0.24607800424153706,0.27883602110383926,0.35279120356265853,0.3539803117417436,0.3536959817538981,0.3536959817538981,0.34649184968766866,0.3755363552653248,0.3536395491337202,0.352332214839425,0.35643699851736343,0.3848192274943146,0.3848192274943146,0.36886105369740246,0.37188377585014676,0.15548331457976652,0.15548331457976652,0.2986289643837292,0.15518176615150145,0.15518176615150145,0.30349348564510004,0.24718136628578694,0.28783663637658896,0.24607800424153706,0.27883602110383926,0.35279120356265853
SSE,15.50969336959091,61.17055537229416,148.9347677888308,107.47672952518639,31.73908829137835,29.038871429530104,61.49294079833362,61.17055537229416,168.70078395294337,168.70078395294337,169.95251173587815,13.88296716171501,169.90530842049915,169.10316667601523,168.91926945208905,165.45794063009117,165.45794063009117,164.65764635991488,164.84379560890272,197.5819655315437,197.5819655315437,30.1271804359292,197.34407139672504,197.34407139672504,27.475683616951443,29.06966271344896,27.8163553607655,31.73908829137835,29.038871429530104,61.49294079833362
RS,0.519371455126456,0.30952625444412823,0.18272095273867717,0.18309913844231446,0.3975285224985786,0.40623263502529866,0.31204710317522405,0.30952625444412823,-0.023357378297366404,-0.023357378297366404,-0.01802051019956918,0.513829634877286,-0.017179342146016588,-0.02252283123066524,-0.023547535797742707,-0.053083952139710164,-0.053083952139710164,-0.05118416262298706,-0.05467411212565126,0.23307369126963493,0.23307369126963493,0.4102291704959861,0.23400233877049353,0.23400233877049353,0.42145088249915075,0.4227287956205064,0.4116687818830673,0.3975285224985786,0.40623263502529866,0.31204710317522405
DH,0.15936762368221108,0.28548452274316066,0.40307452233185387,0.35678354976194204,0.22441035553125324,0.2117214901292609,0.2849614487215952,0.28548452274316066,0.44272476588203696,0.44272476588203696,0.44042558303933177,0.15409697946172735,0.4403577809191504,0.44213233426616966,0.442495340976358,0.45316566069087866,0.45316566069087866,0.45340267774902926,0.45393311315641294,0.44176091734290157,0.44176091734290157,0.21079613843612724,0.4415786581155325,0.4415786581155325,0.20373471185908637,0.20982732884761732,0.20511115993059023,0.22441035553125324,0.2117214901292609,0.2849614487215952
