,labels_fuzzyx_DBSCAN_params1,labels_fuzzyx_DBSCAN_params11,labels_fuzzyx_DBSCAN_params12,labels_fuzzyx_DBSCAN_params16,labels_fuzzyx_DBSCAN_params17,labels_fuzzyx_DBSCAN_params18,labels_fuzzyx_DBSCAN_params21,labels_fuzzyx_DBSCAN_params24,labels_fuzzyx_DBSCAN_params35,labels_fuzzyx_DBSCAN_params6
cSIL,,,,,,,,,,
GD43,,,,,,,,,,
GD53,,,,,,,,,,
PS,,,,,,,,,,
rCIP,,,,,,,,,,
WB,,,,,,,,,,
XB,,,,,,,,,,
SSE,671.8338125251289,832.0814486494685,850.3706604922202,1424.72339463648,655.0935283936641,829.8978081405475,559.4645251667844,963.6850628737852,1424.8610073452264,893.153520101337
RS,,,,,,,,,,
DH,0.31387415034620947,0.026475810451782,0.1073075597957723,0.20197043959106237,0.27103023087640093,0.11928367469852873,0.587460675913123,0.19113362289935537,0.6479472462680402,0.08072492814647891
B,0.012182897742874002,0.05501380219663643,0.09925304945912904,1.6554258958973658,1.176020147874065,0.2655091172887303,0.6235105654361238,0.5447260188964251,2.7856215320767257,0.05503630067846406
BH,1.3126332067085637e-05,0.0008409749395772079,0.001685946685390457,27.97561600254903,17.05531830644787,0.20875094241061726,144.7638336542067,0.8470190457057306,114.9971517330623,0.000122795770855988
D,51.250294863918896,0.14216391303564826,0.09190182906959951,0.0048905607416355875,0.050106130642886756,0.01808158984588259,0.5570592493663787,0.008381482321138332,0.003538386826584186,0.24928737665521794
H,,,,,,,,,,
DBCV,0.008999999999924305,0.37325692594980264,0.08338867109883746,-0.6352997327222858,-0.48392513210867727,0.24226178297354486,-0.7660914503947164,0.05203547006470563,-0.6931970247862244,0.05001702101410291
I,15088460.468444165,6.556729873081399,1718.2988182087586,0.0829077720582896,0.06441987852492403,2.4988178118231406,0.18476230845241726,2.289633725973083,0.17829814947503153,50611.61543351557
C,0.6868030863195703,0.5483804415992056,0.6415404186060156,0.29957785822551364,0.2480764989087856,0.4877552807290239,0.41967304471083927,0.45463186693917923,0.27268308575821143,0.6237287145245831
CDbw,0.7524591980241551,0.28442016582675944,0.6056951353102691,0.18093314370206903,0.1110787733401857,0.29534371806799753,0.034260978554452766,0.3859354337768587,0.02286007865008438,0.8497317355523215
VIASCKDE,0.6298431185001532,0.3087171410261789,0.5310271594831366,0.4859683371904429,0.4531536847610208,0.4591412443071291,0.5894959409564507,0.45692136497866476,0.5589923703671938,0.5350248780600406
COP,0.24032251648402866,0.24775963850532604,0.2481855845377365,0.27544971708128485,0.24549149026059797,0.19879588223342234,0.2435459107679482,0.18371206635754345,0.24124996561807197,0.2505041955884011
Sym,0.007871633710287377,0.0014998913032894464,0.005779061563271218,0.005727129868304296,0.0016287241847077094,0.005830184115902464,0.01884665103007585,0.0056988184589726425,0.009844812347604967,0.006227200170436296
CS,1.8435126932910373,0.7641913588699601,0.9718865999383417,1.1823443194587617,2.4468385576429603,1.3552878237923212,2.4686372629943265,1.431892720886322,3.4397688344113093,0.6909132311574321
SF,0.4217426006588709,0.16267245019422538,0.35923180689975764,0.16506980873585908,0.14433846690839625,0.18633171990251673,0.1999991914254553,0.19925950025152073,0.17003339430312747,0.3968011544259371
SD,93367037.15557413,4292873.831048915,27288494.986338414,88562076.91553289,95747886.92687097,25552777.29310578,368556455.3939617,46527850.69969401,422279703.1343849,23929551.91851578
SDbw,1.7175661639247959,0.13751980698969313,0.7939307391767837,0.6827969739183297,1.0508623593680044,0.47489324336694305,1.61138763016104,0.5860052258119043,2.1411678422633713,0.5933369403385816
XB*,15.819570523680296,2099.669592262666,26374.783816372794,67.45680740707503,52.243000967715986,2019.3599939496482,19.145466987875267,28.150224110674902,32.79923258794845,3327.6877355866773
S,-0.4637544055837234,-0.2814189628724607,-0.6313501914044511,-0.4250502435100072,-0.1844114035583122,-0.1416308783551504,0.10848273597793681,-0.09968975933665462,0.23444794490339552,-0.7173859802010916
DB,2.449051525294145,2.845584449557981,23.55740846945674,2.6578246958102842,2.5644890593809846,5.889927496395123,4.652661127666741,1.976183704696685,6.066748799439368,9.755869228856735
CH,0.8407133768467999,4.699616558713877,1.9621745609426136,30.430334581587893,83.74124097203426,34.827025616579455,6.263529590291761,57.41271434915495,67.85723806837476,1.6407438774802454
AD-S,0.012575805685222015,0.1464038796732518,-0.03541330422439313,0.21907238318088337,0.0891098001048159,0.07881789013822062,0.44404961683343197,0.0746387309734676,0.10242131085383405,-0.06687921862407077
AD-DB,1.3021332136945651,1.4382870548864153,1.7950049342552112,1.800120915847817,1.7997946839446446,1.7333613690117857,1.6579131571612062,1.9320508177266396,1.790700260469582,1.6525106846818256
AD-CH,61.364072523177974,8.568435829235595,40.81775320481606,79.6246288081209,106.3565770874332,50.99580192186069,111.19993816161181,81.00570631741421,312.76145917416676,27.172385536684782
AD-idea,1.0574805025166119,552041.3642586885,2.5147064951430256,8.760824734619062,4.564756562029201,61.05034267622552,1.5895480800128645,4.9968609770726955,1.2016606480595091,2.1242856973657807
