,labels_ecoli_MeanShift_params1,labels_ecoli_MeanShift_params10,labels_ecoli_MeanShift_params11,labels_ecoli_MeanShift_params12,labels_ecoli_MeanShift_params13,labels_ecoli_MeanShift_params14,labels_ecoli_MeanShift_params15,labels_ecoli_MeanShift_params16,labels_ecoli_MeanShift_params17,labels_ecoli_MeanShift_params18,labels_ecoli_MeanShift_params19,labels_ecoli_MeanShift_params2,labels_ecoli_MeanShift_params20,labels_ecoli_MeanShift_params21,labels_ecoli_MeanShift_params22,labels_ecoli_MeanShift_params23,labels_ecoli_MeanShift_params24,labels_ecoli_MeanShift_params25,labels_ecoli_MeanShift_params26,labels_ecoli_MeanShift_params27,labels_ecoli_MeanShift_params28,labels_ecoli_MeanShift_params29,labels_ecoli_MeanShift_params3,labels_ecoli_MeanShift_params30,labels_ecoli_MeanShift_params31,labels_ecoli_MeanShift_params32,labels_ecoli_MeanShift_params4,labels_ecoli_MeanShift_params5,labels_ecoli_MeanShift_params6,labels_ecoli_MeanShift_params7,labels_ecoli_MeanShift_params8,labels_ecoli_MeanShift_params9
cSIL,0.8148060422006339,0.8726051218492263,0.8310954788896457,0.8822616556608807,0.8577136970268241,0.8818158603051365,0.8518451962116615,0.8726051218492263,0.7852900617881348,0.8264647512180616,0.8345739777732926,0.8650937403015643,0.8345739777732926,0.7949128865827382,0.8414701418823998,0.8737440443087255,0.8621586670944904,0.8353610056682674,0.8353610056682674,0.9080236614223579,0.9080236614223579,0.8477766024279851,0.8524605170116148,0.82276001572103,0.8382973862559312,0.8348744445593191,0.8491740192240471,0.8677605430792185,0.8569103699439794,0.8577136970268241,0.8818158603051365,0.8518451962116615
GD43,0.8694485157561306,1.1905994087806757,0.9048820575355722,1.2431296700809336,1.2450020016918868,1.2276961353001465,1.3512545223662775,1.1905994087806757,0.5277891185852875,0.681913116178198,1.1181547934235732,1.2658712081824275,1.1181547934235732,0.571341765831644,0.8029660982672892,1.0433229776512216,0.8236893525483393,1.0031816261904896,1.0031816261904896,1.3406826913236425,1.3406826913236425,1.154455995067005,1.2157534453169954,0.9362581072364528,1.1324384173990114,1.1199085443153276,1.1245388953306026,1.1514005156637361,1.177445683329496,1.2450020016918868,1.2276961353001465,1.3512545223662775
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.2932857515602389,0.2932857515602389,0.07611978940582939,0.0,0.3470630514783856,0.44862411570591315,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
PS,-6.796917114334562,-4.015006778016128,-2.587270798461335,-4.005852493964031,-1.7281936990953204,-3.97860058637757,-2.378804441617003,-4.015006778016128,-2.1466193431575467,-3.548076187197264,0.33587632949198043,-8.269164879716211,0.33587632949198043,-2.1324433172100794,-3.5062477621978574,-1.2214863996928915,-2.8197687822622655,-1.9497353566139868,-1.9497353566139868,0.7137301006084728,0.7137301006084728,-0.5798296205863867,-5.8156004010801725,0.42975489340585465,0.31990818006979505,0.33798219806138,-7.635614086102491,-4.199793888622975,-5.7685009881113745,-1.7281936990953204,-3.97860058637757,-2.378804441617003
rCIP,6.485556583070407,1.119917447483532,0.6855086489896782,0.7091676484152242,0.4521034505059334,0.7421543125958819,0.6948187338345119,1.119917447483532,0.5216671168929542,1.2241845415417072,0.164446321599234,8.523143782629296,0.164446321599234,0.46251715001513666,0.8909186145924418,0.1768336649571218,0.49649433132724485,0.41726795047094084,0.41726795047094084,9.581076944261153e-23,9.581076944261153e-23,0.1446088642023348,4.944209368325633,0.18084268408757695,0.12581854790226282,0.15273777886278278,5.624008372362086,1.1708888357326575,3.309864777345921,0.4521034505059334,0.7421543125958819,0.6948187338345119
WB,4.671542158296532,4.422270936031889,3.749809586692301,4.397225142071012,3.51509108922414,4.412804021071909,3.6683291669435123,4.422270936031889,6.793454700831386,7.871637462808395,4.504983044721611,5.087167207807127,4.504983044721611,6.763113867300926,7.840254006543399,6.4288465249899875,7.681315080861642,6.7107408481688555,6.7107408481688555,16.80831738007551,16.80831738007551,5.328573957898982,4.461243345198187,4.604748056439617,4.438989463308658,4.486919567648355,4.840346344611402,4.3475328530269515,4.947836493823925,3.51509108922414,4.412804021071909,3.6683291669435123
XB,0.6999836853990762,0.4278201828394698,0.3742269873408428,0.4260891673627603,0.2658675175238953,0.427166547646848,0.2783332207987834,0.4278201828394698,0.7065613934631484,0.6961007473602356,0.3774430580603488,0.46128098745360674,0.3774430580603488,0.6593959898579153,0.6946175407288858,0.4490495470179616,0.7308316543395534,0.4923132927967324,0.4923132927967324,0.17865580987567284,0.17865580987567284,0.3530300291278213,0.48159663692204313,0.40362958662015347,0.36542653054540736,0.3755507861205124,0.5911055736951566,0.4226380088519585,0.4113083117761909,0.2658675175238953,0.427166547646848,0.2783332207987834
SSE,75.2419057270121,86.23364072402399,88.44743039452709,85.88472832415641,91.80131660420838,86.10189064624356,87.08205386602214,86.23364072402399,148.11441745884417,140.30965382975182,159.29399803709612,72.55000967300506,159.29399803709612,147.77797136099204,140.01069105777975,155.55426985450293,147.31019441808073,147.19370924252686,147.19370924252686,255.18571414097252,255.18571414097252,155.14948495902127,76.83524000739033,160.93385641178324,158.1879410687573,158.9929626787503,73.36803588509528,85.18909502998383,82.90542290245739,91.80131660420838,86.10189064624356,87.08205386602214
RS,-1.0722422629726287,-0.7413006370564541,-0.9614159839824219,-0.684878157146068,-0.6745571665273215,-0.6868936057727887,-0.9400775567885077,-0.7413006370564541,-1.0837049234801424,-1.1963409867777648,-0.6180389611890649,-0.8107019112006307,-0.6180389611890649,-1.044622150195024,-1.0943205725661247,-0.31055294631118474,-0.696639643939733,-0.7847127968595237,-0.7847127968595237,-0.41904718814481423,-0.41904718814481423,-0.42452345726720564,-0.8404779065527604,-0.6634542469515129,-0.604632245165285,-0.6182107043044681,-0.8876703174349438,-0.7966116256703615,-0.7885060680187304,-0.6745571665273215,-0.6868936057727887,-0.9400775567885077
DH,0.014588632558584521,0.01835077720790781,0.027946101774482732,0.01792279493175802,0.03063347348969991,0.017934614488327467,0.028358605237957222,0.01835077720790781,0.03973034168268242,0.026721542737253752,0.09124279607403184,0.010444784867489136,0.09124279607403184,0.03928849495737447,0.025885437300705475,0.03971998321213018,0.027354159422825163,0.03713853445270698,0.03713853445270698,0.13220273763971732,0.13220273763971732,0.05900450138734989,0.015485487865688222,0.09249182505120912,0.09070116479527941,0.09119791787240936,0.012370556941471936,0.018738229717821006,0.014326281938365711,0.03063347348969991,0.017934614488327467,0.028358605237957222
B,0.08982808017695107,0.08462343789442003,0.08664987152358154,0.08363799638910256,0.08132879338333297,0.08387822234689728,0.08557681729729791,0.08462343789442003,0.11839577278739119,0.11893028095896505,0.11103928808201594,0.09063417533866537,0.11103928808201594,0.11782038169834776,0.11775597369012833,0.1053382818537309,0.11112455572705293,0.115813979710536,0.115813979710536,0.12465045788318546,0.12465045788318546,0.10598755744306232,0.08628630815403796,0.11268807848288807,0.11005192799629818,0.11080968331515426,0.08920493637258746,0.08369860736154304,0.09078807996178571,0.08132879338333297,0.08387822234689728,0.08557681729729791
BH,5.374421837643722,7.8394218840021805,9.827492266058565,7.807702574923312,11.475164575526048,7.827444604203962,9.67578376289135,7.8394218840021805,21.159202494120596,15.589961536639095,39.82349950927403,4.5343756045628165,39.82349950927403,21.111138765856005,15.556743450864413,25.925711642417156,18.41377430226009,21.027672748932414,21.027672748932414,85.06190471365751,85.06190471365751,31.029896991804247,5.910403077491562,40.23346410294582,39.54698526718933,39.748240669687576,4.891202392339684,7.744463184543986,6.377340223265954,11.475164575526048,7.827444604203962,9.67578376289135
D,0.26951137214077603,0.29106996922915296,0.31095577563734433,0.28737963385287757,0.23347844523378983,0.29106996922915296,0.34256523861036525,0.29106996922915296,0.2843286802952365,0.29118668975776335,0.2613958589183428,0.2827127535853294,0.2613958589183428,0.28396132806642854,0.2903746675646117,0.31787032061576914,0.34547464072437706,0.35491168708129006,0.35491168708129006,0.7234726153419214,0.7234726153419214,0.2948391212324894,0.23383714423688454,0.2870029234900315,0.29704539491245074,0.2582611367112643,0.2581574334081472,0.34062028171498265,0.26423020238055184,0.23347844523378983,0.29106996922915296,0.34256523861036525
H,2.497497987190145,1.3040891001328716,1.4622792100448405,1.232393720704892,1.0751037790691704,1.2372519008289662,1.2996373045747074,1.3040891001328716,1.4598664384890723,1.553023169747248,0.6509974220523517,1.9863860189825,0.6509974220523517,1.402301777341726,1.4223021398152265,0.7345989134208726,1.0885728584959455,1.1313353988175898,1.1313353988175898,0.25863157413337,0.25863157413337,0.7491601306020016,1.7830958284377623,0.6895103172178435,0.6348643287401871,0.6494493227114265,2.138665919506417,1.402528544734283,1.749621338571591,1.0751037790691704,1.2372519008289662,1.2996373045747074
DBCV,-0.3790794743869222,-0.47477294610416365,-0.2098275454065121,-0.3670731188820324,-0.5051081140922518,-0.49408894216196686,-0.3583261663345091,-0.47477294610416365,-0.4824456320698098,-0.49875019699486056,-0.6502526936236459,-0.42703649750209166,-0.6502526936236459,-0.5376071836249083,-0.5982179426650711,-0.7031827328334945,-0.6551522758809228,-0.7243646390346046,-0.7243646390346046,0.8482400252292157,0.8482400252292157,-0.6756766760663732,-0.33598121406315873,-0.7710373233401259,-0.7162056950569955,-0.6160619912974207,-0.3672867395718105,-0.22779136174243877,-0.578137294555435,-0.5051081140922518,-0.49408894216196686,-0.3583261663345091
I,0.22096016369124297,0.3136733884097464,0.4674734504932094,0.3204648422912268,0.5433776601637946,0.31977358293067537,0.46002723764766096,0.3136733884097464,0.39852354910316307,0.26161054400597433,1.1262914607453092,0.18554115766399948,1.1262914607453092,0.4022699868214504,0.26793987882329884,0.5212212753506704,0.3103343274870566,0.40441636807291387,0.40441636807291387,1.0714521659288485,1.0714521659288485,0.7529002350791753,0.2557335131362866,1.0935443817710893,1.142964762578354,1.130500077256989,0.20797248287447856,0.31653878321850876,0.24728684228787204,0.5433776601637946,0.31977358293067537,0.46002723764766096
C,0.04861526731245378,0.05171331722252344,0.049768670966600655,0.04946408199654129,0.05499245819868023,0.05144180787790791,0.04622590533035623,0.05171331722252344,0.1139577990771846,0.11173579900920881,0.12444268681372948,0.04423942512982283,0.12444268681372948,0.11249623274219069,0.10981481912908428,0.12151488117349649,0.1149514365118839,0.11358630718670182,0.11358630718670182,0.01502047231399364,0.01502047231399364,0.11953092056335152,0.04677906971098656,0.1262750249058153,0.11868263930903182,0.12258319411702312,0.04497778602434657,0.04562312557180265,0.058838389406282374,0.05499245819868023,0.05144180787790791,0.04622590533035623
VIASCKDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COP,0.3709416510794573,0.3580820874764101,0.3411356421117449,0.35711569385038433,0.34215817844699614,0.3569496460819782,0.35950541316335277,0.3580820874764101,0.400316393580021,0.3897607905951368,0.36479495368828596,0.3621975008083182,0.36479495368828596,0.401303508760932,0.39155132321290576,0.38031071348537027,0.37152645458428524,0.37256434691024604,0.37256434691024604,0.38165333109239086,0.38165333109239086,0.3813515556747527,0.34244749913688377,0.3886041923889208,0.3931361680266319,0.39267209258526287,0.36530982206931883,0.35875104547351433,0.3712640007813745,0.34215817844699614,0.3569496460819782,0.35950541316335277
Sym,0.006189738784700678,0.007033279036079305,0.008309016512578277,0.007154745270366592,0.008679253727803881,0.007106574624147782,0.00841622472807661,0.007033279036079305,0.005543200787151562,0.004541362994123922,0.008868163956301316,0.005779598479225564,0.008868163956301316,0.005638094044165044,0.004670681246475545,0.006112018735963956,0.004825472100436139,0.005595162705556069,0.005595162705556069,0.008875004773462853,0.008875004773462853,0.007593587301290929,0.006666309673719496,0.008501337477456059,0.009307995595056805,0.009031470818137478,0.006140892574373361,0.007161623811107868,0.006333926803940924,0.008679253727803881,0.007106574624147782,0.00841622472807661
CS,0.7284071906399128,0.6552202403501513,0.7994454300665841,0.6357896194114399,0.7398776610791987,0.6364626770994176,0.7401266739182635,0.6552202403501513,0.8812509542781048,0.8033753617589707,0.7982907079918015,0.6016033971742176,0.7982907079918015,0.8714338977787938,0.773533915441863,0.6832810610218858,0.6943702330997479,0.7768516227998673,0.7768516227998673,0.5935600069833961,0.5935600069833961,0.8024130388518945,0.6894166779752944,0.8152577737292006,0.7989068735026652,0.8031600903868106,0.6879023494500875,0.6760936814837226,0.6631802834234929,0.7398776610791987,0.6364626770994176,0.7401266739182635
SF,0.01980863300648572,0.04204596803309524,0.044844879096115786,0.04409760020693865,0.0694710042399459,0.04402876206778539,0.042652668569079455,0.04204596803309524,0.07378943679442385,0.051935755673891526,0.1498376131904916,0.02464030460129485,0.1498376131904916,0.0757621290883036,0.055265515038302016,0.1551541295707478,0.09502200358152513,0.0847783338644541,0.0847783338644541,0.2080650646414789,0.2080650646414789,0.14510325761481047,0.025384320134075877,0.14591546235634456,0.15110465561548425,0.1498031109043364,0.018992071483008632,0.03965549602812013,0.0318040185763081,0.0694710042399459,0.04402876206778539,0.042652668569079455
SD,610.972229942496,668.2220183144921,871.1224145764695,644.2045269795412,834.1619929756816,643.1259399250049,871.401544712404,668.2220183144921,1133.7557279708349,957.2654709114513,1627.7877562941442,452.3392636967165,1627.7877562941442,1109.829498512691,909.8764001613368,821.6080529296845,797.7206358792589,975.6392354040938,975.6392354040938,1889.9337775266945,1889.9337775266945,1083.5832196177266,597.6988088825515,1658.5369854412734,1642.151848649211,1643.1152431311782,536.5165265998855,703.5663176488531,577.7735800095963,834.1619929756816,643.1259399250049,871.401544712404
SDbw,0.23650801328932963,inf,0.3075337611612444,0.22236859399200892,0.2929528665577661,0.2215748607196916,inf,inf,0.4521333021325736,0.3325461153434096,0.5679720898675721,inf,0.5679720898675721,0.4028490409809335,0.3083242917068752,0.2845501500135178,0.2720430009221955,0.3387807281278495,0.3387807281278495,0.6108241545060437,0.6108241545060437,0.3791194192802968,inf,0.5745196519323178,0.5747431675403961,0.5757971510123927,inf,inf,inf,0.2929528665577661,0.2215748607196916,inf
