,labels_ring_outliers_DBSCAN_params1,labels_ring_outliers_DBSCAN_params11,labels_ring_outliers_DBSCAN_params12,labels_ring_outliers_DBSCAN_params13,labels_ring_outliers_DBSCAN_params16,labels_ring_outliers_DBSCAN_params17,labels_ring_outliers_DBSCAN_params18,labels_ring_outliers_DBSCAN_params2,labels_ring_outliers_DBSCAN_params20,labels_ring_outliers_DBSCAN_params21,labels_ring_outliers_DBSCAN_params22,labels_ring_outliers_DBSCAN_params23,labels_ring_outliers_DBSCAN_params26,labels_ring_outliers_DBSCAN_params27,labels_ring_outliers_DBSCAN_params28,labels_ring_outliers_DBSCAN_params29,labels_ring_outliers_DBSCAN_params31,labels_ring_outliers_DBSCAN_params32,labels_ring_outliers_DBSCAN_params33,labels_ring_outliers_DBSCAN_params34,labels_ring_outliers_DBSCAN_params36,labels_ring_outliers_DBSCAN_params37,labels_ring_outliers_DBSCAN_params38,labels_ring_outliers_DBSCAN_params39,labels_ring_outliers_DBSCAN_params41,labels_ring_outliers_DBSCAN_params42,labels_ring_outliers_DBSCAN_params43,labels_ring_outliers_DBSCAN_params44,labels_ring_outliers_DBSCAN_params45,labels_ring_outliers_DBSCAN_params46,labels_ring_outliers_DBSCAN_params47,labels_ring_outliers_DBSCAN_params48,labels_ring_outliers_DBSCAN_params49,labels_ring_outliers_DBSCAN_params50,labels_ring_outliers_DBSCAN_params51,labels_ring_outliers_DBSCAN_params52,labels_ring_outliers_DBSCAN_params53,labels_ring_outliers_DBSCAN_params54,labels_ring_outliers_DBSCAN_params55,labels_ring_outliers_DBSCAN_params6,labels_ring_outliers_DBSCAN_params7
cSIL,,,,,0.6174257060050842,0.6174257060050842,,,,0.5992144315935825,0.5992144315935825,0.5992144315935825,0.5992144315935825,0.5992144315935825,0.5992144315935825,,0.5992144315935825,0.5992144315935825,0.5992144315935825,,0.5992144315935825,0.5992144315935825,0.5992144315935825,,0.5992144315935825,0.5992144315935825,0.5992144315935825,,,0.5992144315935825,0.5992144315935825,0.5992144315935825,,,0.3340924333047717,0.3340924333047717,0.3340924333047717,,,,
GD43,,,,,0.08927828869315803,0.08927828869315803,,,,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,,,0.0011093661797040388,0.0011093661797040388,0.0011093661797040388,,,0.026981357188492393,0.026981357188492393,0.026981357188492393,,,,
GD53,,,,,0.00026144697820742725,0.00026144697820742725,,,,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,,,0.00025933568021004906,0.00025933568021004906,0.00025933568021004906,,,0.019389942239267183,0.019389942239267183,0.019389942239267183,,,,
PS,,,,,-1.9271577950241214,-1.9271577950241214,,,,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,,,-1.2270883405491835,-1.2270883405491835,-1.2270883405491835,,,-0.023488091240465053,-0.023488091240465053,-0.023488091240465053,,,,
rCIP,,,,,0.5284396732898198,0.5284396732898198,,,,0.5068177773057517,0.5068177773057517,0.5068177773057517,0.5068177773057517,0.5068177773057517,0.5068177773057517,,0.5068177773057517,0.5068177773057517,0.5068177773057517,,0.5068177773057517,0.5068177773057517,0.5068177773057517,,0.5068177773057517,0.5068177773057517,0.5068177773057517,,,0.5068177773057517,0.5068177773057517,0.5068177773057517,,,0.4065945258738129,0.4065945258738129,0.4065945258738129,,,,
WB,,,,,19.69124654696421,19.69124654696421,,,,40.10808874540192,40.10808874540192,40.10808874540192,40.10808874540192,40.10808874540192,40.10808874540192,,40.10808874540192,40.10808874540192,40.10808874540192,,40.10808874540192,40.10808874540192,40.10808874540192,,40.10808874540192,40.10808874540192,40.10808874540192,,,40.10808874540192,40.10808874540192,40.10808874540192,,,60.530746127579235,60.530746127579235,60.530746127579235,,,,
XB,,,,,17.732782180334915,17.732782180334915,,,,131088.78844895642,131088.78844895642,131088.78844895642,131088.78844895642,131088.78844895642,131088.78844895642,,131088.78844895642,131088.78844895642,131088.78844895642,,131088.78844895642,131088.78844895642,131088.78844895642,,131088.78844895642,131088.78844895642,131088.78844895642,,,131088.78844895642,131088.78844895642,131088.78844895642,,,222.45672634326414,222.45672634326414,222.45672634326414,,,,
SSE,1887.0782398669921,532.9235495786493,1130.0925577379498,464.0984831489981,351.28173092275676,351.28173092275676,577.7015325465213,499.3211606321235,503.8218993004265,407.5163821984959,407.5163821984959,407.5163821984959,407.5163821984959,407.5163821984959,407.5163821984959,410.3362894896278,407.5163821984959,407.5163821984959,407.5163821984959,1125.616863366236,407.5163821984959,407.5163821984959,407.5163821984959,1125.616863366236,407.5163821984959,407.5163821984959,407.5163821984959,1125.616863366236,1002.0457151190224,407.5163821984959,407.5163821984959,407.5163821984959,1125.616863366236,1125.616863366236,436.6762805162981,436.6762805162981,436.6762805162981,1550.4459554586579,1550.4459554586579,1352.536763630234,463.8140604566268
RS,,,,,-0.9546700606650923,-0.9546700606650923,,,,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,,,-0.8352058641406344,-0.8352058641406344,-0.8352058641406344,,,-0.8908372964393405,-0.8908372964393405,-0.8908372964393405,,,,
DH,0.058326439868162626,0.030415730660143716,0.08134525290215625,0.17615614678259403,0.23947330613285941,0.23947330613285941,0.08122869167065128,0.4759260918693853,0.5189974344275798,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.2032157641674128,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.631036397748949,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.631036397748949,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.631036397748949,0.516577581122309,0.2381998462952542,0.2381998462952542,0.2381998462952542,0.631036397748949,0.631036397748949,0.4133675881770126,0.4133675881770126,0.4133675881770126,0.41336758817701263,0.41336758817701263,0.031398188281587115,0.06499047412925828
