,labels_x3_DBSCAN_params11,labels_x3_DBSCAN_params16,labels_x3_DBSCAN_params17,labels_x3_DBSCAN_params21,labels_x3_DBSCAN_params22,labels_x3_DBSCAN_params26,labels_x3_DBSCAN_params27,labels_x3_DBSCAN_params31,labels_x3_DBSCAN_params32,labels_x3_DBSCAN_params33,labels_x3_DBSCAN_params38,labels_x3_DBSCAN_params43,labels_x3_DBSCAN_params44,labels_x3_DBSCAN_params49,labels_x3_DBSCAN_params6
cSIL,0.9217043928070078,0.9356115500690795,0.9437807729292336,0.9196011811450004,0.9100791931888735,0.8998817595491188,0.9558795534061936,0.6215045715723049,0.9143985324101231,0.9360629540305188,0.9258624139062812,0.8272092569536019,0.9268945186358902,0.8673475023594044,0.9548249636472027
GD43,42.72396276346242,18.057977185343482,42.25582962817735,1.461913425036807,9.074889869230347,2.5797246514195926,7.4929969207868625,0.7143100890152837,3.0218838135257946,4.533198649895545,3.222527645731337,1.4748915180797966,4.035533802637714,2.2525549425570306,166.20241266026895
GD53,0.14256320975694112,0.07841879082433303,0.4303564551294797,0.01020119220010985,0.16393206927462095,0.009397937892938562,0.0682231826875644,0.033852760156140596,0.14133653291883108,0.08514261569921049,0.12056225040919644,0.06208120749379553,0.4254880881775441,0.4259158522873244,0.1851176692921298
PS,-0.019675500414945035,-3.816391774544095,1.2433687222225316,-5.162655028951264,-0.002429786577438753,-6.648720534929341,0.5136939138577855,-0.6983262981943066,0.65635588793495,1.0715901630407858,0.6762281889292295,0.6951178607937556,1.1956919545457638,1.1865092180903,1.0606276802096224
rCIP,5.545476885929457,0.4156289614561381,0.0009244493165287932,0.04996552735540412,1.5489710126281624,1.326051049578175,0.05991227070947957,0.3135469101056939,0.1001165810449409,0.11142864490677067,0.09914705806069819,0.015301494009717118,8.420382487496416e-07,0.00043572053646763584,2.75827461979593
WB,0.3001457101314529,0.10312134381126556,0.8684990840220879,0.5414976292661869,0.7966455864759738,0.7411892558944059,0.4142766663419156,4.869138298730684,1.0678931640767866,1.318933333745886,1.211545604315765,3.900205580744386,1.4018206900340495,2.7337297723106904,0.22517573760362194
XB,0.23898222220055285,0.11656378284312098,0.07421256821477802,1.3377015459223531,0.3160580592183464,0.43509759833499806,0.07468014230905747,1.5848660570949948,0.21914376195015792,0.12016010835045561,0.17778985673887027,0.3818735078519403,0.10722741572183322,0.20386904597651173,0.06443140672382705
SSE,0.005890124793518741,0.10629211286511109,0.044725571085209914,1.576806527188627,0.38053503568008834,2.7299712343633544,1.6536766645122338,29.83097246759153,10.549153289513747,7.062572673713923,10.35409705573716,31.200040645631155,12.648144688572451,25.954176177338294,0.0009230518979128806
RS,0.799095893267457,0.9267560454786838,0.5204490989541449,0.7613210642073838,0.6079735344523675,0.6557179129551385,0.7108449125375439,0.12974586802816873,0.4282746195920824,0.48965448772008224,0.44156825433603,0.1341646115572542,0.41429519904750123,0.19471741478581123,0.823612598053343
DH,0.16068296908912807,0.07334169829984248,0.27736129801137727,0.09194892585125002,0.18830486242457783,0.11170765828293255,0.16120664517058264,0.28909769740648056,0.2644806012199133,0.24247551932546652,0.25417227232409406,0.33596523830711394,0.299031444932815,0.38409913599515305,0.15972380055703544
B,0.05746115710033473,0.008530747634043066,0.12026693547289055,0.027896003494312063,0.06080297954083723,0.036829452286699184,0.03872660575705649,0.4070540757520383,0.12905327313717788,0.1374756853722695,0.13499101049076814,0.3330438242787916,0.15707380476255192,0.29451655613331784,0.04561701540479845
BH,0.0014725311983796853,0.01518458755215873,0.022362785542604957,0.1576806527188626,0.1268450118933628,0.2274976028636129,0.3307353329024467,7.457743116897883,2.637288322378437,2.354190891237975,2.5885242639342905,10.40001354854372,6.324072344286227,12.977088088669145,0.0003076839659709602
D,0.5639360393425841,0.6599624404730278,0.8814874459722577,0.18342247205113318,0.4219747446745589,0.2075710807351646,0.47226888697486125,0.15232496903681422,0.41814868359919083,0.6303020349493812,0.40110036493004936,0.24999046400445674,0.5342726536108962,0.40539174769504815,1.1124628193169146
H,0.3047643276426803,0.42294998229537206,0.10974784039829179,0.7851668954666889,0.26647763595641877,1.059485382967229,0.21270738413937293,0.8053082436711871,0.32717605707953834,0.17707269410514512,0.2814640479531648,0.40195649860734806,0.13762686475135028,0.23612947068428286,0.13294143736949088
DBCV,0.9054314669209632,0.5938372030827943,0.9218496949112944,0.8332740332106229,0.9410350667359566,0.5280951699753673,0.5521980568749385,-0.04259784442508252,0.7455927145115726,0.8563500134778285,0.71629908143601,-0.016114157154929875,0.884365110187823,0.7099234344438143,0.9046201859824593
I,0.020021576968740698,1.398816015111915,0.015061143870642146,0.5804066848704769,0.11649107333972247,0.42666488070747743,0.8133975287970663,0.29005471997849164,0.5706719754162397,0.2997942797714439,0.5232256985041811,0.47837480035643665,0.5938299586947169,0.44014109688738834,0.00959876565433549
C,0.022225384630249107,0.005496191733361438,0.018062813510450724,0.01792171696180839,0.01525250890547892,0.02059227356429775,0.013542517127323123,0.21172613221275965,0.04881747317577849,0.05147194976981263,0.05549990315559021,0.19309549690176603,0.04172641453973116,0.13675649975295853,0.00889716315176405
CDbw,8.08808045789983,19.718635565578264,1.8985793328004632,8.027437358289674,2.4825049017766196,9.051144016230067,2.162907870171731,0.7807277237902588,0.4646456635107556,0.7244841566952278,0.35457912101132616,0.1965403741578436,0.30264551258224964,0.05224192783295225,4.100895392487455
VIASCKDE,0.4561321725383694,0.5561045163162798,0.6329883373027583,0.5301151673584061,0.5866935659383441,0.5227414108302949,0.6210783644093987,0.432317069912364,0.4957113266321006,0.5340629414031992,0.49680442694030846,0.4238238891143305,0.4889818651940989,0.42983618433592374,0.36127632315723596
COP,0.3706324856314633,0.3108710682475301,0.29631537026081917,0.27524149434728756,0.31297365265204985,0.24724998670342677,0.24202779895705906,0.3514798205847752,0.25601623422277836,0.295394456435436,0.25894700650407365,0.3590514299143478,0.2862147919894625,0.33665189278527574,0.371478312478878
Sym,14.669552080486858,2.9719908423363353,4.199970664934111,0.2633424742188928,0.9047312504601701,0.1597543576309938,0.4675909083917665,0.08066432526401546,0.13422673186972442,0.18214227296329139,0.14477476461745786,0.10114322040781933,0.20339168940620905,0.11052840196771158,53.0211247335486
CS,0.5079183282761522,0.40306999433578267,0.5598631419239214,0.5129155065564397,0.670644139254597,0.6518117980538138,0.4238665433196893,1.1240614616059375,0.7106283813741562,0.5655627344662474,0.691891956041854,0.9259101518451174,0.6969179533939268,0.941711149125598,0.4067019746915732
SF,0.6147790744823234,0.5564477819481926,0.6111094090522298,0.4249127535667444,0.5710253708512312,0.3358577551172872,0.4761273999885036,0.3888394251604893,0.39101161229366255,0.4792292569433195,0.40629129299225664,0.40745977261820454,0.49434599164551163,0.4581296379115244,0.6248298387986078
SD,28205.43525635808,28390.70726714187,402389.5977247414,65451.80098691759,386962.7580590209,76024.34187596348,153803.40165269747,580850.3713241497,362938.9465308988,434263.3915880446,373706.2586931209,752225.7494681099,781955.9596067073,1086109.6364154418,37863.11320438741
SDbw,1.5071456679982829,0.25324440703100326,1.485020840861862,0.22430339379532935,0.8993915108485858,0.1788670396756168,0.10804590718013805,0.7358806971071373,0.5115277482039747,0.44590844590056966,0.49543572049821505,0.6981284159118994,0.5047538417079581,0.8801751098957336,1.6460498530390288
