,labels_s4_DBSCAN_params1,labels_s4_DBSCAN_params10,labels_s4_DBSCAN_params11,labels_s4_DBSCAN_params12,labels_s4_DBSCAN_params13,labels_s4_DBSCAN_params14,labels_s4_DBSCAN_params15,labels_s4_DBSCAN_params16,labels_s4_DBSCAN_params17,labels_s4_DBSCAN_params18,labels_s4_DBSCAN_params19,labels_s4_DBSCAN_params20,labels_s4_DBSCAN_params5,labels_s4_DBSCAN_params6,labels_s4_DBSCAN_params7,labels_s4_DBSCAN_params8,labels_s4_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,
SSE,3370.1860021627426,2616.268153613726,2680.2418295031757,2770.4996183827293,1167.5912220096902,2115.6025052873765,2599.55337937229,2512.9424991740334,1764.9135029461836,1800.0286517215886,2107.252796423967,1704.8603566717657,2691.89551497341,2812.5111748401696,3466.0880155855903,3404.5890113273863,2039.5776642630149
RS,,,,,,,,,,,,,,,,,
DH,0.04175944658699702,0.004052319100684503,0.010503060524899117,0.01987281152089493,0.0004502238332180137,0.004188800727843565,0.007055472781595483,0.006253442421998478,0.029081110447477295,0.30029553083078436,0.1614370779132754,0.032003757565302465,0.0013780003783847939,0.01417709251158889,0.04534863666543842,0.1712620222738388,0.0005458394286197093
B,0.00620304986566384,0.22142620429559556,0.163651001779389,0.1688546440865057,0.4759222032015684,0.43492419844086233,0.5930385292212395,0.393393165746464,0.606755950250313,1.0678607484254177,1.2529921552402679,1.0713704655335137,0.1632586110610403,0.1014604389496553,0.10588599239817417,0.026200659377559034,0.25468295078674685
BH,3.6137888753888673e-06,0.013026132970036013,0.011122142596971711,0.008407029503527088,0.07569352250691584,0.11783075346992126,0.10162004073443173,0.0677584134804283,148.01342502533876,414.4581735493557,251.8127320073423,39.41948693270056,0.0021685333794308845,0.0023344608327190174,0.0014914773279745897,0.0015495910398789269,0.012165634358814235
D,0.6652005126172211,0.3136835587005862,0.22298430781625878,4.695465278518678,0.0194868932478772,0.03278499448304973,0.07194201237089108,1.243780808698068,0.11681324232739301,0.5072261046316507,0.28750330752908665,0.05246605753565264,0.2215323702087967,6.154507420426535,10.35841407828293,28.263330538431465,0.1022002677210109
H,,,,,,,,,,,,,,,,,
DBCV,0.0032981543554980457,0.045908365909142386,0.1094905188563424,0.0953196798414415,-0.0838809252863415,0.22130352662899,0.3084903226850987,0.2505564343032841,-0.8440197103307819,-0.7410743752744275,-0.5212893043477641,-0.19670382011882256,0.015150532907097215,0.0653818183995149,0.039994762513812496,0.02779689407026583,0.11573758819278923
I,197899147.61813706,246.8334013527453,1701.5490073112737,5785.524261253897,0.04424703983396009,4.815546354301185,23.871594080265307,41.760424024670975,0.03887624063881479,0.06516955186156917,0.14239695218975446,0.07828145352368691,486.2371598541074,27115.24890409973,311105.87757519196,293684.0191534462,4.513083769911546
C,0.5107211846933402,0.4502134251824363,0.4576787385328643,0.46597490381703777,0.4166716435607384,0.44290225837681596,0.44148239506380316,0.4379907496521637,0.32910346961668147,0.3398569747918459,0.34531609644814965,0.2502988747431679,0.4579608470017251,0.469936021521202,0.46748603639403635,0.44592111637128556,0.44732126093301533
CDbw,1.0753827741478041,1.661511999834932,1.551744340137266,1.6932949863727405,0.2777780883487589,1.0514511801965616,1.656435304068873,1.6264082258119505,0.21447814897697362,0.0751930211191319,0.1749417977132767,0.23393909569260177,1.191556166121131,1.7582027802333984,1.825467979864209,0.6268995983556314,0.674636143079768
VIASCKDE,0.6851668587953376,0.607138466545453,0.6381960925286025,0.6474330354194825,0.4891972119470767,0.5788193017239535,0.6037444302555925,0.6090386857792328,0.6190359956196781,0.5333039271493354,0.5311377644173456,0.573722515778088,0.5890895284394457,0.6392164932352994,0.6670686455039849,0.6898526269410559,0.5447811320037325
COP,0.3293647546569651,0.3175505741192726,0.2861682093280101,0.296276647268173,0.22468505167125585,0.2639236264551246,0.24158874267284383,0.249889421383719,0.3742460635740135,0.3338421571548737,0.33103156930102007,0.2806582858722953,0.33430854136690236,0.30672320545717785,0.31577667291899336,0.29620247061264626,0.2804897188915714
Sym,0.0025503216501309637,0.0014532833343331318,0.0022555375711129175,0.0026903677195534623,0.0003355949255957194,0.0012339792801549477,0.0018186373507677416,0.0017782851100396357,0.0027258353095898,0.003803855481469869,0.0028553998018448047,0.001714192970117469,0.0008448596230327033,0.002630944526949751,0.0042329864830552896,0.004213801925946868,0.0005006011732052436
CS,1.475608994979989,0.5522999628869903,0.6904305838943046,0.650963301717102,0.9762066742779402,0.8656438480141823,0.6029690002557607,0.5588932013242829,1.3361520430525333,2.9005771578434163,2.1581687876135436,1.7966955330576482,0.6480647331827765,0.5930502045791882,0.7816781465279251,1.0118956394928638,0.9409484195759388
SF,0.45451589952449034,0.40991919110975217,0.4313769580527467,0.4410253959719692,0.056110655443135427,0.2953430610550518,0.3550115829634789,0.37405603313595437,0.20339024119079518,0.24729850290506705,0.2509407653019542,0.20866124622199345,0.4184539434685449,0.44611486057470984,0.4521356920466477,0.4552264537721329,0.29835907360493874
SD,1032464336.868549,330273463.12068903,543647325.6717579,753492583.6895816,77776746.52633439,270268889.9617352,384477272.5409056,375309988.48508865,2353779536.2902956,6309773052.27653,4211259037.678702,1416145854.8228552,198886959.66874227,673875004.329864,1219493597.247569,2031837621.4214263,94769145.31492946
