,labels_glass_DBSCAN_params21,labels_glass_DBSCAN_params26,labels_glass_DBSCAN_params27,labels_glass_DBSCAN_params31,labels_glass_DBSCAN_params36,labels_glass_DBSCAN_params37,labels_glass_DBSCAN_params41,labels_glass_DBSCAN_params42,labels_glass_DBSCAN_params46,labels_glass_DBSCAN_params47,labels_glass_DBSCAN_params48,labels_glass_DBSCAN_params51,labels_glass_DBSCAN_params52,labels_glass_DBSCAN_params53
cSIL,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,
SSE,306.5675634894879,283.90826399660057,292.28175766359146,541.9086243261132,441.549691832398,314.9478561523468,401.4948467920272,412.21072742216774,388.49097712404057,435.51245933680747,404.736310568425,413.16538240626835,417.2087077030335,473.44933146972954
RS,,,,,,,,,,,,,,
DH,0.0964487869695322,0.048391716638231864,0.3417311448895651,0.033238062113317535,0.02270854968303568,0.1782782328161904,0.04213712935826507,0.04771875902049702,0.053337497413944404,0.08776655447313406,0.2912762199061112,0.08748153657161628,0.11347816152388927,0.2599707719974389
B,0.08821489384627162,0.1387700526645302,0.0793745034170549,0.37595274228048436,0.47574790052013594,0.5438450699278878,0.5437759493196682,0.36880799833069305,0.7324419301980284,0.5042121788634923,0.7593364958013632,0.8983542475504664,0.747069501917017,1.008666908909251
BH,0.0047561965351764655,0.0439959173164686,0.04266341947759594,0.2739891610964349,0.43237766042694276,0.8813382365454481,1.0763604067022474,1.086672356371976,3.6761071766619406,4.03400488226173,3.7060559354618863,7.700349250321868,9.135543220925733,14.512755086509754
D,2.2798451160676243,0.34709694404064584,2.443563167078461,0.5611873991051055,0.4083677936398846,0.5488640141370663,0.5850161987178142,0.28781469870837406,0.37035959678109964,0.7315677271364855,0.9691574580160519,0.3567102803255371,0.443891869558542,0.49654994760785565
H,,,,,,,,,,,,,,
DBCV,0.04225352112619883,0.09859154929398685,0.00535658798428436,0.09365568746937335,0.27369345689885877,0.2686823831757269,0.3486115313839431,0.3061665824443713,0.25158553779400306,0.3496996611155093,0.12822009901587503,0.6160468290932372,0.7166667097200868,0.7032729826652628
I,5601.8504377026775,31.541897877892424,108.0686686108093,19.989993945566894,3.50765586464873,8.841447442301298,2.9548917908690666,4.792649127232965,1.2803161928560371,3.4039910559325586,3.3619253393598663,0.5859881290429726,0.8699082589991679,2.4684903422423807
C,0.6762762946471796,0.6661438378570687,0.6905401921858177,0.5241407894378255,0.41211711975302123,0.5148373706133135,0.30414394220870167,0.34184579342804516,0.18764439162545946,0.22814783793899696,0.35219759707525466,0.05569792181527806,0.05972619054597764,0.0876208900667871
VIASCKDE,0.06690243812127879,0.09204566069494308,0.06488550736828931,0.11959896167157014,0.15397090766811125,0.12212585287548285,0.15820893557313354,0.14751092452202638,0.15425416394385555,0.14175176914811752,0.12689463542137358,0.16337410462543328,0.1577191768999985,0.148634427459615
COP,0.25980745168963887,0.31919748694569083,0.2629985624884616,0.35621528277801645,0.35370315641599914,0.3292263579787014,0.3613361977804144,0.35438157820065075,0.3205378372967276,0.3109681495875015,0.32488711958465144,0.3342666625587535,0.33441832201627825,0.3330874910400968
Sym,0.0012690428839221204,0.0007790365467990574,0.0011850738674231414,0.002200794107236097,0.0018845825212678623,0.0019340808653494745,0.002864975714247324,0.0031683003986695602,0.0032107763255533376,0.0043011774411926525,0.0032710435100653463,0.0035693370088153466,0.004270154172686433,0.006166763842250312
CS,1.9031905572470058,1.650885441170921,3.446144846191123,0.8653654308198533,1.156719239240021,2.012070449703889,1.2127670023141905,1.4039256315107511,1.360287753057391,1.4122471631947446,1.6790916559131726,1.598279734784996,1.5396722021631142,1.6354261936353771
SF,0.29026298397287953,0.19672431383475897,0.2850307670364224,0.16944162011865915,0.08802206571600235,0.1972807374481279,0.08439303207748816,0.10160100221963753,0.08523125384449692,0.11967192748848232,0.1801877311771578,0.051875160842776435,0.07429000838241917,0.14525303728275696
SD,3557.046866579814,2606.619177784958,5729.154934366138,2608.710419168881,2277.1512120022358,5412.749303140844,3346.468107849205,3569.1912526495435,4295.758259336495,5421.393980157011,8130.1040702607215,6210.920297686407,6640.355415333476,8874.677439049548
SDbw,4.5046929965761215,1.2221211326254195,4.580624275024309,0.43679401422647535,0.2617872466192965,1.8736564970149876,0.3439110375786868,0.40860007542880394,0.4094787065029645,0.5112206242761612,1.1116877840702393,0.5332421902962409,0.616299005919988,0.8418549484040819
XB*,70.98197562425321,122.71516470732536,20.393090448168437,11.991519219144928,20.542307244068752,8.822962908045406,5.778086045994113,16.94942724556082,5.893562420315224,3.4246753825240877,2.0619532869321366,6.2830377473545544,4.356797305558637,2.149211337468066
S,-0.3527762227542231,-0.21615499228889629,-0.2885596742183842,-0.179702776508806,-0.0652049237830756,-0.04423703067512424,0.1342182197358029,0.0977505951147777,0.08010504441409531,0.15995622324793293,0.16325671202796743,0.2852780179591607,0.449578041066195,0.43240217212206317
DB,1.578456479994408,1.5894291348090404,1.7913743241578952,1.426836400726368,1.580063420160394,1.5817749241025565,1.6198344441587391,1.3244775856012407,1.6634364265036246,1.406149497168137,1.535080849959692,2.076296978676916,1.776850489333841,1.5403697906528777
CH,1.2864657417745642,2.238933025015178,2.556361826071742,6.518786476913761,8.41240244793023,11.61940195730753,18.292075263739147,18.597139675423367,21.763874985270718,26.871866694066533,27.22852932828318,36.63445429454851,44.67890585855923,71.191428806408
