,labels_s4_MeanShift_params1,labels_s4_MeanShift_params10,labels_s4_MeanShift_params11,labels_s4_MeanShift_params12,labels_s4_MeanShift_params13,labels_s4_MeanShift_params14,labels_s4_MeanShift_params15,labels_s4_MeanShift_params16,labels_s4_MeanShift_params17,labels_s4_MeanShift_params18,labels_s4_MeanShift_params19,labels_s4_MeanShift_params2,labels_s4_MeanShift_params20,labels_s4_MeanShift_params3,labels_s4_MeanShift_params4,labels_s4_MeanShift_params5,labels_s4_MeanShift_params6,labels_s4_MeanShift_params7,labels_s4_MeanShift_params8,labels_s4_MeanShift_params9
cSIL,0.8501968378296918,0.8064173597936726,0.806010962485804,0.8130322216525397,0.816346768787973,0.8071683428676174,0.8137460918773551,0.8064173597936726,0.8132202852229694,0.7025247711279693,0.7134687080957003,0.8420397821543201,0.7135840969820224,0.844642149493417,0.8291355551942692,0.8164542323569055,0.6674993924471863,0.816346768787973,0.8071683428676174,0.8137460918773551
GD43,3.6828575200172655,2.878296945632115,2.6319220764171116,2.7146791128436574,2.8201490353583916,2.83139804474883,2.8377422892070427,2.878296945632115,2.7423707311648853,1.7473841432950385,1.7938741427779203,3.563597172337452,1.796116085756248,3.929568886882392,4.058721264636523,2.832157143845686,1.6844822144488745,2.8201490353583916,2.83139804474883,2.8377422892070427
GD53,0.15473797681659365,0.3483134979389317,0.41747214457387216,0.41335283082992286,0.31166052088690616,0.3407914594772653,0.4434560624157741,0.3483134979389317,0.42404292247184566,0.48251922030578626,0.4786468129111647,0.16135088138375905,0.4790269856853425,0.15659175044988893,0.19679682035571328,0.31115120329386936,0.3678756202245566,0.31166052088690616,0.3407914594772653,0.4434560624157741
PS,-0.33804787558250277,2.5725294136826897,2.323219652339344,2.257725104487686,2.430645110708807,2.5969071914054545,2.538917633083525,2.5725294136826897,2.4301189484159456,1.8138498473150557,1.7710332196918013,1.8034856220723647,1.7716869862369982,-0.019615151353702287,0.6830752585283462,2.404514151998149,2.122102652688766,2.430645110708807,2.5969071914054545,2.538917633083525
rCIP,3.768672456530318,0.5432388219788997,0.20714255954535415,0.21560098366497477,0.6106801455202585,0.5424255103231714,0.2032747681815163,0.5432388219788997,0.1995358215943976,0.07083726878436604,0.0931605140793975,6.875526794622433,0.09315105328528296,2.863701683207378,4.4040820452238645,0.6063596027712427,0.6821317404170817,0.6106801455202585,0.5424255103231714,0.2032747681815163
WB,1.046567802401993,1.6110749224690226,1.911069232241459,1.9362502694978656,1.6697323311542043,1.6104189448642676,1.8429783722688395,1.6110749224690226,1.8594403095227197,3.4177195068973814,3.2627251475753303,1.0209811102079427,3.2603713072901934,1.0709361761850384,1.099186405700878,1.6706884425676585,2.114845811648017,1.6697323311542043,1.6104189448642676,1.8429783722688395
XB,0.2898328660840518,0.280217294405502,0.25662055364148806,0.2442978892995555,0.27244777002606535,0.2786371492015363,0.24394837807993175,0.280217294405502,0.2455079785147463,0.4244258058269839,0.40322349583607947,0.27879747332141647,0.4029672219101851,0.2777981156043858,0.27356348474748926,0.2731146767592339,0.6529167487503017,0.27244777002606535,0.2786371492015363,0.24394837807993175
SSE,106.0957349020856,408.85606604511963,554.1165731322005,558.5539101930622,419.3581386461584,408.737377605671,541.8866912214585,408.85606604511963,544.8748535818409,898.2985040943008,882.8167751621874,96.78770291165989,882.574627280901,116.66958979768614,119.48896571609008,419.52752207741435,492.4860968105745,419.3581386461584,408.737377605671,541.8866912214585
RS,0.10523675413620434,-0.1108308719467936,-0.1615521082823874,-0.1613365222397907,-0.10015010590002543,-0.10985145871068441,-0.14182114174986987,-0.1108308719467936,-0.14288203449814663,-0.25766408451287437,-0.23335114111190386,0.062062691278330515,-0.2331623839608666,0.08855296866351874,0.016225841933839764,-0.0995353401300835,-0.3258510124998327,-0.10015010590002543,-0.10985145871068441,-0.14182114174986987
DH,0.01945812868903452,0.14927086963667013,0.2506709996103662,0.252218677299802,0.14746404763318954,0.1490779641383185,0.25073843360848136,0.14927086963667013,0.249775830586243,0.6274411120677608,0.6213217963290523,0.018056384830247636,0.6212494277489657,0.0216915981434661,0.023135726438804956,0.1473489737507941,0.1683962083930297,0.14746404763318954,0.1490779641383185,0.25073843360848136
B,0.0764689203343373,0.30090587509942973,0.40936896006911416,0.41408575168564016,0.2949122611803097,0.30015872679366445,0.4055641557155802,0.30090587509942973,0.40409196687799787,0.8436831843843363,0.7977385335235015,0.07139224976050888,0.7972985006457542,0.07958451876345897,0.08477230312032462,0.2948424151579803,0.43479977133480185,0.2949122611803097,0.30015872679366445,0.4055641557155802
BH,8.161210377083508,102.21401651127991,184.70552437740017,186.18463673102073,104.8395346615396,102.18434440141775,180.6288970738195,102.21401651127991,181.6249511939469,449.14925204715047,441.4083875810937,6.91340735083285,441.2873136404505,9.722465816473848,9.957413809674172,104.88188051935357,123.12152420264366,104.8395346615396,102.18434440141775,180.6288970738195
D,0.15957445785352975,0.17971341482804354,0.2038669306511618,0.23146234198448384,0.18363006893628772,0.17995051381113478,0.1962575923685236,0.17971341482804354,0.20240346593605382,0.16828448429053428,0.1473918521445023,0.1565197143312749,0.14736328779692565,0.15745261551412154,0.1434762441700549,0.1728457407190988,0.12352591700363527,0.18363006893628772,0.17995051381113478,0.1962575923685236
H,1.9120372542979516,0.7504967422789879,0.5856618627353166,0.5659529945014512,0.7000706384212465,0.7470289732361673,0.5606132506918898,0.7504967422789879,0.5640902346069157,0.5943976923984367,0.5722366919572371,2.124012936793764,0.5720378190843455,1.8293835907166254,2.0015922405610267,0.6993395258316794,1.246265690402204,0.7000706384212465,0.7470289732361673,0.5606132506918898
DBCV,-0.8909724166341122,-0.9851726974288824,-0.968715229676854,-0.9826471661285925,-0.9916293340455719,-0.9850159443339178,-0.9894014343721136,-0.9851726974288824,-0.9610440063604679,-0.9746037970950396,-0.9953428089673535,-0.9212201967703668,-0.9988837410238158,-0.9431249610927611,-0.9568835309864085,-0.9895362035570521,-0.9882860188647828,-0.9916293340455719,-0.9850159443339178,-0.9894014343721136
I,0.16240189957923362,0.1926196020386909,0.19807594899474162,0.18746905821103887,0.22549367066495815,0.19465227887333258,0.18565220839194196,0.1926196020386909,0.19073216965105752,0.177073590529779,0.18710070511468288,0.15075307192337264,0.18720054178825643,0.1647103224058223,0.14552780450031028,0.22594030557500716,0.1494661156877903,0.22549367066495815,0.19465227887333258,0.18565220839194196
C,0.037207413476588555,0.09934429769921123,0.12524260398356254,0.12929939201251506,0.10438448742410845,0.09937276170337499,0.12047493500138423,0.09934429769921123,0.12178513932800597,0.21362885575708554,0.20916096048690114,0.03441628785830948,0.2090238965524678,0.03923108680220992,0.04082618514094382,0.10449614616083916,0.13286638343207138,0.10438448742410845,0.09937276170337499,0.12047493500138423
CDbw,0.1392376996750768,0.016948725002414053,0.01819197614453058,0.014512796180518914,0.012480343972870483,0.017083870478654308,0.01651988002346326,0.016948725002414053,0.013458341123305335,0.006287552950342146,0.007362361265498388,0.102978191758968,0.007580012749061131,0.12044071620966403,0.0809817275453627,0.01709214814939419,0.05446301156178729,0.012480343972870483,0.017083870478654308,0.01651988002346326
VIASCKDE,0.6730741464175143,0.7082588616136863,0.7237259717837918,0.7232564741272689,0.6934640971006095,0.7074886887641776,0.7184935352928885,0.7082588616136863,0.7228142526204012,0.7088803067156536,0.6988838528988992,0.6482991531325786,0.6987234114125251,0.6762044792221443,0.6444275320132998,0.6917443531054452,0.6639149751165858,0.6934640971006095,0.7074886887641776,0.7184935352928885
COP,0.1778933269672475,0.2322595076459821,0.24101115682821073,0.21733978438770646,0.2269768209827599,0.2330425379431725,0.2346574170650537,0.2322595076459821,0.23766275422911218,0.2727691914842575,0.2624191099201957,0.1748925197504666,0.26236820585206544,0.19044724155605913,0.19129408879364423,0.22746806332994438,0.23333540957367396,0.2269768209827599,0.2330425379431725,0.2346574170650537
Sym,0.0057021826681079805,0.004970244722270236,0.005796608916699755,0.005675009467460499,0.005031110788013421,0.005037082326789611,0.005803578353110263,0.004970244722270236,0.005931018991704326,0.005226929391736612,0.0051871286671884885,0.004819790253393131,0.005193160541461633,0.005986449815288391,0.005326918190089418,0.005032943903991804,0.004478018692349958,0.005031110788013421,0.005037082326789611,0.005803578353110263
CS,1.359009047539369,1.5198716081230186,1.6001403922498334,1.5700995457165476,1.4867705056631753,1.519371291887566,1.559725104106824,1.5198716081230186,1.565293471152626,2.057768522420222,2.0419009683352747,1.363460581877443,2.041471721496996,1.3730795635783832,1.396562559368133,1.4941933831489818,2.1857032160189322,1.4867705056631753,1.519371291887566,1.559725104106824
SF,0.20301567743695081,0.31110083969419244,0.34546744139207586,0.3465082588520483,0.31393324427969305,0.31118828380168484,0.34756249475436074,0.31110083969419244,0.3473635638281467,0.3861174699934464,0.38949980925533956,0.1821734813680198,0.38951457652195554,0.2084886608869031,0.19095505164202797,0.314021167753744,0.2920252645373912,0.31393324427969305,0.31118828380168484,0.34756249475436074
SD,448170516.22818357,1816202356.2172532,2461346399.397689,2456150525.579834,1745616923.7058413,1811698114.5750966,2442644983.597981,1816202356.2172532,2434533668.061431,4158645184.2825103,3813288685.9943366,430458662.7434685,3812459204.3420916,499234431.0653793,533541511.51415473,1744364249.7342842,2195494322.0282407,1745616923.7058413,1811698114.5750966,2442644983.597981
SDbw,0.36091996575085894,1.1128064250190124,1.3215153995130766,1.3130039686788224,1.032952803455157,1.1083683352616536,1.3296222045880854,1.1128064250190124,1.320059523794615,1.7957587206647116,1.6241828721461482,0.3463657515632888,1.6245217759989838,0.3788682948236416,0.40772523285431606,1.0326164060288088,1.1951224919105568,1.032952803455157,1.1083683352616536,1.3296222045880854
XB*,0.501758735349419,0.32157453818909293,0.28908604563975804,0.2723728494363198,0.31954500806714575,0.3260253806320158,0.26434845671920576,0.32157453818909293,0.2736612232590258,0.43980196846667907,0.42121193013241326,0.5324768440300534,0.420610147185822,0.43903173327289485,0.4168031018263787,0.31851504488380483,0.7642236862420884,0.31954500806714575,0.3260253806320158,0.26434845671920576
