,labels_data5_DBSCAN_params10,labels_data5_DBSCAN_params13,labels_data5_DBSCAN_params14,labels_data5_DBSCAN_params17,labels_data5_DBSCAN_params18,labels_data5_DBSCAN_params19,labels_data5_DBSCAN_params20,labels_data5_DBSCAN_params21,labels_data5_DBSCAN_params22,labels_data5_DBSCAN_params23,labels_data5_DBSCAN_params24,labels_data5_DBSCAN_params25,labels_data5_DBSCAN_params26,labels_data5_DBSCAN_params27,labels_data5_DBSCAN_params28,labels_data5_DBSCAN_params29,labels_data5_DBSCAN_params30,labels_data5_DBSCAN_params31,labels_data5_DBSCAN_params32,labels_data5_DBSCAN_params33,labels_data5_DBSCAN_params34,labels_data5_DBSCAN_params35,labels_data5_DBSCAN_params36,labels_data5_DBSCAN_params37,labels_data5_DBSCAN_params38,labels_data5_DBSCAN_params39,labels_data5_DBSCAN_params40,labels_data5_DBSCAN_params41,labels_data5_DBSCAN_params42,labels_data5_DBSCAN_params43,labels_data5_DBSCAN_params44,labels_data5_DBSCAN_params5,labels_data5_DBSCAN_params9
cSIL,0.9034532204055488,0.7621431162157049,0.9378224523171252,0.9273816259722477,0.9141905098344798,0.9966075980543195,0.9970360325274332,0.9249651434810817,0.9677668507680379,0.9762302924209463,0.9810490231440671,0.9233184559976889,0.9233184559976889,0.9233184559976889,0.9578441624912833,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.9223852062683998,0.961717033752192,0.8523622142186973
GD43,117.35010813366866,5.406469116106551,9.453649851719423,2.6952595105534294,4.865035350079318,66.0202380955748,79.93367591476927,3.0993410880575967,6.379951225841642,9.77760620493435,13.812428259107534,2.2897592390914916,2.2897592390914916,2.2897592390914916,4.616102918849463,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,2.2641733338505348,418.54189504919094,9.570297780412607
GD53,0.21130494467241545,0.013918979425317727,0.050088909262270734,0.013300380752585692,0.15635761996906447,0.3352952488938452,0.34965016464842746,0.02547343114292086,0.07700190439494649,0.11705357560558628,0.16267819563302072,0.33574692160618946,0.33574692160618946,0.33574692160618946,0.05685719077878989,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.3360492515128876,0.27751880807311724,0.009038543697283645
PS,1.5106937554273259,-9.115028513821338,-1.7813411492501934,-7.49287442902798,-0.14594394061358895,1.7936717525255619,1.7080495732863614,1.3563194985955067,2.3869363976418363,2.1887576240425006,2.036431618535721,1.4641206019217798,1.4641206019217798,1.4641206019217798,2.5266614278368382,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.4626190970351254,1.538632497418358,-9.466727881020063
rCIP,33.7317493049778,72.21213729428185,11.845540514852464,4.625563678191013,0.5061538153566146,4.0735254506967605e-64,4.2902907497030954e-74,0.0893650533823146,0.00019038585593651793,6.4715453945502715e-06,2.9044073979170873e-08,1.1206769980814915e-13,1.1206769980814915e-13,1.1206769980814915e-13,0.0011687633640656036,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,1.6767632160369286e-13,2.079415090260556,181.6786134129314
WB,0.5197750070797224,0.05966148945005578,0.030482571282039177,0.2431193594566422,0.05660321858391262,0.026351925578076286,0.02302936890548835,0.24300915999589467,0.14911415967114455,0.09907019934103914,0.07613559078383256,0.9162167196030494,0.9162167196030494,0.9162167196030494,0.20937787043215023,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.9292818285722176,0.23301722538032293,0.03540805911260161
XB,0.1812833672132854,1.8621420026111004,0.8978616560474515,0.6400422203068818,0.46801647660272766,0.0032656751770339817,0.0028170219995187636,0.10927891159099597,0.031393772425534275,0.021712238744284674,0.01706505113830601,0.10185280956326347,0.10185280956326347,0.10185280956326347,0.043971564954846054,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.10320185811300192,0.04431878705972915,1.5380543211939741
SSE,0.0031812840387006134,1.563697420000849,0.7023975037401224,10.264285703339542,5.9904592659501485,4.770507469083188,3.8987874303483885,37.870837909511465,29.749566753605222,18.5682787982958,13.557261311221058,210.6696465714474,210.6696465714474,210.6696465714474,43.524053668744955,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,213.45139907380764,0.00036737493897703405,0.18377197135502027
RS,0.5879509573640044,0.9792985800720397,0.9882275727408718,0.9078285292092233,0.9596269802017393,0.9729067186015596,0.9759830115565976,0.8131941818162938,0.8457465937027872,0.8879923548784777,0.9113021320816549,0.5248807364235011,0.5248807364235011,0.5248807364235011,0.8022289363560136,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.5207607567847358,0.8008980847047288,0.9895872441236659
DH,0.2512078805253466,0.03003489431617299,0.023628939545718725,0.06154296943734269,0.06976634334069501,0.07169807955074428,0.06768809459601903,0.1353831646073117,0.14961444055999032,0.1315259852726293,0.1191365443080925,0.24416996203425528,0.24416996203425528,0.24416996203425528,0.16497049372964243,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.24529479904810922,0.18310624569773612,0.018628174252211607
