,labels_wingnut_DBSCAN_params11,labels_wingnut_DBSCAN_params16,labels_wingnut_DBSCAN_params17,labels_wingnut_DBSCAN_params18,labels_wingnut_DBSCAN_params21,labels_wingnut_DBSCAN_params22,labels_wingnut_DBSCAN_params23,labels_wingnut_DBSCAN_params26,labels_wingnut_DBSCAN_params27,labels_wingnut_DBSCAN_params28,labels_wingnut_DBSCAN_params29,labels_wingnut_DBSCAN_params34,labels_wingnut_DBSCAN_params35,labels_wingnut_DBSCAN_params40,labels_wingnut_DBSCAN_params6
cSIL,0.9835894956927691,0.8598136799016733,0.8912042743157133,0.9993512068292003,0.8693556773560236,0.8972810690531798,0.861432002067579,0.8216300778494973,0.8070688336640703,0.8768115491103012,0.9280946687045801,0.8771179086515561,0.9952301404007946,0.9345528003406365,0.9999821549055979
GD43,142.15820180252018,2.16138911989026,3.000158617056521,547.1256480679085,0.4038450315483304,0.5435446483335752,2.316072763767373,0.39011194449813635,0.6164223957410407,3.179789139376881,8.053812434024833,3.134301760502603,70.86173140511114,5.428627144323967,26324.995642245056
GD53,0.050043550666448736,0.008594490510819777,0.03243508205216699,0.4999991017814089,0.003701217133584117,0.003415323267087355,0.03132718835678755,0.004511923435599088,0.0065665792649593924,0.49999999563000413,0.1805649197961058,0.4987199156822993,0.4999999736273432,0.4999999905221442,0.49999999999999817
PS,-5.666957662755706,-53.036508577669736,-23.441634789013754,1.9633687222225316,-23.03081222746207,-15.804327361010953,-4.1149490672311675,-11.561976895734563,-6.995916880793398,1.9633687222225316,0.9094887941785815,1.9580495732863614,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,0.16114009898625853,37.85435804928065,31.569691918998718,5.262379797494725e-247,7.915387856441821,2.0960430107997166,1.6180927698200407,4.254069066371066,1.9530011325114098,0.012457547106922498,0.031394897920181374,0.016317408130118328,2.2748384842673517e-42,0.00828396250091904,0.0
WB,0.009707440956237195,1.2563940478713702,0.5412878625433774,0.005193715013229332,10.069976663611596,6.5586061793263575,0.5983544777813675,6.902134883734445,5.558932702038616,1.1239674113754357,0.20713311677864255,1.1207950883185616,0.038341761613324636,0.560243998074874,0.00014276330284183867
XB,0.034797641290414974,1.4203131274527334,0.9362750015216833,0.0006492143766536663,7.2089426573641004,4.7562682682842174,0.8780990506421732,7.016755692131901,2.8980407567746678,0.14049592642192946,0.09147551566029925,0.14009838977751948,0.0047927202016655795,0.07003049975935927,1.784541285522983e-05
SSE,0.012392951750779228,7.227067630873078,3.6116342940793187,0.02572800830788463,133.42985762863614,107.57033731703245,13.04403582519845,169.2352386707979,164.29511767506378,127.76627878430668,9.698246083628216,135.53764313349876,1.0388058057853158,71.95470279734971,0.00012129085103251147
RS,0.9905909269814756,0.5899981249113028,0.7732272027033393,0.994819737390614,0.2023968670502237,0.3422004171323176,0.7384588507145002,0.046279179620306345,0.09240493842403505,0.2804230881009291,0.8361518640104809,0.2817295819496461,0.9623794573261576,0.5623510895866654,0.9998572468871111
DH,0.014391791244052286,0.05776956131894175,0.06846604259234428,0.03148644247720479,0.09345433150447566,0.09321451699708266,0.14404960728901298,0.13521400373382378,0.1767927777643076,0.43537441156955226,0.1729904482079322,0.43595276669433225,0.0876623687123822,0.32417013143511136,0.0045900624158813335
