,labels_x2_HDBSCAN_params1,labels_x2_HDBSCAN_params10,labels_x2_HDBSCAN_params11,labels_x2_HDBSCAN_params12,labels_x2_HDBSCAN_params13,labels_x2_HDBSCAN_params14,labels_x2_HDBSCAN_params2,labels_x2_HDBSCAN_params22,labels_x2_HDBSCAN_params23,labels_x2_HDBSCAN_params24,labels_x2_HDBSCAN_params25,labels_x2_HDBSCAN_params26,labels_x2_HDBSCAN_params27,labels_x2_HDBSCAN_params28,labels_x2_HDBSCAN_params29,labels_x2_HDBSCAN_params3,labels_x2_HDBSCAN_params30,labels_x2_HDBSCAN_params31,labels_x2_HDBSCAN_params32,labels_x2_HDBSCAN_params33,labels_x2_HDBSCAN_params34,labels_x2_HDBSCAN_params35,labels_x2_HDBSCAN_params4,labels_x2_HDBSCAN_params43,labels_x2_HDBSCAN_params44,labels_x2_HDBSCAN_params45,labels_x2_HDBSCAN_params46,labels_x2_HDBSCAN_params47,labels_x2_HDBSCAN_params48,labels_x2_HDBSCAN_params49,labels_x2_HDBSCAN_params5,labels_x2_HDBSCAN_params6,labels_x2_HDBSCAN_params7,labels_x2_HDBSCAN_params8,labels_x2_HDBSCAN_params9
cSIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE,76.96665568032407,96.93889030690352,96.93889030690352,96.93889030690352,96.93889030690352,96.93889030690352,76.96665568032407,76.96665568032407,76.96665568032407,76.96665568032407,76.96665568032407,107.55969513273396,107.55969513273396,107.55969513273396,96.93889030690352,76.96665568032407,96.93889030690352,96.93889030690352,96.93889030690352,96.93889030690352,96.93889030690352,96.93889030690352,76.96665568032407,76.96665568032407,76.96665568032407,76.96665568032407,76.96665568032407,107.55969513273396,107.55969513273396,107.55969513273396,107.55969513273396,107.55969513273396,107.55969513273396,96.93889030690352,96.93889030690352
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH,0.48667297867914,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.48667297867914,0.48667297867914,0.48667297867914,0.48667297867914,0.48667297867914,0.5112527274070897,0.5112527274070897,0.5112527274070897,0.4819904477789624,0.48667297867914,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.4819904477789624,0.48667297867914,0.48667297867914,0.48667297867914,0.48667297867914,0.48667297867914,0.5112527274070897,0.5112527274070897,0.5112527274070897,0.5112527274070897,0.5112527274070897,0.5112527274070897,0.4819904477789624,0.4819904477789624
B,1.2013126919277362,1.699002577847555,1.699002577847555,1.699002577847555,1.699002577847555,1.699002577847555,1.2013126919277362,1.2013126919277362,1.2013126919277362,1.2013126919277362,1.2013126919277362,1.6038105060134584,1.6038105060134584,1.6038105060134584,1.699002577847555,1.2013126919277362,1.699002577847555,1.699002577847555,1.699002577847555,1.699002577847555,1.699002577847555,1.699002577847555,1.2013126919277362,1.2013126919277362,1.2013126919277362,1.2013126919277362,1.2013126919277362,1.6038105060134584,1.6038105060134584,1.6038105060134584,1.6038105060134584,1.6038105060134584,1.6038105060134584,1.699002577847555,1.699002577847555
BH,0.5025005688153054,2.1493529895327304,2.1493529895327304,2.1493529895327304,2.1493529895327304,2.1493529895327304,0.5025005688153054,0.5025005688153054,0.5025005688153054,0.5025005688153054,0.5025005688153054,2.305368989872693,2.305368989872693,2.305368989872693,2.1493529895327304,0.5025005688153054,2.1493529895327304,2.1493529895327304,2.1493529895327304,2.1493529895327304,2.1493529895327304,2.1493529895327304,0.5025005688153054,0.5025005688153054,0.5025005688153054,0.5025005688153054,0.5025005688153054,2.305368989872693,2.305368989872693,2.305368989872693,2.305368989872693,2.305368989872693,2.305368989872693,2.1493529895327304,2.1493529895327304
D,0.3122294004484255,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.3122294004484255,0.3122294004484255,0.3122294004484255,0.3122294004484255,0.3122294004484255,0.5426620010181713,0.5426620010181713,0.5426620010181713,0.07095628698264185,0.3122294004484255,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.07095628698264185,0.3122294004484255,0.3122294004484255,0.3122294004484255,0.3122294004484255,0.3122294004484255,0.5426620010181713,0.5426620010181713,0.5426620010181713,0.5426620010181713,0.5426620010181713,0.5426620010181713,0.07095628698264185,0.07095628698264185
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.3482608324258784,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.3482608324258784,0.3482608324258784,0.3482608324258784,0.3482608324258784,0.3482608324258784,0.5808562272689548,0.5808562272689548,0.5808562272689548,0.47503481768847783,0.3482608324258784,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.47503481768847783,0.3482608324258784,0.3482608324258784,0.3482608324258784,0.3482608324258784,0.3482608324258784,0.5808562272689548,0.5808562272689548,0.5808562272689548,0.5808562272689548,0.5808562272689548,0.5808562272689548,0.47503481768847783,0.47503481768847783
