,labels_flame_MeanShift_params1,labels_flame_MeanShift_params10,labels_flame_MeanShift_params11,labels_flame_MeanShift_params12,labels_flame_MeanShift_params13,labels_flame_MeanShift_params14,labels_flame_MeanShift_params15,labels_flame_MeanShift_params16,labels_flame_MeanShift_params17,labels_flame_MeanShift_params18,labels_flame_MeanShift_params19,labels_flame_MeanShift_params2,labels_flame_MeanShift_params20,labels_flame_MeanShift_params21,labels_flame_MeanShift_params22,labels_flame_MeanShift_params23,labels_flame_MeanShift_params24,labels_flame_MeanShift_params25,labels_flame_MeanShift_params26,labels_flame_MeanShift_params27,labels_flame_MeanShift_params28,labels_flame_MeanShift_params29,labels_flame_MeanShift_params3,labels_flame_MeanShift_params30,labels_flame_MeanShift_params4,labels_flame_MeanShift_params5,labels_flame_MeanShift_params6,labels_flame_MeanShift_params7,labels_flame_MeanShift_params8,labels_flame_MeanShift_params9
cSIL,0.7921456694470127,0.8461304985518862,0.8310646269627132,0.8224219176072484,0.7865240371897019,0.8115470547260788,0.7919976150159898,0.8461304985518862,0.8383009269225079,0.8383009269225079,0.8381308409172106,0.7978590346455382,0.8394551861512554,0.8471356347233829,0.8077515121551883,0.7202039425850173,0.7202039425850173,0.7668000161354247,0.7804530840152116,0.7212760811938816,0.7212760811938816,0.7208792418965971,0.7989063090016828,0.7208792418965971,0.7989450861013612,0.7946817858662292,0.776952040590923,0.7865240371897019,0.8115470547260788,0.7919976150159898
GD43,2.8932887169094403,2.665286816332089,2.2080950814337355,2.0898038501120517,3.3589499350054197,3.6209502910051614,1.9583093692587,2.665286816332089,2.1311860480264615,2.1311860480264615,2.1293845291961713,4.457158873324284,2.1332407804582236,2.112367615182513,2.1160145500441896,1.3362074894107738,1.3362074894107738,3.453245482530758,3.634141588285813,1.4049081802992271,1.4049081802992271,1.389286611570558,3.923755706033248,1.389286611570558,3.666340069808666,2.6146318643887665,2.205706599834359,3.3589499350054197,3.6209502910051614,1.9583093692587
GD53,0.14269742095388505,0.1807464321175091,0.22454171440694468,0.23469117509677784,0.12953182524860676,0.14764898481037264,0.22797789670240806,0.1807464321175091,0.33879967898306357,0.33879967898306357,0.341097324079347,0.1708859107585779,0.3351023292639915,0.17742751556158937,0.17799250170889652,0.44382447868497826,0.44382447868497826,0.12596294261125332,0.0,0.46658857822477817,0.46658857822477817,0.4614029754845832,0.15947448443366788,0.4614029754845832,0.0,0.17237669817339182,0.16445920661715685,0.12953182524860676,0.14764898481037264,0.22797789670240806
PS,-7.452430821006858,-0.5026331393882411,-0.5571099934382893,-0.6069377948284813,-7.453971858896484,-6.329151353063454,-0.6102416372105365,-0.5026331393882411,2.253801036781783,2.253801036781783,2.2755840853603644,-8.834744699062776,2.2086340183990334,1.218583010736348,1.0171557363313246,1.9145882344176535,1.9145882344176535,-5.821877001660177,-12.773243127537356,1.8531325017500906,1.8531325017500906,1.8238338385016013,-3.312053961917647,1.8238338385016013,-9.62812627065784,-2.247832990848946,-2.717237699626121,-7.453971858896484,-6.329151353063454,-0.6102416372105365
rCIP,17.6530641495535,1.47408860766545,1.0492035134071933,1.0917979037165344,18.100584292760452,25.40382754814069,1.1319261650923291,1.47408860766545,0.09518873737249765,0.09518873737249765,0.09607691216005207,31.31060943272586,0.09481364104410687,0.5476420556212844,0.8192414837383085,0.044903428329574537,0.044903428329574537,22.428057883641902,34.30418475188315,0.04530636208938659,0.04530636208938659,0.044709086337251513,17.83670219861162,0.044709086337251513,30.39183130619291,3.2850643791699405,3.359781890273065,18.100584292760452,25.40382754814069,1.1319261650923291
WB,1.0669593324228634,1.2500983631566231,1.2989546287342675,1.3083013055993047,1.032724536592474,1.050684649958777,1.3603925171504443,1.2500983631566231,1.7657337908430426,1.7657337908430426,1.7618314550811223,1.049027112410804,1.7773731526499748,1.295957689842697,1.3355706220819374,3.077275081266523,3.077275081266523,1.0337107718575755,1.0591335302334257,3.082905448409396,3.082905448409396,3.0878730685754374,0.9863343399384786,3.0878730685754374,1.0716245073349853,1.19308442087004,1.2270392645486186,1.032724536592474,1.050684649958777,1.3603925171504443
XB,0.4807702403567138,0.2519064774083409,0.3226509960657003,0.36239520779402357,0.481025322798792,0.4417886601905212,0.4579595324229447,0.2519064774083409,0.2061435026519236,0.2061435026519236,0.20748276046832248,0.36515207377775477,0.20409231013845525,0.30326319310198935,0.32311569890688774,0.3844189730425914,0.3844189730425914,0.5069765882753104,0.4833296189312046,0.38405187578231986,0.38405187578231986,0.3838129728205876,0.33622530961124864,0.3838129728205876,0.49855871969696325,0.4030730322389198,0.4967132586932387,0.481025322798792,0.4417886601905212,0.4579595324229447
SSE,5.256576843605567,15.358306721733522,17.787548311758634,17.89538465221202,5.095475092700358,4.766485636484831,18.491965206907366,15.358306721733522,42.105705624525356,42.105705624525356,42.04707998534044,4.1039364019989115,42.279997434550744,23.39238608643732,20.69085589686312,68.87809506743622,68.87809506743622,4.512409109958337,3.8753138675648544,68.92768225613999,68.92768225613999,68.97134143658465,4.673107502016748,68.97134143658465,4.189081767782206,11.119956674150373,11.404668190302662,5.095475092700358,4.766485636484831,18.491965206907366
RS,0.057635827950182676,0.06018665504941321,0.05689902733183713,0.04343683960726575,0.0915880467533329,0.1095714676369324,-0.017941179571233326,0.06018665504941321,-0.052985175416555126,-0.052985175416555126,-0.0530046891974553,0.08425525871804043,-0.0520352826841777,0.11710395037971143,0.06677324828234586,-0.215917954539002,-0.215917954539002,0.0749233047363622,0.09036325014180052,-0.2178362838754654,-0.2178362838754654,-0.22090087875448847,0.09877301025545664,-0.22090087875448847,0.10054345588385333,0.03273562349124524,0.011804001697178514,0.0915880467533329,0.1095714676369324,-0.017941179571233326
DH,0.18616482314467916,0.29538193499795384,0.3059501408107165,0.30910033909298895,0.18534278585960823,0.17900357176740797,0.31978988975844846,0.29538193499795384,0.4702648459682942,0.4702648459682942,0.47027624477546187,0.16828864443358793,0.46904244928017874,0.34731767694776366,0.3412787604869783,0.6033002334014431,0.6033002334014431,0.17302167770096136,0.15302198259682587,0.6033056471129805,0.6033056471129805,0.6033361122255189,0.18089809526861753,0.6033361122255189,0.15847620189773606,0.2573858102770227,0.2597076795607498,0.18534278585960823,0.17900357176740797,0.31978988975844846
