,labels_a1_MeanShift_params1,labels_a1_MeanShift_params10,labels_a1_MeanShift_params11,labels_a1_MeanShift_params12,labels_a1_MeanShift_params13,labels_a1_MeanShift_params14,labels_a1_MeanShift_params15,labels_a1_MeanShift_params16,labels_a1_MeanShift_params17,labels_a1_MeanShift_params18,labels_a1_MeanShift_params19,labels_a1_MeanShift_params2,labels_a1_MeanShift_params20,labels_a1_MeanShift_params3,labels_a1_MeanShift_params4,labels_a1_MeanShift_params5,labels_a1_MeanShift_params6,labels_a1_MeanShift_params7,labels_a1_MeanShift_params8,labels_a1_MeanShift_params9
cSIL,0.8945338059164144,0.831548796815729,0.838569986289551,0.838569986289551,0.8792617145530558,0.8524786499611725,0.8498213060351558,0.831548796815729,0.7671010238114668,0.8283362395223242,0.8256259807002021,0.8946504481605467,0.8259011555031762,0.8792577782630749,0.8464401118675021,0.880569808995955,0.8797973379478903,0.8792617145530558,0.8524786499611725,0.8498213060351558
GD43,6.5494722605897815,3.015334902358587,2.5772280649539794,2.5772280649539794,3.2459861764345117,2.318706144691822,3.1877988176878946,3.015334902358587,1.593658823895697,1.7768107837052352,1.857659766537242,6.55555753956773,1.8522258202408435,3.278035393082106,2.6625342331177246,3.450164705898638,3.3998419425394544,3.2459861764345117,2.318706144691822,3.1877988176878946
GD53,0.1890783995882035,0.26662485508380135,0.247505059090193,0.247505059090193,0.10063636121090681,0.12293835325898625,0.25194921465465403,0.26662485508380135,0.3090662411664178,0.40304057453262626,0.41706243269198756,0.1890783995882035,0.4157412557739576,0.09926399393286947,0.09874236179390432,0.11288828720980953,0.12811878742389907,0.10063636121090681,0.12293835325898625,0.25194921465465403
PS,-3.9371730717829343,0.8119525697822598,1.6296449370089043,1.6296449370089043,-1.5952155930834733,-1.6121639346560692,0.9492621355487796,0.8119525697822598,2.016469713794243,1.6027129845176136,1.7024991570051402,-3.9372612251930934,1.6964709752554605,-1.565963823198301,-3.0256090698770968,0.18862098083499068,0.06971914403072038,-1.5952155930834733,-1.6121639346560692,0.9492621355487796
rCIP,2.804370448533572,0.5974259532900312,0.32392453897096024,0.32392453897096024,1.2451952100508081,2.259345130929573,0.49695600219309316,0.5974259532900312,0.051299875657765566,0.02389961836309148,0.026752214787294917,2.7815010294445925,0.02646417149733508,1.2495553723029478,3.026484751913996,0.7775463752648579,0.7795032967451786,1.2451952100508081,2.259345130929573,0.49695600219309316
WB,0.4300952285858871,0.9917627474544242,1.0508740358343815,1.0508740358343815,0.7363280743386271,0.8880271396922946,0.9811576526682808,0.9917627474544242,1.4630324592612451,1.8216566661411866,1.765927201921122,0.42989312351257203,1.7668016799194268,0.735258988158338,0.7760720411736315,0.7286636531726718,0.7291692097617347,0.7363280743386271,0.8880271396922946,0.9811576526682808
XB,0.16381885955849243,0.22042850079204065,0.24199926248794346,0.24199926248794346,0.2490584738654488,0.4535736668471506,0.19541022612706752,0.22042850079204065,0.334477238112226,0.2166860604374942,0.21577422998473714,0.16343982225757972,0.21561252640980716,0.24646546684615345,0.35570523133632304,0.2395563763253241,0.2439994723161844,0.2490584738654488,0.4535736668471506,0.19541022612706752
SSE,34.87607818650632,211.9882089893128,259.551263355522,259.551263355522,102.49582669773218,134.2168946159825,210.03996980628048,211.9882089893128,489.9079797723011,712.3697293591476,700.7957721519939,34.86007192448861,700.9800294949162,102.35720378732725,98.49000992601162,111.93464214986861,112.00648340911962,102.49582669773218,134.2168946159825,210.03996980628048
RS,0.601941598673115,0.18023866345868111,0.18327886713555416,0.18327886713555416,0.44174516650954104,0.36656979908355475,0.20386800854652773,0.18023866345868111,0.029227714383265685,0.11135307922589995,0.09506735862625287,0.6021341466746385,0.09651769665713417,0.44164527537651777,0.40332792698342546,0.4151165136986483,0.41283094397492637,0.44174516650954104,0.36656979908355475,0.20386800854652773
DH,0.007880194520984762,0.06009253667993516,0.08170472068463284,0.08170472068463284,0.021618825581941913,0.02526359341628074,0.05832448972237992,0.06009253667993516,0.22973195095868168,0.49179960139175816,0.5010983748401435,0.007878333364520767,0.5003762533757508,0.021622831111701362,0.018692204310489957,0.026018695865692075,0.02603312485822592,0.021618825581941913,0.02526359341628074,0.05832448972237992
