,labels_data7_MeanShift_params1,labels_data7_MeanShift_params10,labels_data7_MeanShift_params11,labels_data7_MeanShift_params12,labels_data7_MeanShift_params13,labels_data7_MeanShift_params14,labels_data7_MeanShift_params15,labels_data7_MeanShift_params16,labels_data7_MeanShift_params17,labels_data7_MeanShift_params18,labels_data7_MeanShift_params19,labels_data7_MeanShift_params2,labels_data7_MeanShift_params20,labels_data7_MeanShift_params3,labels_data7_MeanShift_params4,labels_data7_MeanShift_params5,labels_data7_MeanShift_params6,labels_data7_MeanShift_params7,labels_data7_MeanShift_params8,labels_data7_MeanShift_params9
cSIL,0.8865357978226318,0.8264823078073796,0.8233807133686776,0.8386551933714247,0.8737398789434535,0.8847678515726074,0.8263356991657661,0.8264823078073796,0.6890902648430844,0.8167854216098809,0.8616505537045575,0.8815187474939619,0.8906501571476227,0.8929390089309084,0.8970056132789024,0.872437014804594,0.8789241462706012,0.8737398789434535,0.8847678515726074,0.8263356991657661
GD43,4.698141380037143,2.8010139313990408,2.2591781876522674,2.8151667573647,4.529265024743594,4.418659196141527,2.2936517443456474,2.8010139313990408,1.075073488388832,2.463445315329361,3.2014620768845874,5.123417413280274,4.414252193355423,4.662183984685487,6.18777281196461,3.601928121435466,3.9296447214508015,4.529265024743594,4.418659196141527,2.2936517443456474
GD53,0.1178183863563308,0.40972524949498423,0.34977862053971365,0.4553836811534178,0.19596167906949766,0.1775113617302442,0.4595337397477865,0.40972524949498423,0.4375166141381759,0.3456199950408512,0.1248535811985666,0.12913755288741247,0.1505856202858081,0.15374107172942086,0.1953803996829039,0.15667634737120106,0.1499193726285022,0.19596167906949766,0.1775113617302442,0.4595337397477865
PS,-10.605834577618573,3.309350720529924,2.696567642378848,3.2290369876478544,-2.6957532768781514,-2.3302523570155462,2.720764900671836,3.309350720529924,1.5089637763183585,2.7444677596883356,-2.6172354899001546,-8.66233416679128,-5.122772345845378,-5.658801877298168,-7.724368007295966,-2.956363239202351,-5.281292799751977,-2.6957532768781514,-2.3302523570155462,2.720764900671836
rCIP,19.65061310412696,0.6185979919004426,0.32534611142823466,0.31199621285752155,4.009640056465738,4.2193948925645195,0.09407563114315803,0.6185979919004426,0.052968511217203376,0.6234228833143114,4.5177804604820615,31.373995254261562,8.688268875337577,11.5054986400435,16.996012873249676,5.176377965926603,6.728811276033164,4.009640056465738,4.2193948925645195,0.09407563114315803
WB,0.6887182017981032,1.377320232447641,1.5863768449496285,1.5082191515999193,0.9550499367226655,0.955375676230327,1.8682925015116134,1.377320232447641,4.090958186811412,1.4212507155325058,1.0620962446891509,0.6011446988889745,0.9150822984419902,0.777993618090817,0.6757797215605168,0.9615156775614659,0.9676541009529412,0.9550499367226655,0.955375676230327,1.8682925015116134
XB,0.19802493561372578,0.2278783642057892,0.23426017163552562,0.19498581936367604,0.1839788379531106,0.1775964598913629,0.21048939751250417,0.2278783642057892,0.4671690156220225,0.24918006399442308,0.21191039872860423,0.21950761312446865,0.19171228477953814,0.2621891663079999,0.20942549548402412,0.21771878503459144,0.19842487457102023,0.1839788379531106,0.1775964598913629,0.21048939751250417
SSE,14.72456112708849,113.99768786318636,149.8909714604854,144.52819584199807,31.59564702395718,31.60577810602987,202.56646428968122,113.99768786318636,354.5183860677955,116.82893299093055,34.902858006286884,11.094173349535252,25.535905363091487,19.763859914994573,15.066077806115509,29.92202991195591,28.426808526430545,31.59564702395718,31.60577810602987,202.56646428968122
RS,0.4033818273785806,-0.06985836749477876,-0.10733650000093661,-0.09328381009587045,0.1423850929637279,0.13757406059435592,-0.1497693508280733,-0.06985836749477876,-0.2634007827246083,-0.07729713061647793,0.07527720749975304,0.43851993696783764,0.24511362062809192,0.32211409601109586,0.3935347354559002,0.12939260204040087,0.17648372616673938,0.1423850929637279,0.13757406059435592,-0.1497693508280733
DH,0.13547641392784096,0.40010371479752127,0.4433730780707894,0.4420322814712136,0.20092016124817977,0.20150085103608212,0.5039127790976073,0.40010371479752127,0.6333241115353461,0.4005386774046341,0.20647122119656244,0.12436464027380065,0.1710564075131494,0.1561045975961597,0.14014882235375703,0.19593706524192195,0.1835068161086487,0.20092016124817977,0.20150085103608212,0.5039127790976073
