,labels_smile_DBSCAN_params1,labels_smile_DBSCAN_params11,labels_smile_DBSCAN_params12,labels_smile_DBSCAN_params13,labels_smile_DBSCAN_params14,labels_smile_DBSCAN_params15,labels_smile_DBSCAN_params16,labels_smile_DBSCAN_params17,labels_smile_DBSCAN_params18,labels_smile_DBSCAN_params19,labels_smile_DBSCAN_params2,labels_smile_DBSCAN_params20,labels_smile_DBSCAN_params21,labels_smile_DBSCAN_params22,labels_smile_DBSCAN_params23,labels_smile_DBSCAN_params24,labels_smile_DBSCAN_params25,labels_smile_DBSCAN_params26,labels_smile_DBSCAN_params27,labels_smile_DBSCAN_params28,labels_smile_DBSCAN_params29,labels_smile_DBSCAN_params30,labels_smile_DBSCAN_params31,labels_smile_DBSCAN_params32,labels_smile_DBSCAN_params33,labels_smile_DBSCAN_params34,labels_smile_DBSCAN_params35,labels_smile_DBSCAN_params36,labels_smile_DBSCAN_params37,labels_smile_DBSCAN_params38,labels_smile_DBSCAN_params39,labels_smile_DBSCAN_params40,labels_smile_DBSCAN_params41,labels_smile_DBSCAN_params42,labels_smile_DBSCAN_params43,labels_smile_DBSCAN_params44,labels_smile_DBSCAN_params45,labels_smile_DBSCAN_params46,labels_smile_DBSCAN_params47,labels_smile_DBSCAN_params48,labels_smile_DBSCAN_params49,labels_smile_DBSCAN_params50,labels_smile_DBSCAN_params51,labels_smile_DBSCAN_params52,labels_smile_DBSCAN_params53,labels_smile_DBSCAN_params54,labels_smile_DBSCAN_params55,labels_smile_DBSCAN_params6,labels_smile_DBSCAN_params7,labels_smile_DBSCAN_params8,labels_smile_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,,,,0.820571836524917,,,,,0.3586216674842513,0.3586216674842513,,,,0.8233627483714215,0.8233627483714215,,,,0.6100993183750613,0.6100993183750613,0.6100993183750613,0.852744498143964,,0.6100993183750613,0.6100993183750613,0.6100993183750613,0.6100993183750613,,0.8294512681794484,0.8294512681794484,0.8294512681794484,0.8294512681794484,,,,,
GD43,,,,,,,,,,,,,,,,,,0.7542608412552458,,,,,0.5795617199408332,0.5795617199408332,,,,2.120217763623266,2.120217763623266,,,,0.8028127965559511,0.8028127965559511,0.8028127965559511,1.9928404053032434,,0.8028127965559511,0.8028127965559511,0.8028127965559511,0.8028127965559511,,1.548126330245764,1.548126330245764,1.548126330245764,1.548126330245764,,,,,
GD53,,,,,,,,,,,,,,,,,,0.0013405506043407643,,,,,0.0009882787451628203,0.0009882787451628203,,,,0.2646296321902231,0.2646296321902231,,,,0.15785559081129094,0.15785559081129094,0.15785559081129094,0.00771675365003056,,0.15785559081129094,0.15785559081129094,0.15785559081129094,0.15785559081129094,,0.3437647191729162,0.3437647191729162,0.3437647191729162,0.3437647191729162,,,,,
PS,,,,,,,,,,,,,,,,,,-8.431452633588176,,,,,-2.4139141648841065,-2.4139141648841065,,,,0.7888474084394301,0.7888474084394301,,,,1.2579018244676607,1.2579018244676607,1.2579018244676607,-2.040226277367754,,1.2579018244676607,1.2579018244676607,1.2579018244676607,1.2579018244676607,,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,,,,,
rCIP,,,,,,,,,,,,,,,,,,0.7054298756145002,,,,,2.5087565347713285,2.5087565347713285,,,,0.02346771860036766,0.02346771860036766,,,,0.027203949386561822,0.027203949386561822,0.027203949386561822,0.0685841110118974,,0.027203949386561822,0.027203949386561822,0.027203949386561822,0.027203949386561822,,0.009177637556603321,0.009177637556603321,0.009177637556603321,0.009177637556603321,,,,,
WB,,,,,,,,,,,,,,,,,,2.119700816722144,,,,,1.3813197752819706,1.3813197752819706,,,,0.9779796128861508,0.9779796128861508,,,,1.7880065833269816,1.7880065833269816,1.7880065833269816,1.3406740663131536,,1.7880065833269816,1.7880065833269816,1.7880065833269816,1.7880065833269816,,1.5698631709497342,1.5698631709497342,1.5698631709497342,1.5698631709497342,,,,,
XB,,,,,,,,,,,,,,,,,,1.7573163442952016,,,,,2.1570989526047413,2.1570989526047413,,,,0.33227007595582,0.33227007595582,,,,0.6315807977870044,0.6315807977870044,0.6315807977870044,0.3077177148284507,,0.6315807977870044,0.6315807977870044,0.6315807977870044,0.6315807977870044,,0.19623289636871677,0.19623289636871677,0.19623289636871677,0.19623289636871677,,,,,
SSE,463.10637108468416,1124.5212831327005,1158.0577870218544,892.2348242704447,647.1151079013628,659.4186850972301,1046.4089967113532,1079.3935679235217,1181.5243638977433,1220.842781380642,499.8345509629786,668.5481866230762,1035.318723190569,1061.8770750425583,1163.8279788922018,1220.842781380642,998.0258834957871,75.13553041762908,1037.6203289894545,1128.0899402709315,1220.842781380642,1220.842781380642,106.92714606683347,106.92714606683347,1049.400785267342,1220.842781380642,1220.842781380642,112.25467952974029,112.25467952974029,1324.0560995647552,1110.8617714797062,1205.4760895072116,213.37431560386665,213.37431560386665,213.37431560386665,91.84379588657987,1190.1728021003275,213.37431560386665,213.37431560386665,213.37431560386665,213.37431560386665,1051.0852056482645,251.2684710534923,251.2684710534923,251.2684710534923,251.2684710534923,1418.3348612066204,522.4237569524395,542.2834451958112,592.9580052170427,611.3123089262075
RS,,,,,,,,,,,,,,,,,,0.36644835800630177,,,,,0.08820142670291331,0.08820142670291331,,,,0.37720649031678,0.37720649031678,,,,0.12589537746698143,0.12589537746698143,0.12589537746698143,0.39046898586679435,,0.12589537746698143,0.12589537746698143,0.12589537746698143,0.12589537746698143,,0.12049112485614683,0.12049112485614683,0.12049112485614683,0.12049112485614683,,,,,
DH,0.01878861163913431,0.06275550158467275,0.22687737370860833,0.14052205852816604,0.1528727766776018,0.25459073684573863,0.06983011463229,0.07136336939060799,0.1709437700221034,0.2605318103649868,0.026225148929805087,0.25348428630569453,0.08252730060076653,0.08654194657591979,0.16487265436209209,0.2605318103649868,0.22025532036902104,0.12730944900730093,0.1171579344728184,0.14125567009782936,0.2605318103649868,0.2605318103649868,0.2405476593908544,0.2405476593908544,0.12722330149360017,0.2605318103649868,0.2605318103649868,0.26908955633047693,0.26908955633047693,0.22121798379144864,0.1705080755696639,0.26918281814739076,0.35221916940995346,0.35221916940995346,0.35221916940995346,0.18129531465212706,0.2988484133931859,0.35221916940995346,0.35221916940995346,0.35221916940995346,0.35221916940995346,0.4159443269545287,0.4657392165028522,0.4657392165028522,0.4657392165028522,0.4657392165028522,0.29171847415327146,0.06369767426468628,0.06465491065670985,0.06562619264905097,0.2656979115073717
