,labels_trajectories_DBSCAN_params10,labels_trajectories_DBSCAN_params11,labels_trajectories_DBSCAN_params12,labels_trajectories_DBSCAN_params13,labels_trajectories_DBSCAN_params14,labels_trajectories_DBSCAN_params15,labels_trajectories_DBSCAN_params16,labels_trajectories_DBSCAN_params17,labels_trajectories_DBSCAN_params18,labels_trajectories_DBSCAN_params19,labels_trajectories_DBSCAN_params20,labels_trajectories_DBSCAN_params21,labels_trajectories_DBSCAN_params22,labels_trajectories_DBSCAN_params23,labels_trajectories_DBSCAN_params24,labels_trajectories_DBSCAN_params25,labels_trajectories_DBSCAN_params26,labels_trajectories_DBSCAN_params27,labels_trajectories_DBSCAN_params28,labels_trajectories_DBSCAN_params5,labels_trajectories_DBSCAN_params6,labels_trajectories_DBSCAN_params9
cSIL,0.8756378644657564,0.9191754281627093,0.9350352012981024,0.7601715775241014,0.8000721199558779,0.8466904953486617,0.8752270010231886,0.9235619062683609,0.9235619062683609,0.8462775557974381,0.852708677686409,0.9235619062683609,0.9235619062683609,0.9235619062683609,0.9235619062683609,0.7297122402494242,0.7297122402494242,0.7297122402494242,0.7297122402494242,0.9251748344703182,0.9711569319860643,0.8588739616035884
GD43,3.635311474668473,16.94965008797872,32.705451248643556,0.7189307363041815,0.8171804957859733,1.415411130693588,1.501537303432924,3.172588126411894,3.172588126411894,1.4428991788359544,1.4748928185038193,3.172588126411894,3.172588126411894,3.172588126411894,3.172588126411894,1.008764564092658,1.008764564092658,1.008764564092658,1.008764564092658,12.630298113436144,186.4787252617932,0.5651783752984814
GD53,0.004471926307072251,0.030990583449664308,0.04694942118162865,0.0009722487913836662,0.00222801967435969,0.004247486978970762,0.006942793479058444,0.16317490311673125,0.16317490311673125,0.02508613766179126,0.025035778200699958,0.16317490311673125,0.16317490311673125,0.16317490311673125,0.16317490311673125,0.4093902196267987,0.4093902196267987,0.4093902196267987,0.4093902196267987,0.008018263680279962,0.1283980901857091,0.0006021700292201448
PS,-100.00740068535288,-38.91593261772295,-15.307917160620615,-22.773092495646626,-41.87669047761089,-40.13832134729056,-39.13724693757253,3.212614812697555,3.212614812697555,0.012792545826897483,0.016667889714038597,3.212614812697555,3.212614812697555,3.212614812697555,3.212614812697555,1.296702055555865,1.296702055555865,1.296702055555865,1.296702055555865,-256.2844993335715,-5.801122692112459,-183.6934309168597
rCIP,1292.766371896078,424.7314990612371,356.6699435843284,36.209230480582654,124.09696761723673,52.23089452294214,106.26113290201778,0.0023799860334421438,0.0023799860334421438,0.49567545080030384,0.5021277066420444,0.0023799860334421438,0.0023799860334421438,0.0023799860334421438,0.0023799860334421438,0.009698202202644899,0.009698202202644899,0.009698202202644899,0.009698202202644899,20708.833301168364,361.00017881062985,3927.2318441242423
WB,0.18018390356601338,0.025748516457797965,0.006739312578054162,1.6304507434673132,1.7742650926985608,0.6939929236408695,0.4528845217164835,0.536838536135931,0.536838536135931,0.5795533862722079,0.5774027697578427,0.536838536135931,0.536838536135931,0.536838536135931,0.536838536135931,4.4581674856154265,4.4581674856154265,4.4581674856154265,4.4581674856154265,0.022221036850066694,0.0005317455257219787,1.4249801598749694
XB,2.6438465959469544,0.6209715294077571,0.32929859132717204,9.83750861138037,7.867761391844804,2.753963404767468,3.981465424379816,0.09569148945081872,0.09569148945081872,1.9873526079125243,1.8969755040255734,0.09569148945081872,0.09569148945081872,0.09569148945081872,0.09569148945081872,0.41795320177644624,0.41795320177644624,0.41795320177644624,0.41795320177644624,0.9446266913422688,0.13179527069233568,23.731241680386624
SSE,4.286280934742279,0.5669195859873865,0.15277682828516861,311.5147246902145,197.83189085427867,70.38963288237152,42.17683336449239,675.4775472252927,675.4775472252927,436.4860707495192,434.40333901598916,675.4775472252927,675.4775472252927,675.4775472252927,675.4775472252927,3940.6479162266237,3940.6479162266237,3940.6479162266237,3940.6479162266237,0.10686433269312984,0.0037446353767683193,33.76494246150425
RS,0.9478687708091966,0.9857387992505348,0.9953868404760069,0.668625510388002,0.729832637606348,0.8192086138084456,0.864776332311277,0.5266849090087635,0.5266849090087635,0.6166599009783212,0.6200925165590798,0.5266849090087635,0.5266849090087635,0.5266849090087635,0.5266849090087635,-0.0750564610387814,-0.0750564610387814,-0.0750564610387814,-0.0750564610387814,0.9897944946196137,0.999522219543009,0.8689744915955956
DH,0.016765529788022118,0.014982337211174054,0.012323683883883926,0.06518836947178615,0.046953840859338354,0.043571601562903566,0.04016841352010891,0.2605318693709429,0.2605318693709429,0.18227379583673525,0.18028728389040072,0.2605318693709429,0.2605318693709429,0.2605318693709429,0.2605318693709429,0.5255130524713439,0.5255130524713439,0.5255130524713439,0.5255130524713439,0.005125732442174296,0.0048829384882761485,0.016261890838308212
