,labels_data4_MeanShift_params1,labels_data4_MeanShift_params10,labels_data4_MeanShift_params11,labels_data4_MeanShift_params12,labels_data4_MeanShift_params13,labels_data4_MeanShift_params14,labels_data4_MeanShift_params15,labels_data4_MeanShift_params16,labels_data4_MeanShift_params17,labels_data4_MeanShift_params18,labels_data4_MeanShift_params19,labels_data4_MeanShift_params2,labels_data4_MeanShift_params20,labels_data4_MeanShift_params21,labels_data4_MeanShift_params22,labels_data4_MeanShift_params23,labels_data4_MeanShift_params24,labels_data4_MeanShift_params25,labels_data4_MeanShift_params26,labels_data4_MeanShift_params27,labels_data4_MeanShift_params28,labels_data4_MeanShift_params29,labels_data4_MeanShift_params3,labels_data4_MeanShift_params30,labels_data4_MeanShift_params4,labels_data4_MeanShift_params5,labels_data4_MeanShift_params6,labels_data4_MeanShift_params7,labels_data4_MeanShift_params8,labels_data4_MeanShift_params9
cSIL,0.851405225117322,0.8379928968406403,0.8419134463349841,0.8370758104222664,0.8367786431685562,0.8367786431685562,0.8260201168932746,0.8379928968406403,0.8444607981289541,0.9270066442414379,0.8438204697803297,0.8374549698380234,0.8438204697803297,0.926514882105432,0.926514882105432,0.9263113708821978,0.9263113708821978,0.9263113708821978,0.9098347139672669,0.9270066442414379,0.8407288204014721,0.9260309982674022,0.8759679703762556,0.9145566085610677,0.8630283491363051,0.8304940372594963,0.8341856663991478,0.8367786431685562,0.8367786431685562,0.8260201168932746
GD43,3.6382275635922268,3.430077508915977,3.635927049456071,3.317785755609286,3.3926267724660906,3.3926267724660906,3.190875687715283,3.430077508915977,3.436809616500699,4.667109664208893,3.602106447334274,3.5636441281435176,3.602106447334274,4.6958941583215426,4.6958941583215426,4.70493764249346,4.70493764249346,4.70493764249346,4.20907235497223,4.667109664208893,3.26781942261031,4.722555450828616,3.932270988993069,4.672675517963528,3.851180062372749,3.9196677571405596,4.240891627655975,3.3926267724660906,3.3926267724660906,3.190875687715283
GD53,0.11171651219151052,0.3760357573567345,0.46393557370236493,0.3576654834393904,0.37578003762765877,0.37578003762765877,0.3403534117972009,0.3760357573567345,0.4206096015314504,0.44058812184145457,0.4513252751968606,0.10297608259906749,0.4513252751968606,0.44372259239254647,0.44372259239254647,0.44479315110197676,0.44479315110197676,0.44479315110197676,0.43724633390506323,0.44058812184145457,0.32695765389180215,0.4467375929118878,0.1301121201185422,0.4691475173594229,0.12855945701240526,0.3885171397178203,0.4317729453288305,0.37578003762765877,0.37578003762765877,0.3403534117972009
PS,-8.28108855315322,1.0034196431715985,1.965247852746173,1.0837024627886522,1.085792734135057,1.085792734135057,0.9610539776927923,1.0034196431715985,1.9259891025569682,1.4671281207187723,1.9627762222142413,-9.420212138502274,1.9627762222142413,1.4716643481652163,1.4716643481652163,1.4739427403494199,1.4739427403494199,1.4739427403494199,1.5946900925324825,1.4671281207187723,1.0599242836067624,1.4762280263072518,-2.080389904549804,1.5633687222225316,-2.6171061499218995,0.7964528642278786,0.683318372472419,1.085792734135057,1.085792734135057,0.9610539776927923
rCIP,34.08569413711516,0.6713327840139961,0.2572757969278856,0.6653809692908951,0.6835724172440022,0.6835724172440022,0.7441086483058287,0.6713327840139961,0.2796873138978573,0.003947210449274282,0.26589815923924975,41.568498584806335,0.26589815923924975,0.004326935350707083,0.004326935350707083,0.004464579892864368,0.004464579892864368,0.004464579892864368,0.042579769576828366,0.003947210449274282,0.30564338597873214,0.005055295066382847,7.876844610156447,0.03030641889164866,5.328507457592072,1.1500640316444037,1.0735592434920025,0.6835724172440022,0.6835724172440022,0.7441086483058287
WB,0.3192050300077319,0.7375647009122167,0.6101883410068074,0.7297791663872165,0.7272676793162459,0.7272676793162459,0.7145828170726775,0.7375647009122167,0.6050513746187861,0.7542499163909102,0.6070071216698278,0.32556365067240456,0.6070071216698278,0.7537872059552165,0.7537872059552165,0.7535767954257877,0.7535767954257877,0.7535767954257877,0.8128040318324903,0.7542499163909102,0.7822148805060523,0.7534923306554596,0.4803777987220093,0.7866708111683148,0.5791633291595754,0.7101663040873021,0.7340547803421437,0.7272676793162459,0.7272676793162459,0.7145828170726775
XB,0.5333969797334639,0.28472923895257385,0.2614462855383861,0.28663727919369025,0.2876119246363032,0.2876119246363032,0.3203203242372266,0.28472923895257385,0.2599830741704275,0.08401401256199251,0.2581177110341289,0.5205510302865507,0.2581177110341289,0.08420971460688996,0.08420971460688996,0.08430866471864626,0.08430866471864626,0.08430866471864626,0.09641115663782676,0.08401401256199251,0.2124203430453714,0.08442090398047236,0.1842174505614417,0.09218798568378689,0.21479876112727778,0.2794505865489264,0.25045544932451075,0.2876119246363032,0.2876119246363032,0.3203203242372266
SSE,5.539836009550207,60.304660083424594,65.4696396069402,59.76631802290419,59.59227934168723,59.59227934168723,58.7104223000044,60.304660083424594,65.0109778126288,106.07616987558478,65.18575364745783,5.406418581205504,65.18575364745783,106.02890794351347,106.02890794351347,106.00741104539938,106.00741104539938,106.00741104539938,111.93148811015007,106.07616987558478,80.10982424304004,105.99878065500971,17.754640932407614,109.34861131191852,23.419595082330652,48.17449930019856,49.58753704543961,59.59227934168723,59.59227934168723,58.7104223000044
RS,0.6462916134715189,0.4266086471989125,0.49276246143076247,0.4305237526351512,0.4287476841528764,0.4287476841528764,0.4329943847100341,0.4266086471989125,0.4968899445781476,0.48867758750806284,0.4949921704786098,0.6379589202825161,0.4949921704786098,0.4861287656195565,0.4861287656195565,0.4852167359100605,0.4852167359100605,0.4852167359100605,0.40677850412974376,0.48867758750806284,0.4093756433875804,0.4836904609560127,0.5341596391431023,0.4279786815836068,0.49580404051866983,0.38876047946150555,0.3738702129613261,0.4287476841528764,0.4287476841528764,0.4329943847100341
DH,0.11463459493229221,0.2877146012072508,0.3189878926315819,0.28787652765855243,0.2885932065293449,0.2885932065293449,0.2907245466449652,0.2877146012072508,0.31860790071179074,0.32570327429804474,0.31854639480352287,0.11242074142508351,0.31854639480352287,0.32705627245769164,0.32705627245769164,0.3276353868669733,0.3276353868669733,0.3276353868669733,0.365076678972313,0.32570327429804474,0.3390866376645457,0.3284298683058468,0.1795567563912834,0.3554820899124656,0.19268351969937159,0.2884893857689653,0.28751355390161043,0.2885932065293449,0.2885932065293449,0.2907245466449652
B,0.011706966138981091,0.09402535459171778,0.13514120467192176,0.09552463242686197,0.09441777947853124,0.09441777947853124,0.09730722519590335,0.09402535459171778,0.1353914252293654,0.15183042170912753,0.13476299510978404,0.011133159422926621,0.13476299510978404,0.15254506389000566,0.15254506389000566,0.15290399059991058,0.15290399059991058,0.15290399059991058,0.18381994331249857,0.15183042170912753,0.17805457658246893,0.15328678163091955,0.03278081928622558,0.17387808215732528,0.041671466091527096,0.09822520935053662,0.09556627804288485,0.09441777947853124,0.09441777947853124,0.09730722519590335
