,labels_dense_SpectralClustering_params1,labels_dense_SpectralClustering_params10,labels_dense_SpectralClustering_params11,labels_dense_SpectralClustering_params12,labels_dense_SpectralClustering_params13,labels_dense_SpectralClustering_params14,labels_dense_SpectralClustering_params15,labels_dense_SpectralClustering_params16,labels_dense_SpectralClustering_params17,labels_dense_SpectralClustering_params18,labels_dense_SpectralClustering_params19,labels_dense_SpectralClustering_params2,labels_dense_SpectralClustering_params20,labels_dense_SpectralClustering_params21,labels_dense_SpectralClustering_params22,labels_dense_SpectralClustering_params23,labels_dense_SpectralClustering_params24,labels_dense_SpectralClustering_params25,labels_dense_SpectralClustering_params26,labels_dense_SpectralClustering_params27,labels_dense_SpectralClustering_params28,labels_dense_SpectralClustering_params29,labels_dense_SpectralClustering_params3,labels_dense_SpectralClustering_params30,labels_dense_SpectralClustering_params31,labels_dense_SpectralClustering_params32,labels_dense_SpectralClustering_params33,labels_dense_SpectralClustering_params34,labels_dense_SpectralClustering_params35,labels_dense_SpectralClustering_params36,labels_dense_SpectralClustering_params4,labels_dense_SpectralClustering_params5,labels_dense_SpectralClustering_params6,labels_dense_SpectralClustering_params7,labels_dense_SpectralClustering_params8,labels_dense_SpectralClustering_params9
cSIL,0.8873309496489723,0.8975081012895019,0.8976331981063326,0.8975081012895019,0.5260248420889669,0.509691400302629,0.6053262365796573,0.5295507027618225,0.601170497889835,0.521692556742459,0.8324818709726008,0.8873309496489723,0.816623992921262,0.8324818709726008,0.816623992921262,0.8324818709726008,0.816623992921262,0.6113173352585286,0.6036654118743204,0.6202704990757024,0.6202704990757024,0.6170377253830586,0.8896986902837669,0.6143362880213461,0.8364529837426001,0.8455996493255171,0.8364529837426001,0.8455996493255171,0.8364529837426001,0.8455996493255171,0.8896986902837669,0.8918557747836722,0.8918557747836722,0.8976331981063326,0.8975081012895019,0.8976331981063326
GD43,1.8742782210882762,2.145028882455284,2.3140824769327746,2.145028882455284,0.6893375897792763,0.6656869210846117,0.1330361490884606,0.13424288953903576,0.13277404510339683,0.13383994983884362,2.2891315030892048,1.8742782210882762,1.9742100674333358,2.2891315030892048,1.9742100674333358,2.2891315030892048,1.9742100674333358,0.18765353875783566,0.20604930291560952,0.19860258931770264,0.19860258931770264,0.1996010401737957,1.9154645877614667,0.19937980861164076,2.225751635915628,2.4336632869424464,2.225751635915628,2.4336632869424464,2.225751635915628,2.4336632869424464,1.9154645877614667,1.9505733180284806,1.9505733180284806,2.3140824769327746,2.145028882455284,2.3140824769327746
GD53,0.25068615607145245,0.2547952702321014,0.27747005319039647,0.2547952702321014,0.11509620125965084,0.1208336789086521,0.007668090633563274,0.00983068690111768,0.007654006792346019,0.009798452567870234,0.30434087642337454,0.25068615607145245,0.19665826533858866,0.30434087642337454,0.19665826533858866,0.30434087642337454,0.19665826533858866,0.01077620700567058,0.011157369658212494,0.011447284556739955,0.011447284556739955,0.01150637322271714,0.2502439036233734,0.011481745117804424,0.08277664827435077,0.09378722580650047,0.08277664827435077,0.09378722580650047,0.08277664827435077,0.09378722580650047,0.2502439036233734,0.24890972774491582,0.24890972774491582,0.27747005319039647,0.2547952702321014,0.27747005319039647
PS,1.9435667420245117,1.7651705240243334,1.6582839764598196,1.7651705240243334,1.3379494193913717,1.4060116941891279,0.07124090982874098,0.09122328825053039,0.07109519224595917,0.09098540618628359,1.0792596407149346,1.9435667420245117,1.1708686239964794,1.0792596407149346,1.1708686239964794,1.0792596407149346,1.1708686239964794,0.6634627130180467,0.9458878062160558,0.6170978245241663,0.6170978245241663,0.6422310922016601,1.924153035948022,0.6952219145684532,0.8348328347552538,0.9260610938545754,0.8348328347552538,0.9260610938545754,0.8348328347552538,0.9260610938545754,1.924153035948022,1.9051162950380656,1.9051162950380656,1.6582839764598196,1.7651705240243334,1.6582839764598196
rCIP,0.010494667073977473,0.00464204649091993,0.004533109692476131,0.00464204649091993,1.0277922352434365,1.1381628317399974,17.226778746206016,15.045212821081211,17.25000785519133,15.081052854844053,0.12078813953286265,0.010494667073977473,0.1355991393147639,0.12078813953286265,0.1355991393147639,0.12078813953286265,0.1355991393147639,18.339761986367375,19.843495183105567,17.439051816223543,17.439051816223543,17.429660923188376,0.008495400158847342,17.56761412897958,0.4040188313841319,0.37268245806250166,0.4040188313841319,0.37268245806250166,0.4040188313841319,0.37268245806250166,0.008495400158847342,0.007137072760638328,0.007137072760638328,0.004533109692476131,0.00464204649091993,0.004533109692476131
WB,0.8971897853537667,0.7861002495816167,0.8044326749842472,0.7861002495816167,2.029462807033931,2.0195373678790167,1.299176700166191,1.2640180011156197,1.2991229754016251,1.2638975310099454,0.8257120377608754,0.8971897853537667,0.6685800917025455,0.8257120377608754,0.6685800917025455,0.8257120377608754,0.6685800917025455,0.9320236118924919,0.9053027242844199,0.9066686988361976,0.9066686988361976,0.9047821864267501,0.8727811688166318,0.9047211814969,0.6743832597091367,0.6135814397617702,0.6743832597091367,0.6135814397617702,0.6743832597091367,0.6135814397617702,0.8727811688166318,0.8492101863168127,0.8492101863168127,0.8044326749842472,0.7861002495816167,0.8044326749842472
XB,0.1121375082969039,0.0970735545702099,0.0972961320393447,0.0970735545702099,0.7862395054172806,0.8311389881153102,22.486955371957272,22.269971682486492,22.575172752777036,22.402763517091657,0.20712484776492565,0.1121375082969039,0.1966137313317547,0.20712484776492565,0.1966137313317547,0.20712484776492565,0.1966137313317547,14.102244816628911,13.009733349595331,13.750219079658761,13.750219079658761,13.781135497435283,0.10905400704363812,13.810976045661125,0.14111638054465125,0.13491122513210005,0.14111638054465125,0.13491122513210005,0.14111638054465125,0.13491122513210005,0.10905400704363812,0.10605573714364094,0.10605573714364094,0.0972961320393447,0.0970735545702099,0.0972961320393447
SSE,31.905949868900468,29.070031233445498,29.553504503201353,29.070031233445498,41.57419025185989,41.45266962617784,31.134882509018393,30.54207454415329,31.133984056944445,30.540026501200526,22.237227643693295,31.905949868900468,18.77672038204652,22.237227643693295,18.77672038204652,22.237227643693295,18.77672038204652,19.470005365896146,19.0148242737656,19.03821341915953,19.03821341915953,19.00590784232033,31.301642384538763,19.004862748747566,14.864378881938396,13.702453163951814,14.864378881938396,13.702453163951814,14.864378881938396,13.702453163951814,31.301642384538763,30.708245924949328,30.708245924949328,29.553504503201353,29.070031233445498,29.553504503201353
RS,0.37454962100363215,0.3818816553492962,0.3561295299916825,0.3818816553492962,-0.060146457047509296,-0.0742595691498011,0.37710419874974765,0.38152738390288643,0.3769396710448732,0.38107974155526775,0.23296812540315143,0.37454962100363215,0.2713860580888147,0.23296812540315143,0.2713860580888147,0.23296812540315143,0.2713860580888147,0.2339601594366145,0.24060039975201483,0.24074176188327606,0.24074176188327606,0.24889569083380922,0.3804880265880097,0.24872996440235065,0.1265957488573587,0.21941994714224541,0.1265957488573587,0.21941994714224541,0.1265957488573587,0.21941994714224541,0.3804880265880097,0.3863835321629064,0.3863835321629064,0.3561295299916825,0.3818816553492962,0.3561295299916825
DH,0.3106182768647295,0.31925353580236954,0.3331102250584955,0.31925353580236954,0.4121103625046571,0.4136779601429017,0.27352249729662226,0.27417354656064385,0.2738913903150448,0.27499441779300027,0.33623890785696553,0.3106182768647295,0.3271221747563722,0.33623890785696553,0.3271221747563722,0.33623890785696553,0.3271221747563722,0.300931643045907,0.30287957509934627,0.2989544854173897,0.2989544854173897,0.2974752427122735,0.31005643627427515,0.2977514162770316,0.3101300990139815,0.30608722745444944,0.3101300990139815,0.30608722745444944,0.3101300990139815,0.30608722745444944,0.31005643627427515,0.308822647217663,0.308822647217663,0.3331102250584955,0.31925353580236954,0.3331102250584955
B,0.22651776902492354,0.19376365087533753,0.19038923140616684,0.19376365087533753,0.39955757502137945,0.410562085661982,0.2948639275863555,0.28808612161439845,0.2950054287998183,0.28837667296672903,0.1448828016647767,0.22651776902492354,0.13383556384854783,0.1448828016647767,0.13383556384854783,0.1448828016647767,0.13383556384854783,0.1763413088140362,0.17656425404070727,0.1769625870253246,0.17696258702532466,0.17286587725883965,0.22022303612623262,0.17289925681204832,0.08364214484048883,0.09482641581124997,0.08364214484048883,0.09482641581124997,0.08364214484048883,0.09482641581124997,0.22022303612623262,0.21406135920831038,0.21406135920831038,0.19038923140616684,0.19376365087533753,0.19038923140616684
BH,15.952974934450232,14.535015616722749,14.776752251600673,14.535015616722749,13.858063417286631,13.817556542059279,10.378294169672797,10.180691514717763,10.377994685648149,10.180008833733508,7.4124092145644305,15.952974934450232,6.258906794015506,7.4124092145644305,6.258906794015506,7.4124092145644305,6.258906794015506,4.867501341474037,4.753706068441402,4.759553354789883,4.759553354789883,4.751476960580082,15.650821192269381,4.751215687186891,3.7160947204845987,3.425613290987953,3.7160947204845987,3.425613290987953,3.7160947204845987,3.425613290987953,15.650821192269381,15.35412296247466,15.35412296247466,14.776752251600673,14.535015616722749,14.776752251600673
D,0.17802731675677821,0.3286572041721891,0.367283178407944,0.3286572041721891,0.01605420758111485,0.20820171986331298,0.01755527643362975,0.01755527643362975,0.018142031411018302,0.018095039764978203,0.26242007445799154,0.4682229008425808,0.23659259966061996,0.26242007445799154,0.23659259966061996,0.26242007445799154,0.23659259966061996,0.020573725214823934,0.020043270115551532,0.021571214771162514,0.021571214771162514,0.027890263654052633,0.17692190653182,0.02223445415620638,0.3881514790301856,0.3312316062243146,0.3881514790301856,0.3312316062243146,0.3881514790301856,0.3312316062243146,0.44551812280881886,0.23976469147236446,0.411256394950033,0.367283178407944,0.3286572041721891,0.367283178407944
