,labels_data4_DBSCAN_params13,labels_data4_DBSCAN_params14,labels_data4_DBSCAN_params17,labels_data4_DBSCAN_params18,labels_data4_DBSCAN_params19,labels_data4_DBSCAN_params20,labels_data4_DBSCAN_params22,labels_data4_DBSCAN_params23,labels_data4_DBSCAN_params24,labels_data4_DBSCAN_params9
cSIL,0.8670663703784409,0.9985239601825892,0.8454379473767242,0.888576030390337,0.875797440527799,0.8755162332976993,0.7767476546710306,0.785265180871982,0.8076685917934182,0.9975399049315522
GD43,8.383436245808296,783.5663705415012,1.0932388299084848,4.017377038805668,5.674915672717394,4.921690542127203,2.6159535364900415,2.7018845622089174,3.248300578096575,822.4906379053132
GD53,0.018444325497920726,0.4524141511912632,0.009866181299597746,0.3434232595151302,0.4622626396579712,0.19561231026759918,0.4480428182203209,0.4243233704850951,0.4647290896670089,0.1852597656504765
PS,-25.805194423510038,1.880035388889198,-1.7142900886606465,1.0028296914307813,1.7121470947683846,0.028984867489961208,1.7966794467490497,1.7951001333488223,1.8312738059139462,-0.10625862078669002
rCIP,120.94638196938442,2.800146894576224e-113,2.172749342712622,0.5296520598263389,1.4960887118880965e-06,1.6093757626410086,0.00010409431066277554,7.846961253479164e-05,5.366300648508885e-05,3.0025083934802043e-27
WB,0.09348700763492798,0.011904874256016707,1.0491089037099783,0.6001532546479516,0.3349716460903046,0.2961096775978491,0.7121459091544622,0.6820082962569637,0.6201763185961385,0.0005855774632938758
XB,0.5204428342247891,0.0014852962209775098,2.848534092475327,0.2595823714542226,0.20829075689758714,0.25802046817617535,0.42852196660814396,0.3996758611465544,0.3431366729734636,0.004812026416280318
SSE,0.4055127745974718,0.005162208537790931,53.94097328441829,40.820408549405116,25.321617895419486,15.070866649812196,72.939088695294,67.50349294640945,59.70391575736704,0.0009687742404589948
RS,0.9482080749106765,0.9882221498882724,0.5289141525264568,0.6044800114248419,0.6990316353051719,0.7712139099224551,0.4247243452506851,0.4450247317661615,0.4864830564698131,0.9994065649095296
DH,0.0335434369761197,0.04703612108784358,0.16701404276103482,0.21155235003288075,0.2401661591486777,0.17481186603161009,0.3332459643838176,0.32685450086288664,0.3146681619927807,0.008709453184883411
B,0.002664717733576138,0.003247367317274638,0.07074906360811847,0.07502084057965347,0.07487415537908293,0.041771389083394825,0.15805504176516488,0.15069242703995353,0.13739221498797005,9.992867968780781e-05
