,labels_r15_DBSCAN_params1,labels_r15_DBSCAN_params11,labels_r15_DBSCAN_params12,labels_r15_DBSCAN_params16,labels_r15_DBSCAN_params17,labels_r15_DBSCAN_params18,labels_r15_DBSCAN_params19,labels_r15_DBSCAN_params21,labels_r15_DBSCAN_params22,labels_r15_DBSCAN_params23,labels_r15_DBSCAN_params24,labels_r15_DBSCAN_params26,labels_r15_DBSCAN_params27,labels_r15_DBSCAN_params28,labels_r15_DBSCAN_params29,labels_r15_DBSCAN_params31,labels_r15_DBSCAN_params32,labels_r15_DBSCAN_params33,labels_r15_DBSCAN_params34,labels_r15_DBSCAN_params35,labels_r15_DBSCAN_params36,labels_r15_DBSCAN_params37,labels_r15_DBSCAN_params38,labels_r15_DBSCAN_params39,labels_r15_DBSCAN_params41,labels_r15_DBSCAN_params42,labels_r15_DBSCAN_params43,labels_r15_DBSCAN_params44,labels_r15_DBSCAN_params46,labels_r15_DBSCAN_params47,labels_r15_DBSCAN_params48,labels_r15_DBSCAN_params49,labels_r15_DBSCAN_params6
cSIL,,,,,,,,,,,,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.8154417325112328,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,
GD43,,,,,,,,,,,,4.86260947279863,4.86260947279863,4.86260947279863,0.6622896014179728,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,
GD53,,,,,,,,,,,,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.01940220294604217,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,
PS,,,,,,,,,,,,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-3.368272467489273,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,
rCIP,,,,,,,,,,,,0.001003094689734597,0.001003094689734597,0.001003094689734597,3.785682240794332,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,0.001003094689734597,
WB,,,,,,,,,,,,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.7663132953433108,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,
XB,,,,,,,,,,,,0.07230127876649654,0.07230127876649654,0.07230127876649654,2.6150798515798064,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,
SSE,778.4015696855242,302.9656400597612,584.7621572550595,235.20986930721088,223.30955685553033,259.82805626630415,488.87770558996533,336.14686157167125,272.6337104197893,218.81763608869696,219.94714920566665,26.95410619655612,26.95410619655612,26.95410619655612,17.529500140841556,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,312.05538076220427,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,689.1790753247535
RS,,,,,,,,,,,,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7348535273051311,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,
DH,0.2661518713496823,0.03783765450731661,0.06000300912172906,0.13018608653122746,0.1343932728267609,0.12404462702945714,0.11727889308517951,0.10353232605005926,0.09521437701317,0.12280008247517829,0.13515272197721104,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.10482800373287664,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.4797347146002567,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.1001969109003636,0.03906380616608741
