,labels_a3_DBSCAN_params10,labels_a3_DBSCAN_params13,labels_a3_DBSCAN_params14,labels_a3_DBSCAN_params15,labels_a3_DBSCAN_params16,labels_a3_DBSCAN_params17,labels_a3_DBSCAN_params18,labels_a3_DBSCAN_params19,labels_a3_DBSCAN_params20,labels_a3_DBSCAN_params5,labels_a3_DBSCAN_params9
cSIL,0.9941274611381757,0.861020057680978,0.8995344185779365,0.8992836874086546,0.9846746616881037,0.672216346360837,0.828533551495202,0.8599273949635875,0.8956893095952394,0.9960205747254259,0.9042669718823129
GD43,300.84429779699246,1.643816060698301,13.148850588051229,14.147830107149417,29.27298386859251,0.3829485057898805,0.6936282813679997,2.6753842622887967,3.140103516818891,434.1288965777019,12.602762309288249
GD53,0.2761630591070879,0.0027353216044654987,0.031061578472182366,0.0450027945371301,0.12598172696942792,0.00671197851161777,0.009943368680235104,0.04035243673121616,0.04319352721583193,0.10988926840677297,0.012078815365257005
PS,-0.7847578619711787,-50.36415507573684,-26.40896851966429,-38.523860249030335,-10.70150854413338,-3.398167091589259,-9.93443282480413,-10.262719052473049,-14.948726342425097,-6.349674910232497,-218.22852732396893
rCIP,0.000514532943993309,196.02459047583753,140.9278341009408,408.0056570733526,9.921341968435659,2.608266433934259,2.7527700567768107,3.8983643922374136,2.8199168478143517,1.1392300930007396e-05,4368.321474471498
WB,0.0009293565067824974,0.4029561366879404,0.17281121949520156,0.08814328459648571,0.015767385027936717,3.505416117497407,2.015853001410552,0.8959009979773879,0.7244843835529731,0.0003220503184707991,0.0689400986239671
XB,0.027911656237060583,2.260140100016967,0.4690475223510304,0.6730505819294939,0.21081785905924552,2.4760751193193213,1.030300084878227,0.40616406643230346,0.28408993967163093,0.03073684972612873,0.6221356398972058
SSE,0.006507499147462624,20.168706888084888,7.091546065781484,2.0104147236837946,0.3073862068313973,1177.4912228839553,455.9444521805997,150.13630030831231,102.37060408818769,0.0010672636370471532,0.39013093349487826
RS,0.9990844477016213,0.7621070702180571,0.8649753166133753,0.934147235711663,0.986383087535601,-0.21501780513095486,0.2050778539722545,0.4454213310410597,0.5295388560218759,0.9996976588231445,0.9584525471253857
DH,0.0009534216866862647,0.0006168706861751941,0.0005821472376940054,0.0003742622381580916,0.0008722522790391785,0.030185896364325473,0.009721088415924813,0.004790184713115108,0.0035022231627701143,0.00023460486798216457,3.6452998460887065e-05
B,8.90754616558947e-05,0.00531549318396888,0.0024257009308515966,0.0012313245398097388,0.0006215765721784086,0.25884201872086904,0.10077491363508266,0.0312151736163886,0.021948201932663867,2.2661874965506788e-05,0.0002678953428018461
BH,0.0006507499147462624,0.25857316523185747,0.10130780093973546,0.02680552964911728,0.011822546416592203,117.74912228839555,25.330247343366647,5.774473088781243,3.30227755123186,6.278021394395021e-05,0.0013640941730590139
D,1.3692423430359066,0.06764185205859523,0.1843512291227731,0.16246364895655996,0.27146087750165376,0.052026732948267033,0.10407074751849983,0.1878540894815922,0.19277684067083098,1.2362197502734584,0.10381205921971577
H,0.05870463937167696,8.858885174434798,6.282274077547116,6.963357697437287,0.3963468063293263,2.155792291846267,2.4811137826372067,3.1188085513831867,2.957125147671601,0.06759937951578313,25.022793647767827
DBCV,0.9913303360096484,0.33965846855861553,0.673108895353354,0.6280800914983231,0.9639248023394631,-0.2473238832772334,0.2184215806586235,0.1990317897747484,0.390435426906312,0.9948542391110394,0.6188839083445069
I,444.99865329141454,0.18260249439241233,0.4549784171349004,0.8410844980717979,11.167159831994843,0.14234029213490365,0.1810055182295779,0.25824534900738627,0.2686926393009099,840.8500796241511,0.34415617100378953
C,-7.35752937570863e-19,0.00449493224709655,0.0015149888268229945,0.001826516534201629,0.0003999014055869916,0.17007209337369597,0.0890566512784025,0.022997933841319804,0.01720266052713604,0.0,0.0017834081186820546
CDbw,91.23947635196859,2.924750289826663,3.2514186429466316,5.457512327759274,11.25725246684639,0.4413102640081908,0.14069152272278304,0.1376998434747331,0.14534937868045222,258.11967481105074,18.166557663571947
VIASCKDE,0.5728088513766185,0.6502103586750428,0.6252566824048466,0.561746999305363,0.6027846498996098,0.7829326402285198,0.7625282784396493,0.7396934237182574,0.7253021378616548,0.5667701395835066,0.42802851614577525
