,labels_mk1_SpectralClustering_params1,labels_mk1_SpectralClustering_params10,labels_mk1_SpectralClustering_params11,labels_mk1_SpectralClustering_params12,labels_mk1_SpectralClustering_params13,labels_mk1_SpectralClustering_params14,labels_mk1_SpectralClustering_params15,labels_mk1_SpectralClustering_params16,labels_mk1_SpectralClustering_params17,labels_mk1_SpectralClustering_params18,labels_mk1_SpectralClustering_params19,labels_mk1_SpectralClustering_params2,labels_mk1_SpectralClustering_params20,labels_mk1_SpectralClustering_params21,labels_mk1_SpectralClustering_params22,labels_mk1_SpectralClustering_params23,labels_mk1_SpectralClustering_params24,labels_mk1_SpectralClustering_params25,labels_mk1_SpectralClustering_params26,labels_mk1_SpectralClustering_params27,labels_mk1_SpectralClustering_params28,labels_mk1_SpectralClustering_params29,labels_mk1_SpectralClustering_params3,labels_mk1_SpectralClustering_params30,labels_mk1_SpectralClustering_params31,labels_mk1_SpectralClustering_params32,labels_mk1_SpectralClustering_params33,labels_mk1_SpectralClustering_params34,labels_mk1_SpectralClustering_params35,labels_mk1_SpectralClustering_params36,labels_mk1_SpectralClustering_params37,labels_mk1_SpectralClustering_params38,labels_mk1_SpectralClustering_params39,labels_mk1_SpectralClustering_params4,labels_mk1_SpectralClustering_params40,labels_mk1_SpectralClustering_params41,labels_mk1_SpectralClustering_params42,labels_mk1_SpectralClustering_params43,labels_mk1_SpectralClustering_params44,labels_mk1_SpectralClustering_params45,labels_mk1_SpectralClustering_params46,labels_mk1_SpectralClustering_params47,labels_mk1_SpectralClustering_params48,labels_mk1_SpectralClustering_params5,labels_mk1_SpectralClustering_params6,labels_mk1_SpectralClustering_params7,labels_mk1_SpectralClustering_params8,labels_mk1_SpectralClustering_params9
cSIL,0.7166460932200962,0.8617056098046509,0.8637095124808741,0.8617056098046509,0.9379265017822526,0.9379265017822526,0.9378442013951099,0.9378442013951099,0.9378442013951099,0.9378442013951099,0.9378442013951099,0.7166460932200962,0.9378442013951099,0.9378442013951099,0.9378442013951099,0.9378442013951099,0.9378442013951099,0.8341044837334561,0.8310726468224898,0.8472950740919374,0.8472950740919374,0.847299219377933,0.8617056098046509,0.847299219377933,0.8430526624295842,0.8237097642900439,0.8430526624295842,0.8237097642900439,0.8430526624295842,0.8237097642900439,0.7775154627838881,0.753896901244708,0.7673717947944358,0.8617056098046509,0.7663392477703188,0.7489886005438693,0.748823968659908,0.8047239615395109,0.8100755468077034,0.8047239615395109,0.8100755468077034,0.8047239615395109,0.8100755468077034,0.8617056098046509,0.8617056098046509,0.8637095124808741,0.8617056098046509,0.8637095124808741
GD43,0.9518667662998668,1.7492573033998813,1.734093211419235,1.7492573033998813,6.311871692854688,6.311871692854688,6.307234825589055,6.307234825589055,6.307234825589055,6.307234825589055,6.307234825589055,0.9518667662998668,6.307234825589055,6.307234825589055,6.307234825589055,6.307234825589055,6.307234825589055,2.249192532033158,2.223939596473161,2.3340119306398392,2.3340119306398392,2.4070801820168652,1.7492573033998813,2.4070801820168652,1.4682534465135992,1.4939762055505708,1.4682534465135992,1.4939762055505708,1.4682534465135992,1.4939762055505708,2.221996717597129,2.2454776961310206,2.2306222194067096,1.7492573033998813,2.2220244408681245,2.11250353634075,2.108121585454403,1.139002023262532,1.228258564201921,1.139002023262532,1.228258564201921,1.139002023262532,1.228258564201921,1.7492573033998813,1.7492573033998813,1.734093211419235,1.7492573033998813,1.734093211419235
GD53,0.3605701527790187,0.3733258684741977,0.3713681007353704,0.3733258684741977,0.47720718501709686,0.47720718501709686,0.4732097702507078,0.4732097702507078,0.4732097702507078,0.4732097702507078,0.4732097702507078,0.3605701527790187,0.4732097702507078,0.4732097702507078,0.4732097702507078,0.4732097702507078,0.4732097702507078,0.29364278340500233,0.2947712755495668,0.287566175997317,0.287566175997317,0.2994766825300959,0.3733258684741977,0.2994766825300959,0.12172150523122575,0.15372526593265082,0.12172150523122575,0.15372526593265082,0.12172150523122575,0.15372526593265082,0.2628704024704862,0.2960962150666727,0.256404722804061,0.3733258684741977,0.25072702682960557,0.23353969440219524,0.24301808227874588,0.10331704063534533,0.10886131807709842,0.10331704063534533,0.10886131807709842,0.10331704063534533,0.10886131807709842,0.3733258684741977,0.3733258684741977,0.3713681007353704,0.3733258684741977,0.3713681007353704
PS,1.4633687222225316,1.4633687222225316,1.4412012345378025,1.4633687222225316,2.7042008082602784,2.7042008082602784,2.675541512449863,2.675541512449863,2.675541512449863,2.6755415124498625,2.675541512449863,1.4633687222225316,2.675541512449863,2.675541512449863,2.675541512449863,2.675541512449863,2.675541512449863,1.2460110313903956,1.2406420156862596,1.2844849865238896,1.2844849865238896,1.3194848532093553,1.4633687222225316,1.3194848532093555,2.077765853113162,1.9373654911597196,2.077765853113162,1.9373654911597196,2.077765853113162,1.9373654911597196,-0.1193286981849912,-0.12437427311933169,-0.05665017915127052,1.4633687222225316,-0.05600528590190773,-0.0961249102371276,-0.09917281531713451,2.447620593725142,2.682382413412661,2.447620593725142,2.682382413412661,2.447620593725142,2.682382413412661,1.4633687222225316,1.4633687222225316,1.4412012345378025,1.4633687222225316,1.4412012345378025
rCIP,0.0019421379611528104,6.771178163898676e-05,6.641259156837389e-05,6.771178163898676e-05,0.004244741032461267,0.004244741032461267,0.004069797866545565,0.004069797866545565,0.004069797866545565,0.004069797866545565,0.004069797866545565,0.0019421379611528104,0.004069797866545565,0.004069797866545565,0.004069797866545565,0.004069797866545565,0.004069797866545565,0.3004930689319939,0.3202064565950538,0.440847732001745,0.44084773200174504,0.4174060941769782,6.771178163898676e-05,0.4174060941769782,0.5950954534752498,0.5893008197815213,0.5950954534752498,0.5893008197815213,0.5950954534752498,0.5893008197815213,0.8664677806299746,1.1174708642340723,0.8355298671722027,6.771178163898676e-05,0.8546016543800259,0.9996068849961939,0.9980698029105989,1.2425866297391044,1.258478583828551,1.2425866297391044,1.258478583828551,1.2425866297391044,1.258478583828551,6.771178163898676e-05,6.771178163898676e-05,6.641259156837389e-05,6.771178163898676e-05,6.641259156837389e-05
WB,3.598755604711553,1.6333584334118187,1.657228074845458,1.6333584334118187,0.4887046396393748,0.4887046396393748,0.48697822085939935,0.48697822085939935,0.48697822085939935,0.48697822085939935,0.48697822085939935,3.598755604711553,0.48697822085939935,0.48697822085939935,0.48697822085939935,0.48697822085939935,0.48697822085939935,0.560478506382011,0.5610493658536815,0.550404599000271,0.550404599000271,0.547770930642625,1.6333584334118187,0.5477709306426249,1.0167033633563043,0.850548076554798,1.0167033633563043,0.850548076554798,1.0167033633563043,0.850548076554798,0.5804083028212002,0.5832785666845484,0.5839301321263615,1.6333584334118187,0.5848942142646301,0.5899739139946855,0.5896973357212627,1.1482555040324873,1.0718209583519744,1.1482555040324873,1.0718209583519744,1.1482555040324873,1.0718209583519744,1.6333584334118187,1.6333584334118187,1.657228074845458,1.6333584334118187,1.657228074845458
XB,0.39986173385683926,0.18148427037909093,0.18129154456545518,0.18148427037909093,0.0754360066378103,0.0754360066378103,0.0750020115913483,0.0750020115913483,0.0750020115913483,0.0750020115913483,0.0750020115913483,0.39986173385683926,0.0750020115913483,0.0750020115913483,0.0750020115913483,0.0750020115913483,0.0750020115913483,0.521204358038414,0.5335843496918508,0.47436922476269927,0.4743692247626992,0.4612376641808907,0.18148427037909093,0.4612376641808906,0.21913585352609172,0.260498143328988,0.21913585352609172,0.260498143328988,0.21913585352609172,0.260498143328988,0.45195330734293054,0.5158675044134811,0.5232844200431132,0.18148427037909093,0.5281212619559532,0.5888396970465626,0.5910422187979744,0.3795575353834444,0.3188676084712474,0.3795575353834444,0.3188676084712474,0.3795575353834444,0.3188676084712474,0.18148427037909093,0.18148427037909093,0.18129154456545518,0.18148427037909093,0.18129154456545518
SSE,107.65609674380616,75.29238276852594,75.89410130151805,75.29238276852594,23.461730668310267,23.461730668310267,23.390423735801946,23.390423735801946,23.390423735801946,23.390423735801946,23.390423735801946,107.65609674380616,23.390423735801946,23.390423735801946,23.390423735801946,23.390423735801946,23.390423735801946,20.58383704318784,20.60222323566201,20.258618497228056,20.258618497228056,20.173357527490882,75.29238276852594,20.173357527490882,33.94326571036608,29.36877546510196,33.94326571036608,29.36877546510196,33.94326571036608,29.36877546510196,17.419890705734925,17.4970368704788,17.514538422350576,75.29238276852594,17.540426923056224,17.676684637055438,17.669272084645534,31.279832170061585,29.565217187529655,31.279832170061585,29.565217187529655,31.279832170061585,29.565217187529655,75.29238276852594,75.29238276852594,75.89410130151805,75.29238276852594,75.89410130151805
RS,-0.03699805544321329,0.2534460904931861,0.26524202052335605,0.2534460904931861,0.579713634332257,0.579713634332257,0.5811864631862522,0.5811864631862522,0.5811864631862522,0.5811864631862523,0.5811864631862522,-0.03699805544321329,0.5811864631862522,0.5811864631862522,0.5811864631862522,0.5811864631862522,0.5811864631862522,0.5485602769564165,0.547189310908427,0.5669480996331648,0.5669480996331648,0.5650089751381104,0.2534460904931861,0.5650089751381105,0.21634781483539192,0.2725471162836335,0.21634781483539192,0.2725471162836335,0.21634781483539192,0.2725471162836335,0.5217354689317429,0.509179345750998,0.5221170151776963,0.2534460904931861,0.52249876156701,0.5182559547267233,0.5156400028319219,0.12036282441070599,0.13294028779074366,0.12036282441070599,0.13294028779074366,0.12036282441070599,0.13294028779074366,0.2534460904931861,0.2534460904931861,0.26524202052335605,0.2534460904931861,0.26524202052335605
DH,0.5060810641474628,0.4003444288342839,0.39460573622022954,0.4003444288342839,0.2846926440345853,0.2846926440345853,0.2843223659410309,0.2843223659410309,0.2843223659410309,0.2843223659410309,0.2843223659410309,0.5060810641474628,0.2843223659410309,0.2843223659410309,0.2843223659410309,0.2843223659410309,0.2843223659410309,0.2657302615191347,0.2664724606131165,0.2612069879972531,0.2612069879972531,0.26243513220160847,0.4003444288342839,0.26243513220160847,0.3396814489160168,0.3323001649635353,0.3396814489160168,0.3323001649635353,0.3396814489160168,0.3323001649635353,0.25574549307542727,0.2613807880940739,0.25528105771533893,0.4003444288342839,0.25538477093527,0.2561894345517111,0.2569929198417089,0.3346765047100268,0.3350147698111714,0.3346765047100268,0.3350147698111714,0.3346765047100268,0.3350147698111714,0.4003444288342839,0.4003444288342839,0.39460573622022954,0.4003444288342839,0.39460573622022954
