,labels_s1_DBSCAN_params1,labels_s1_DBSCAN_params10,labels_s1_DBSCAN_params11,labels_s1_DBSCAN_params12,labels_s1_DBSCAN_params13,labels_s1_DBSCAN_params14,labels_s1_DBSCAN_params15,labels_s1_DBSCAN_params16,labels_s1_DBSCAN_params17,labels_s1_DBSCAN_params18,labels_s1_DBSCAN_params19,labels_s1_DBSCAN_params20,labels_s1_DBSCAN_params21,labels_s1_DBSCAN_params22,labels_s1_DBSCAN_params23,labels_s1_DBSCAN_params24,labels_s1_DBSCAN_params5,labels_s1_DBSCAN_params6,labels_s1_DBSCAN_params7,labels_s1_DBSCAN_params8,labels_s1_DBSCAN_params9
cSIL,0.9904605430652395,0.9357782857043803,0.9990898674521355,0.9993508867444032,0.895797250290794,0.8926966711275592,0.9530564027673788,0.9951110918030203,0.8187941165522731,0.9585531417387684,0.9615546997419911,0.9640536488945927,0.8693631999737924,0.8429990091589559,0.8827034927670953,0.8826980738554577,0.9330353047271347,0.9997956539624369,0.9998742925166922,0.9999488176843071,0.9091262703838285
GD43,2235.1841270513246,33.26828270682067,681.9874461863637,1023.1837846015499,3.1422775995120498,6.52228242525754,21.862477783596116,166.7137169784831,0.9385974774721398,21.634311399807753,23.795111499763703,27.018194162546795,0.9025670108270851,1.0698011218842944,1.5296626378495306,1.5296626378495306,28.535146890439844,1914.3793941900574,3385.427736022386,10127.402573166808,10.137794883373168
GD53,0.10804071274923965,0.051189038840301376,0.15487561839280897,0.16566625059740098,0.005418422008354431,0.013846415029474228,0.05555910719723674,0.20667703157942094,0.022539190916536292,0.29371426977524745,0.3100609148295247,0.32742677399391656,0.012624362923631652,0.014963495736897751,0.024003769395496914,0.024003769395496914,0.00835617505712972,0.06806097556052036,0.11796788538167316,0.42855881628017284,0.0029362617412611123
PS,-0.3079577657498394,-13.552839451593723,-5.985562646439704,-6.219146782817701,-41.31037773595122,-13.881164193764247,-6.655591660568035,-2.886383695735142,-3.755097955209516,2.6965012922271168,2.763808209341131,2.8119259224473634,-0.4822116718493399,0.49120231265767256,0.3268408224621133,0.3257914565622759,-34.520464809078305,-6.7837267452637615,-3.3519645173047583,1.3081963084294281,-84.41079431919388
rCIP,2154.4614177496373,104.6059052604219,5.33892976322609e-140,1.771372186260926e-198,231.48357302778882,73.60441133255527,7.3231614607159745,2.0146912099716808e-34,0.2659974292934655,0.004525883352162175,0.0015766258214949449,0.0007970226737844308,0.20489480211922836,0.38843488382696395,0.13303486721149566,0.13295279290190812,1337.0287350704566,0.0,0.0,0.0,955.841973899221
WB,1.2104303434995752e-05,0.009824267977698297,0.004906668800114279,0.0034704787993859285,0.33667386883211897,0.09221024265359343,0.04227031832451136,0.02321930166914469,1.013739483462334,0.1922474168159994,0.17733042868805224,0.16489295457215664,2.254136809568549,1.5840249290715438,1.0700235851656366,1.0702094668758464,0.00621234713640245,0.0014783306472339799,0.0008371046754085821,0.0006379354826161939,0.08117085660476363
XB,0.03198760998282219,0.3879928611780244,0.0012132701734433328,0.0008657219542287516,3.6164241206254384,1.8456250162154344,0.25335489675713774,0.0058807909210213775,0.8308626171395939,0.05018827576438656,0.046609422332446165,0.04343223196346858,0.6203057607863646,0.4191715347698507,0.4569621362934107,0.4569617853947209,0.7249394225891385,0.00034657388812812625,0.00021835592387795102,6.081567717248398e-05,1.5340239067050456
SSE,2.6005820858963107e-05,0.2799525032047102,0.1609173154743509,0.0980477809499097,12.425457779241253,5.43254512672755,2.8607407800798184,1.6579043153964113,203.53060174249782,32.04910495392245,28.886657861292008,26.309301135023,726.4232393744899,490.7822109922943,313.43862013979316,313.3756164605351,0.06656615706879249,0.022411858645639597,0.009234750990343658,0.003445046074795849,1.0386777344580316
RS,0.9999899240534736,0.9931313969632168,0.9957621940345462,0.9969535566723202,0.8877466728634656,0.9439117119881937,0.9652112359646022,0.9778553674294522,0.4812189402148354,0.8101384419024641,0.8244833213207157,0.8364854338310359,0.19319800619558805,0.10929123219674179,0.29787384618209334,0.2978034550922649,0.9974858796749455,0.999026893022709,0.9994186021056032,0.9994632629786112,0.9754179764702577
DH,0.00015341714262667993,0.0007584918519640859,0.00104948316099162,0.0008934629710498029,0.0005928867576761523,0.0015547693428022472,0.0021125037605546704,0.0024797889763222567,0.014236172065748742,0.007191392120310445,0.0069298707477670205,0.006706311183895631,0.04909294219352235,0.04229503300660628,0.030707779343143112,0.030706316569755743,0.00015736794542631777,0.0005206297121511605,0.0006732288908342657,0.008712782066679641,0.0001362080687936268
