,labels_x3_MeanShift_params1,labels_x3_MeanShift_params10,labels_x3_MeanShift_params11,labels_x3_MeanShift_params12,labels_x3_MeanShift_params13,labels_x3_MeanShift_params14,labels_x3_MeanShift_params15,labels_x3_MeanShift_params16,labels_x3_MeanShift_params17,labels_x3_MeanShift_params18,labels_x3_MeanShift_params19,labels_x3_MeanShift_params2,labels_x3_MeanShift_params20,labels_x3_MeanShift_params21,labels_x3_MeanShift_params22,labels_x3_MeanShift_params23,labels_x3_MeanShift_params24,labels_x3_MeanShift_params25,labels_x3_MeanShift_params26,labels_x3_MeanShift_params27,labels_x3_MeanShift_params28,labels_x3_MeanShift_params29,labels_x3_MeanShift_params3,labels_x3_MeanShift_params30,labels_x3_MeanShift_params4,labels_x3_MeanShift_params5,labels_x3_MeanShift_params6,labels_x3_MeanShift_params7,labels_x3_MeanShift_params8,labels_x3_MeanShift_params9
cSIL,0.845952365689941,0.8920361094947756,0.8920361094947756,0.8920361094947756,0.8920361094947756,0.8920361094947756,0.8920361094947756,0.8920361094947756,0.8933404245824619,0.8933404245824619,0.8932246088704566,0.8395865079621896,0.8876049456568049,0.8933404245824619,0.8788676062421031,0.7762814189857481,0.7440524260498858,0.7762814189857481,0.7586319968244415,0.7718568458767712,0.7637139189395319,0.7762814189857481,0.8361030870249224,0.7637139189395319,0.8595101205602703,0.8238078264252646,0.8238078264252646,0.8920361094947756,0.8920361094947756,0.8920361094947756
GD43,3.200041815261591,3.5818990594850275,3.5818990594850275,3.5818990594850275,3.5818990594850275,3.5818990594850275,3.5818990594850275,3.5818990594850275,3.4862421067128384,3.4862421067128384,3.5129957326751478,3.2786861600096358,3.7205140929556686,3.4862421067128384,3.7044810860505164,1.8725378370891477,1.4547161790851748,1.8725378370891477,1.7149614810345502,1.8776296105716235,1.8438909965225525,1.8725378370891477,4.125737281747804,1.8438909965225525,3.4789918810012166,3.0548637652332733,3.0548637652332733,3.5818990594850275,3.5818990594850275,3.5818990594850275
GD53,0.09922897111103017,0.398000698344301,0.398000698344301,0.398000698344301,0.398000698344301,0.398000698344301,0.398000698344301,0.398000698344301,0.38056290040845636,0.38056290040845636,0.38961550803878375,0.08446581969939423,0.43221143049988525,0.38056290040845636,0.46016029065727265,0.48414439604439186,0.37341992181049166,0.48414439604439186,0.4436686517734944,0.4878877982050125,0.47859500140551614,0.48414439604439186,0.17421152368420595,0.47859500140551614,0.09105322762477346,0.13313749509229725,0.13313749509229725,0.398000698344301,0.398000698344301,0.398000698344301
PS,-9.439525957464653,1.6065667114289532,1.6065667114289532,1.6065667114289532,1.6065667114289532,1.6065667114289532,1.6065667114289532,1.6065667114289532,1.6012155015133274,1.6012155015133274,1.582942950579488,-9.928080036188714,1.6183120511648765,1.6012155015133274,1.620666228878339,1.2993687222225316,1.5538449126987222,1.2993687222225316,1.3786229595106672,1.321092299458304,1.3550353888891982,1.2993687222225316,-3.3007826515978023,1.3550353888891982,-5.773308798178651,-2.2984592573525053,-2.2984592573525053,1.6065667114289532,1.6065667114289532,1.6065667114289532
rCIP,7.270176248427714,0.0991293950132999,0.0991293950132999,0.0991293950132999,0.0991293950132999,0.0991293950132999,0.0991293950132999,0.0991293950132999,0.0943451372303315,0.0943451372303315,0.09603652897579269,8.357237999900324,0.11291359297406756,0.0943451372303315,0.13925351649884382,0.015436131609689692,0.026268291456464095,0.015436131609689692,0.018748093272912634,0.017639313268623405,0.018584955151443837,0.015436131609689692,0.966296062317609,0.018584955151443837,2.5438426752222325,1.310895339540354,1.310895339540354,0.0991293950132999,0.0991293950132999,0.0991293950132999
WB,0.9501457216990279,1.1495700531053856,1.1495700531053856,1.1495700531053856,1.1495700531053856,1.1495700531053856,1.1495700531053856,1.1495700531053856,1.1446145401907302,1.1446145401907302,1.1585024337467997,0.9145612555499054,1.1821940302556067,1.1446145401907302,1.244347914774537,3.1592252454040963,2.683812420084161,3.1592252454040963,2.9506735740427237,3.113140192951476,3.017633792916886,3.1592252454040963,0.7849158138791275,3.017633792916886,0.8757078006137089,0.8621600556857619,0.8621600556857619,1.1495700531053856,1.1495700531053856,1.1495700531053856
XB,0.3213472282553055,0.1387378717608712,0.1387378717608712,0.1387378717608712,0.1387378717608712,0.1387378717608712,0.1387378717608712,0.1387378717608712,0.13872824893624933,0.13872824893624933,0.13932943271173384,0.2787892424530896,0.14075829603820544,0.13872824893624933,0.14860603046695278,0.297356171579682,0.31323494665903917,0.297356171579682,0.30586960100962796,0.3020602159319694,0.30512844834972996,0.297356171579682,0.2293847568289041,0.30512844834972996,0.27351615569972665,0.2683168161771776,0.2683168161771776,0.1387378717608712,0.1387378717608712,0.1387378717608712
SSE,3.4367568578153316,16.98495372290177,16.98495372290177,16.98495372290177,16.98495372290177,16.98495372290177,16.98495372290177,16.98495372290177,16.931956312779935,16.931956312779935,17.080163257588747,3.1299590070583765,17.330720217825508,16.931956312779935,17.974750671784207,37.54292701504009,35.13052916166818,37.54292701504009,36.54171300857774,37.32871199477327,36.87224662389905,37.54292701504009,4.918107445701136,36.87224662389905,4.1698471237006425,5.964586421902673,5.964586421902673,16.98495372290177,16.98495372290177,16.98495372290177
RS,0.21604827791963502,0.20648074540804115,0.20648074540804115,0.20648074540804115,0.20648074540804115,0.20648074540804115,0.20648074540804115,0.20648074540804115,0.22054136477903372,0.22054136477903372,0.2165497084893524,0.16995917202157465,0.16588702731171534,0.22054136477903372,0.10776925351766123,-0.18505899665667289,-0.22553741901745075,-0.18505899665667289,-0.23627934951067753,-0.19056320386466258,-0.21917423905111427,-0.18505899665667289,0.2695896403898735,-0.21917423905111427,0.2742289622896281,0.20509296272133437,0.20509296272133437,0.20648074540804115,0.20648074540804115,0.20648074540804115
DH,0.16317962931646557,0.3783749841960697,0.3783749841960697,0.3783749841960697,0.3783749841960697,0.3783749841960697,0.3783749841960697,0.3783749841960697,0.37360343924511835,0.37360343924511835,0.37383296298411767,0.1655290411255897,0.38997766980690546,0.37360343924511835,0.40354561970417574,0.5262160921464661,0.556832008327659,0.5262160921464661,0.5463409613764909,0.5328644319195955,0.5415799518559289,0.5262160921464661,0.2175707368856558,0.5415799518559289,0.17986311813272385,0.23191239405262434,0.23191239405262434,0.3783749841960697,0.3783749841960697,0.3783749841960697
B,0.03877752578002733,0.19951003387005395,0.19951003387005395,0.19951003387005395,0.19951003387005395,0.19951003387005395,0.19951003387005395,0.19951003387005395,0.19640714646383434,0.19640714646383434,0.19737674169555608,0.03696431897101538,0.20941694924680607,0.19640714646383434,0.22389801130131554,0.4826894630196452,0.5946397220050863,0.4826894630196452,0.5288695900606449,0.4996348292092295,0.5185667713694029,0.4826894630196452,0.05209159248615552,0.5185667713694029,0.04524191644159534,0.05718497717341418,0.05718497717341418,0.19951003387005395,0.19951003387005395,0.19951003387005395
BH,0.21479730361345822,5.661651240967257,5.661651240967257,5.661651240967257,5.661651240967257,5.661651240967257,5.661651240967257,5.661651240967257,5.643985437593312,5.643985437593312,5.693387752529582,0.18411523570931626,5.776906739275169,5.643985437593312,5.991583557261404,18.77146350752005,17.56526458083409,18.77146350752005,18.270856504288872,18.66435599738663,18.43612331194953,18.77146350752005,0.5464563828556818,18.43612331194953,0.3474872603083869,0.7455733027378344,0.7455733027378344,5.661651240967257,5.661651240967257,5.661651240967257
D,0.29941917695869513,0.4560322680620356,0.4560322680620356,0.4560322680620356,0.4560322680620356,0.4560322680620356,0.4560322680620356,0.4560322680620356,0.4628878794363497,0.4628878794363497,0.4492446839196498,0.26806442135610725,0.3689139365921119,0.4628878794363497,0.25470819514753323,0.3363033383893681,0.23734410832947825,0.3363033383893681,0.3359630193099418,0.3341903000635778,0.34452740543237675,0.3363033383893681,0.3137506179999777,0.34452740543237675,0.2513835494644077,0.2903255328149697,0.2903255328149697,0.4560322680620356,0.4560322680620356,0.4560322680620356
