,labels_jain_KMeans_params1,labels_jain_KMeans_params10,labels_jain_KMeans_params11,labels_jain_KMeans_params12,labels_jain_KMeans_params13,labels_jain_KMeans_params14,labels_jain_KMeans_params15,labels_jain_KMeans_params16,labels_jain_KMeans_params17,labels_jain_KMeans_params18,labels_jain_KMeans_params19,labels_jain_KMeans_params2,labels_jain_KMeans_params20,labels_jain_KMeans_params21,labels_jain_KMeans_params22,labels_jain_KMeans_params23,labels_jain_KMeans_params24,labels_jain_KMeans_params25,labels_jain_KMeans_params26,labels_jain_KMeans_params27,labels_jain_KMeans_params28,labels_jain_KMeans_params29,labels_jain_KMeans_params3,labels_jain_KMeans_params30,labels_jain_KMeans_params31,labels_jain_KMeans_params32,labels_jain_KMeans_params33,labels_jain_KMeans_params34,labels_jain_KMeans_params35,labels_jain_KMeans_params36,labels_jain_KMeans_params37,labels_jain_KMeans_params38,labels_jain_KMeans_params39,labels_jain_KMeans_params4,labels_jain_KMeans_params40,labels_jain_KMeans_params41,labels_jain_KMeans_params42,labels_jain_KMeans_params43,labels_jain_KMeans_params44,labels_jain_KMeans_params45,labels_jain_KMeans_params46,labels_jain_KMeans_params47,labels_jain_KMeans_params48,labels_jain_KMeans_params49,labels_jain_KMeans_params5,labels_jain_KMeans_params50,labels_jain_KMeans_params51,labels_jain_KMeans_params52,labels_jain_KMeans_params53,labels_jain_KMeans_params54,labels_jain_KMeans_params6,labels_jain_KMeans_params7,labels_jain_KMeans_params8,labels_jain_KMeans_params9
cSIL,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.865313886332134,0.8518603737619193,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.8518603737619193,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.865313886332134,0.8485201732457786,0.8485201732457786,0.846071087750319,0.8518603737619193,0.846071087750319,0.846071087750319,0.846071087750319,0.8485201732457786,0.8485201732457786,0.846071087750319,0.846071087750319,0.846071087750319,0.846071087750319,0.8485201732457786,0.8518603737619193,0.8485201732457786,0.846071087750319,0.846071087750319,0.846071087750319,0.846071087750319,0.8518603737619193,0.8518603737619193,0.8518603737619193,0.8518603737619193
GD43,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845,1.8464506343240117,2.5244223219320845,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,2.5244223219320845,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,1.8464506343240117,2.6990426070716036,2.6990426070716036,2.2959920164805987,2.5244223219320845,2.2959920164805987,2.2959920164805987,2.2959920164805987,2.6990426070716036,2.6990426070716036,2.2959920164805987,2.2959920164805987,2.2959920164805987,2.2959920164805987,2.6990426070716036,2.5244223219320845,2.6990426070716036,2.2959920164805987,2.2959920164805987,2.2959920164805987,2.2959920164805987,2.5244223219320845,2.5244223219320845,2.5244223219320845,2.5244223219320845
GD53,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.21333019926033706,0.4952780987456158,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.4952780987456158,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.21333019926033706,0.2837944895797367,0.2837944895797367,0.24233844337458854,0.4952780987456158,0.24233844337458854,0.24233844337458854,0.24233844337458854,0.2837944895797367,0.2837944895797367,0.24233844337458854,0.24233844337458854,0.24233844337458854,0.24233844337458854,0.2837944895797367,0.4952780987456158,0.2837944895797367,0.24233844337458854,0.24233844337458854,0.24233844337458854,0.24233844337458854,0.4952780987456158,0.4952780987456158,0.4952780987456158,0.4952780987456158
PS,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.9860724793572988,1.5573858162396257,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.5573858162396257,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.9860724793572988,1.4123211819747001,1.4123211819747001,1.4359239983872873,1.5573858162396257,1.4359239983872873,1.4359239983872873,1.4359239983872873,1.4123211819747001,1.4123211819747001,1.4359239983872873,1.4359239983872873,1.4359239983872873,1.4359239983872873,1.4123211819747001,1.5573858162396257,1.4123211819747001,1.4359239983872873,1.4359239983872873,1.4359239983872873,1.4359239983872873,1.5573858162396257,1.5573858162396257,1.5573858162396257,1.5573858162396257
rCIP,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.06185876148490896,0.020993293720727235,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.020993293720727235,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.06185876148490896,0.1296354204182315,0.1296354204182315,0.11544432557126018,0.020993293720727235,0.11544432557126018,0.11544432557126018,0.11544432557126018,0.1296354204182315,0.1296354204182315,0.11544432557126018,0.11544432557126018,0.11544432557126018,0.11544432557126018,0.1296354204182315,0.020993293720727235,0.1296354204182315,0.11544432557126018,0.11544432557126018,0.11544432557126018,0.11544432557126018,0.020993293720727235,0.020993293720727235,0.020993293720727235,0.020993293720727235
WB,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.031207745760204,1.4925289897569818,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.4925289897569818,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,1.031207745760204,0.8573717883612191,0.8573717883612191,0.8572983710806723,1.4925289897569818,0.8572983710806723,0.8572983710806723,0.8572983710806723,0.8573717883612191,0.8573717883612191,0.8572983710806723,0.8572983710806723,0.8572983710806723,0.8572983710806723,0.8573717883612191,1.4925289897569818,0.8573717883612191,0.8572983710806723,0.8572983710806723,0.8572983710806723,0.8572983710806723,1.4925289897569818,1.4925289897569818,1.4925289897569818,1.4925289897569818
XB,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.22113507215565248,0.17446397918778828,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.17446397918778828,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.22113507215565248,0.18697286483832481,0.18697286483832481,0.1883924094197623,0.17446397918778828,0.1883924094197623,0.1883924094197623,0.1883924094197623,0.18697286483832481,0.18697286483832481,0.1883924094197623,0.1883924094197623,0.1883924094197623,0.1883924094197623,0.18697286483832481,0.17446397918778828,0.18697286483832481,0.1883924094197623,0.1883924094197623,0.1883924094197623,0.1883924094197623,0.17446397918778828,0.17446397918778828,0.17446397918778828,0.17446397918778828
SSE,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194,49.261259711432274,82.29572629112194,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,82.29572629112194,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,49.261259711432274,33.990876979250515,33.990876979250515,33.98848004189456,82.29572629112194,33.98848004189456,33.98848004189456,33.98848004189456,33.990876979250515,33.990876979250515,33.98848004189456,33.98848004189456,33.98848004189456,33.98848004189456,33.990876979250515,82.29572629112194,33.990876979250515,33.98848004189456,33.98848004189456,33.98848004189456,33.98848004189456,82.29572629112194,82.29572629112194,82.29572629112194,82.29572629112194
RS,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.25455531554839206,0.14808645254730954,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.14808645254730954,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.25455531554839206,0.2594818259535292,0.2594818259535292,0.25791059720097104,0.14808645254730954,0.25791059720097104,0.25791059720097104,0.25791059720097104,0.2594818259535292,0.2594818259535292,0.25791059720097104,0.25791059720097104,0.25791059720097104,0.25791059720097104,0.2594818259535292,0.14808645254730954,0.2594818259535292,0.25791059720097104,0.25791059720097104,0.25791059720097104,0.25791059720097104,0.14808645254730954,0.14808645254730954,0.14808645254730954,0.14808645254730954
DH,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.3821925999761345,0.4672759664362874,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.4672759664362874,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3821925999761345,0.3395069509348254,0.3395069509348254,0.34001918141185217,0.4672759664362874,0.34001918141185217,0.34001918141185217,0.34001918141185217,0.3395069509348254,0.3395069509348254,0.34001918141185217,0.34001918141185217,0.34001918141185217,0.34001918141185217,0.3395069509348254,0.4672759664362874,0.3395069509348254,0.34001918141185217,0.34001918141185217,0.34001918141185217,0.34001918141185217,0.4672759664362874,0.4672759664362874,0.4672759664362874,0.4672759664362874
