,labels_unbalance_DBSCAN_params1,labels_unbalance_DBSCAN_params10,labels_unbalance_DBSCAN_params11,labels_unbalance_DBSCAN_params12,labels_unbalance_DBSCAN_params13,labels_unbalance_DBSCAN_params14,labels_unbalance_DBSCAN_params15,labels_unbalance_DBSCAN_params16,labels_unbalance_DBSCAN_params17,labels_unbalance_DBSCAN_params18,labels_unbalance_DBSCAN_params19,labels_unbalance_DBSCAN_params20,labels_unbalance_DBSCAN_params21,labels_unbalance_DBSCAN_params22,labels_unbalance_DBSCAN_params23,labels_unbalance_DBSCAN_params24,labels_unbalance_DBSCAN_params25,labels_unbalance_DBSCAN_params26,labels_unbalance_DBSCAN_params27,labels_unbalance_DBSCAN_params28,labels_unbalance_DBSCAN_params29,labels_unbalance_DBSCAN_params30,labels_unbalance_DBSCAN_params31,labels_unbalance_DBSCAN_params32,labels_unbalance_DBSCAN_params33,labels_unbalance_DBSCAN_params34,labels_unbalance_DBSCAN_params35,labels_unbalance_DBSCAN_params36,labels_unbalance_DBSCAN_params37,labels_unbalance_DBSCAN_params38,labels_unbalance_DBSCAN_params39,labels_unbalance_DBSCAN_params40,labels_unbalance_DBSCAN_params41,labels_unbalance_DBSCAN_params42,labels_unbalance_DBSCAN_params43,labels_unbalance_DBSCAN_params44,labels_unbalance_DBSCAN_params5,labels_unbalance_DBSCAN_params6,labels_unbalance_DBSCAN_params7,labels_unbalance_DBSCAN_params8,labels_unbalance_DBSCAN_params9
cSIL,,,,,,,,,,,,,,,,,0.9084695554399065,,,,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,0.9084695554399065,,,,,
GD43,,,,,,,,,,,,,,,,,2.0746374686816753,,,,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,2.0746374686816753,,,,,
GD53,,,,,,,,,,,,,,,,,0.09477694736116216,,,,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,0.09477694736116216,,,,,
PS,,,,,,,,,,,,,,,,,1.046702055555865,,,,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,1.046702055555865,,,,,
rCIP,,,,,,,,,,,,,,,,,1.6255176389772162e-08,,,,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,1.6255176389772162e-08,,,,,
WB,,,,,,,,,,,,,,,,,0.9014720675884117,,,,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,0.9014720675884117,,,,,
XB,,,,,,,,,,,,,,,,,0.03200492547651167,,,,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,0.03200492547651167,,,,,
SSE,1402.6161085993108,4985.3820119409265,4487.165600580734,4006.1438372476496,5539.554382380598,6292.8978136919095,6206.891870757703,6158.89620665958,5815.415455782779,5675.451347793308,5648.910169645464,5809.626414856419,6341.9342854615525,5968.755295792534,6178.766507641207,5873.5025527079415,423.8552191004389,15700.184507009237,15700.184507009237,15470.359856074661,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,423.8552191004389,3565.807686926888,2529.154504410428,2193.1031477269953,1832.7951763226133,4937.44326422618
RS,,,,,,,,,,,,,,,,,-0.8390794719135847,,,,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,-0.8390794719135847,,,,,
DH,0.0004449555719450944,0.10715474187918864,0.1183437858647972,0.12910262744198983,0.002434135061760183,0.07859826583359146,0.08046844948510837,0.08154149970003706,0.01687184653753683,0.017741429711573338,0.016549147460125774,0.014530975323207632,0.018680317216193086,0.02075848143877447,0.02102285232711581,0.020984032575001085,0.3114006443963262,0.11337049552170633,0.11337049552170633,0.06792399973687098,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.3114006443963262,0.011561470270777354,0.080905983595896,0.08160433259861391,0.10787849915096455,0.03594562638743868
