,labels_aggregation_DBSCAN_params16,labels_aggregation_DBSCAN_params17,labels_aggregation_DBSCAN_params21,labels_aggregation_DBSCAN_params22,labels_aggregation_DBSCAN_params23,labels_aggregation_DBSCAN_params26,labels_aggregation_DBSCAN_params27,labels_aggregation_DBSCAN_params28,labels_aggregation_DBSCAN_params29,labels_aggregation_DBSCAN_params31,labels_aggregation_DBSCAN_params32,labels_aggregation_DBSCAN_params33,labels_aggregation_DBSCAN_params34,labels_aggregation_DBSCAN_params36,labels_aggregation_DBSCAN_params37,labels_aggregation_DBSCAN_params38,labels_aggregation_DBSCAN_params39,labels_aggregation_DBSCAN_params40,labels_aggregation_DBSCAN_params41,labels_aggregation_DBSCAN_params42,labels_aggregation_DBSCAN_params43,labels_aggregation_DBSCAN_params44,labels_aggregation_DBSCAN_params45,labels_aggregation_DBSCAN_params50
cSIL,0.7943467077327968,0.8970697655723169,0.818902083711674,0.8833360509562801,0.8800913146236652,0.8176777185283886,0.8176777185283886,0.9116428045593878,0.9873952687005867,0.8176777185283886,0.8176777185283886,0.8176777185283886,0.9096406344419314,0.8222759628155124,0.8222759628155124,0.8222759628155124,0.8222759628155124,0.9661304114334976,0.8222759628155124,0.8222759628155124,0.8222759628155124,0.8222759628155124,0.9275145504828541,0.8869506816112908
GD43,0.3603347061346182,5.878041797878328,1.104845773530685,2.5281874318073214,2.7416134750065315,1.104845773530685,1.104845773530685,3.3375694363333577,46.1325571035478,1.104845773530685,1.104845773530685,1.104845773530685,3.3375694363333577,1.2212815922957099,1.2212815922957099,1.2212815922957099,1.2212815922957099,7.453371304690875,1.2212815922957099,1.2212815922957099,1.2212815922957099,1.2212815922957099,4.058213755563985,2.0060723884666687
GD53,0.00334965121976085,0.06373076497030651,0.023366227999824768,0.05346828070774227,0.045707731806477934,0.023366227999824768,0.023366227999824768,0.056232581901026896,0.44819665095317573,0.023366227999824768,0.023366227999824768,0.023366227999824768,0.056232581901026896,0.1307741013741411,0.1307741013741411,0.1307741013741411,0.1307741013741411,0.42611747371399555,0.1307741013741411,0.1307741013741411,0.1307741013741411,0.1307741013741411,0.25693120149082216,0.23024922185339872
PS,-47.96776850236656,-22.279597505645828,0.32034905010904763,-0.4209749473204873,-6.0234555037598385,0.3237109825982037,0.3237109825982037,-0.70244846232443,1.5516040163401787,0.3237109825982037,0.3237109825982037,0.3237109825982037,-0.6445549267039052,1.3384891210172931,1.3384891210172931,1.3384891210172931,1.3384891210172931,1.3016040163401787,1.3384891210172931,1.3384891210172931,1.3384891210172931,1.3384891210172931,1.5209459434977444,1.9459002017215785
rCIP,124.84647674747981,36.82422466598224,0.04553357463876348,0.07337137063533727,15.870754048622562,0.04717675373757063,0.04717675373757063,0.10280514265757315,8.593850501421759e-16,0.04717675373757063,0.04717675373757063,0.04717675373757063,0.11419611617181495,0.010784978110303487,0.010784978110303487,0.010784978110303487,0.010784978110303487,1.2902565784723865e-06,0.010784978110303487,0.010784978110303487,0.010784978110303487,0.010784978110303487,0.030591827880565532,0.00659401462219494
WB,1.9186344184299968,0.13563007838591773,1.4617855308056922,0.8772792572735957,0.37238907127517584,1.4694137076628033,1.4694137076628033,0.7547410338339575,0.11406090201576544,1.4694137076628033,1.4694137076628033,1.4694137076628033,0.7768928811997337,1.341986450664357,1.341986450664357,1.341986450664357,1.341986450664357,0.44433406024099126,1.341986450664357,1.341986450664357,1.341986450664357,1.341986450664357,0.6208288683425685,1.0597469412918716
XB,5.814581529041481,0.3540259750358328,0.3656494571822295,0.20599241053520734,0.8537959353526017,0.36636624347019964,0.36636624347019964,0.18858872657855588,0.01329928212803849,0.36636624347019964,0.36636624347019964,0.36636624347019964,0.19316887937630142,0.33162963479018637,0.33162963479018637,0.33162963479018637,0.33162963479018637,0.041959815856594036,0.33162963479018637,0.33162963479018637,0.33162963479018637,0.33162963479018637,0.09803289250202356,0.1299803699131521
SSE,14.483819821955924,0.6067998216667436,126.53783202936803,71.01431335725331,2.631530726446523,127.10849580250559,127.10849580250559,53.604815729824914,0.3832549023571918,127.10849580250559,127.10849580250559,127.10849580250559,55.75905472468919,140.58557634641744,140.58557634641744,140.58557634641744,140.58557634641744,28.354434045631557,140.58557634641744,140.58557634641744,140.58557634641744,140.58557634641744,66.37890569332929,140.56283117341277
RS,0.5347743121418614,0.9082139687367891,0.22686274204937812,0.4744467259020838,0.7684032990039726,0.22206256753881107,0.22206256753881107,0.5292376501378928,0.8964583028282209,0.22206256753881107,0.22206256753881107,0.22206256753881107,0.516731314652936,0.19487274550382191,0.19487274550382191,0.19487274550382191,0.19487274550382191,0.6981035812950593,0.19487274550382191,0.19487274550382191,0.19487274550382191,0.19487274550382191,0.5229101543270798,0.23122435535148414
DH,0.06262771282283783,0.05011195746012925,0.27811377373255824,0.2284929986034069,0.1119519784148059,0.2792377486673599,0.2792377486673599,0.2068556783338508,0.14242937135858932,0.2792377486673599,0.2792377486673599,0.2792377486673599,0.20942615398956768,0.33304252002103296,0.33304252002103296,0.33304252002103296,0.33304252002103296,0.22856572172222825,0.33304252002103296,0.33304252002103296,0.33304252002103296,0.33304252002103296,0.2696743001526255,0.37069128423660697
