,labels_r15_KMeans_params1,labels_r15_KMeans_params10,labels_r15_KMeans_params11,labels_r15_KMeans_params12,labels_r15_KMeans_params13,labels_r15_KMeans_params14,labels_r15_KMeans_params15,labels_r15_KMeans_params16,labels_r15_KMeans_params17,labels_r15_KMeans_params18,labels_r15_KMeans_params19,labels_r15_KMeans_params2,labels_r15_KMeans_params20,labels_r15_KMeans_params21,labels_r15_KMeans_params22,labels_r15_KMeans_params23,labels_r15_KMeans_params24,labels_r15_KMeans_params25,labels_r15_KMeans_params26,labels_r15_KMeans_params27,labels_r15_KMeans_params28,labels_r15_KMeans_params29,labels_r15_KMeans_params3,labels_r15_KMeans_params30,labels_r15_KMeans_params31,labels_r15_KMeans_params32,labels_r15_KMeans_params33,labels_r15_KMeans_params34,labels_r15_KMeans_params35,labels_r15_KMeans_params36,labels_r15_KMeans_params37,labels_r15_KMeans_params38,labels_r15_KMeans_params39,labels_r15_KMeans_params4,labels_r15_KMeans_params40,labels_r15_KMeans_params41,labels_r15_KMeans_params42,labels_r15_KMeans_params43,labels_r15_KMeans_params44,labels_r15_KMeans_params45,labels_r15_KMeans_params46,labels_r15_KMeans_params47,labels_r15_KMeans_params48,labels_r15_KMeans_params49,labels_r15_KMeans_params5,labels_r15_KMeans_params50,labels_r15_KMeans_params51,labels_r15_KMeans_params52,labels_r15_KMeans_params53,labels_r15_KMeans_params54,labels_r15_KMeans_params55,labels_r15_KMeans_params56,labels_r15_KMeans_params57,labels_r15_KMeans_params58,labels_r15_KMeans_params59,labels_r15_KMeans_params6,labels_r15_KMeans_params60,labels_r15_KMeans_params61,labels_r15_KMeans_params62,labels_r15_KMeans_params63,labels_r15_KMeans_params64,labels_r15_KMeans_params65,labels_r15_KMeans_params66,labels_r15_KMeans_params67,labels_r15_KMeans_params68,labels_r15_KMeans_params69,labels_r15_KMeans_params7,labels_r15_KMeans_params70,labels_r15_KMeans_params71,labels_r15_KMeans_params72,labels_r15_KMeans_params73,labels_r15_KMeans_params74,labels_r15_KMeans_params75,labels_r15_KMeans_params76,labels_r15_KMeans_params77,labels_r15_KMeans_params78,labels_r15_KMeans_params79,labels_r15_KMeans_params8,labels_r15_KMeans_params80,labels_r15_KMeans_params81,labels_r15_KMeans_params82,labels_r15_KMeans_params83,labels_r15_KMeans_params84,labels_r15_KMeans_params85,labels_r15_KMeans_params86,labels_r15_KMeans_params87,labels_r15_KMeans_params88,labels_r15_KMeans_params89,labels_r15_KMeans_params9,labels_r15_KMeans_params90
cSIL,0.93906316223217,0.9394804544566534,0.9394804544566534,0.9394804544566534,0.93906316223217,0.93906316223217,0.9394804544566534,0.9394804544566534,0.9394804544566534,0.9394804544566534,0.9520164503079519,0.93906316223217,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9394804544566534,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9520164503079519,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9394804544566534,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9394804544566534,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9651855082663061,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9394804544566534,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.93906316223217,0.9378483087959372,0.9378483087959372,0.9378483087959372,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.93906316223217,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9166571889594238,0.9394804544566534,0.9166571889594238
GD43,6.99785517095134,6.870802218811581,6.870802218811581,6.870802218811581,6.99785517095134,6.99785517095134,6.870802218811581,6.870802218811581,6.870802218811581,6.870802218811581,9.979430708830739,6.99785517095134,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,6.870802218811581,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,9.979430708830739,26.075543530281042,26.075543530281042,26.075543530281042,6.870802218811581,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,6.870802218811581,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,26.075543530281042,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,6.870802218811581,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,9.859519317174993,6.99785517095134,9.859519317174993,9.859519317174993,9.859519317174993,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,6.99785517095134,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,9.540565743597314,6.870802218811581,9.540565743597314
GD53,0.08364463805721778,0.08212598727977016,0.08212598727977016,0.08212598727977016,0.08364463805721778,0.08364463805721778,0.08212598727977016,0.08212598727977016,0.08212598727977016,0.08212598727977016,0.11745087550452633,0.08364463805721778,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.08212598727977016,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.11745087550452633,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.08212598727977016,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.08212598727977016,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.3318118770326422,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.08212598727977016,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.08364463805721778,0.2876803872813157,0.2876803872813157,0.2876803872813157,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.08364463805721778,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.23859838723250612,0.08212598727977016,0.23859838723250612
PS,-0.11456473964715647,-0.21668750757691663,-0.21668750757691663,-0.21668750757691663,-0.11456473964715647,-0.11456473964715647,-0.21668750757691663,-0.21668750757691663,-0.21668750757691663,-0.21668750757691663,1.1647846323841615,-0.11456473964715647,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,-0.21668750757691663,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,1.1647846323841615,4.890588736956915,4.890588736956915,4.890588736956915,-0.21668750757691663,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,-0.21668750757691663,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,4.890588736956915,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,-0.21668750757691663,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,3.9060674768866583,-0.11456473964715647,3.9060674768866583,3.9060674768866583,3.9060674768866583,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,-0.11456473964715647,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,2.9887879284133048,-0.21668750757691663,2.9887879284133048
rCIP,0.5424187589958186,0.5081674288286947,0.5081674288286947,0.5081674288286947,0.5424187589958186,0.5424187589958186,0.5081674288286947,0.5081674288286947,0.5081674288286947,0.5081674288286947,0.7987876500745774,0.5424187589958186,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.5081674288286947,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.7987876500745774,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.5081674288286947,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.5081674288286947,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,0.13752425927412884,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,0.5081674288286947,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,4.554031847938132,0.5424187589958186,4.554031847938132,4.554031847938132,4.554031847938132,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,0.5424187589958186,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,9.124273340571458,0.5081674288286947,9.124273340571458
WB,0.22748702910863972,0.22727739945943648,0.22727739945943648,0.22727739945943648,0.22748702910863972,0.22748702910863972,0.22727739945943648,0.22727739945943648,0.22727739945943648,0.22727739945943648,0.1768478067753778,0.22748702910863972,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.22727739945943648,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.1768478067753778,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.22727739945943648,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.22727739945943648,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.12859489413364542,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.22727739945943648,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.22748702910863972,0.13238347241499157,0.13238347241499157,0.13238347241499157,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.22748702910863972,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.13574933070578096,0.22727739945943648,0.13574933070578096
XB,0.11495778726318714,0.11485367368920173,0.11485367368920173,0.11485367368920173,0.11495778726318714,0.11495778726318714,0.11485367368920173,0.11485367368920173,0.11485367368920173,0.11485367368920173,0.08084139005153013,0.11495778726318714,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.11485367368920173,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.08084139005153013,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.11485367368920173,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.11485367368920173,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.06439542815589389,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.11485367368920173,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.450804490045464,0.11495778726318714,0.450804490045464,0.450804490045464,0.450804490045464,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.11495778726318714,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.4647836318012285,0.11485367368920173,0.4647836318012285
SSE,4.628954099199247,4.624761804213795,4.624761804213795,4.624761804213795,4.628954099199247,4.628954099199247,4.624761804213795,4.624761804213795,4.624761804213795,4.624761804213795,3.3575584415163804,4.628954099199247,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,4.624761804213795,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,3.3575584415163804,2.287856132372953,2.287856132372953,2.287856132372953,4.624761804213795,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,4.624761804213795,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.287856132372953,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,4.624761804213795,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.2087105788632035,4.628954099199247,2.2087105788632035,2.2087105788632035,2.2087105788632035,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,4.628954099199247,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,2.1322502607406504,4.624761804213795,2.1322502607406504
RS,0.812331068027116,0.8133004350596253,0.8133004350596253,0.8133004350596253,0.812331068027116,0.812331068027116,0.8133004350596253,0.8133004350596253,0.8133004350596253,0.8133004350596253,0.8395636878204213,0.812331068027116,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8133004350596253,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8395636878204213,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8133004350596253,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8133004350596253,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8724933011797092,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8133004350596253,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.812331068027116,0.8709841834112638,0.8709841834112638,0.8709841834112638,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.812331068027116,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8698845852364254,0.8133004350596253,0.8698845852364254
DH,0.10043893443010592,0.10019527891233047,0.10019527891233047,0.10019527891233047,0.10043893443010592,0.10043893443010592,0.10019527891233047,0.10019527891233047,0.10019527891233047,0.10019527891233047,0.09404031978324384,0.10043893443010592,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.10019527891233047,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.09404031978324384,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.10019527891233047,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.10019527891233047,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08588757516282985,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.10019527891233047,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.10043893443010592,0.08485793969996422,0.08485793969996422,0.08485793969996422,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.10043893443010592,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.08388426736776543,0.10019527891233047,0.08388426736776543
