,ARI,AMI,time (s)
K-Means,1.000,1.000,0.073
DBSCAN,1.000,1.000,0.004
HDBSCAN,1.000,1.000,0.011
MeanShift,1.000,1.000,0.152
AgglomerativeClustering,1.000,1.000,0.002
SpectralClustering,1.000,1.000,0.072
ED-K-Means,1.000,1.000,1.916
AD-K-Means,1.000,1.000,0.016
