,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,-0.006,1.000,1.000,0.113,1.000,1.000,0.426,1.000
AMI,-0.006,1.000,1.000,0.236,1.000,1.000,0.462,1.000
time (s),0.024,0.002,0.018,0.092,0.001,0.104,3.872,0.044
