,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.209,0.748,0.893,0.575,0.587,0.688,0.367,0.224
AMI,0.391,0.739,0.893,0.601,0.670,0.746,0.491,0.415
time (s),0.014,0.002,0.002,0.043,0.000,0.010,0.861,0.014
