,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
AMI,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
time (s),0.073,0.004,0.011,0.152,0.002,0.072,1.916,0.016
