,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.773,0.913,0.913,0.791,0.921,0.980,0.960,0.960
AMI,0.728,0.856,0.866,0.744,0.878,0.959,0.929,0.929
time (s),0.028,0.003,0.011,0.139,0.002,0.041,2.219,0.039
