,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.993,0.987,0.978,0.686,0.989,0.851,0.688,0.765
AMI,0.994,0.990,0.981,0.862,0.992,0.943,0.877,0.913
time (s),0.037,0.004,0.012,0.883,0.005,0.074,193.126,1.655
