,K-Means,DBSCAN,HDBSCAN,MeanShift,AgglomerativeClustering,SpectralClustering,ED-K-Means,AD-K-Means
ARI,0.596,0.266,0.304,0.692,0.692,0.764,0.500,0.025
AMI,0.717,0.500,0.493,0.769,0.771,0.804,0.689,0.146
time (s),0.169,0.021,0.039,0.213,0.024,0.211,55.896,2.854
