,ARI,AMI,time (s)
K-Means,0.578,0.605,0.078
DBSCAN,0.000,0.000,0.019
HDBSCAN,0.855,0.822,0.020
MeanShift,0.645,0.667,0.515
AgglomerativeClustering,0.541,0.611,0.026
SpectralClustering,0.860,0.839,0.302
ED-K-Means,0.982,0.973,55.837
AD-K-Means,0.943,0.921,0.808
