,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.823,0.772,0.787,0.523,0.836*,-0.065,0.001s
GD43 (↑),2.120,1.442,1.447,0.777,1.619,0.024,0.001s
GD53 (↑),0.265,0.474*,0.462*,0.497*,0.334*,0.439*,0.000s
PS (↑),0.789,1.324*,1.297*,1.959*,1.630*,1.658*,0.000s
rCIP (↓),0.023,0.033,0.025,0.058,0.003*,1.802,0.002s
WB (↓),0.978,3.169,3.121,7.299,1.464,985.895,0.000s
XB (↓),0.332,0.309*,0.293*,0.912,0.176*,649.908,0.000s
SSE (↓),112.255,350.309,348.243,448.488,241.528,569.075,0.000s
RS (↑),0.377,-0.167,-0.119,-0.570,0.084,-2.985,0.000s
DH (↓),0.269,0.534,0.514,0.729,0.459,0.996,0.011s
B (↓),0.186,0.507,0.469,1.828,0.339,178.762,0.000s
BH (↓),28.064,175.154,174.122,224.244,120.764,142.269,0.000s
D (↑),0.492,0.316,0.327,0.164,0.328,0.000,0.003s
H (↓),0.551,0.453*,0.421*,0.954,0.313*,3.985,0.000s
DBCV (↑),0.858,-0.999,-0.997,-1.000,0.042,-1.000,9.136s
I (↑),0.700,0.493,0.520,0.150,0.797*,0.001,0.001s
C (↓),0.035,0.194,0.188,0.333,0.068,0.494,0.052s
CDbw (↑),1.322,0.009,0.008,0.033,0.152,0.002,0.066s
VIASCKDE (↑),0.708,0.718*,0.728*,0.700,0.611,-0.307,0.042s
COP (↓),0.244,0.410,0.405,0.481,0.357,0.531,0.008s
Sym (↑),0.007,0.004,0.004,0.003,0.009*,0.000,0.009s
CS (↓),0.887,1.531,1.485,2.397,1.038,41.835,0.001s
SF (↑),0.360,0.337,0.343,0.261,0.367*,0.060,0.003s
SD (↓),3371172549.494,12078026917.899,11588769149.928,19668807539.342,10454139333.982,21309080948.996,0.070s
SDbw (↓),0.628,1.008,1.018,2.040,0.721,2.505,0.002s
XB* (↓),0.406,0.326*,0.317*,0.918,0.263*,698.000,0.001s
S (↑),0.486,0.416,0.425,0.255,0.542*,-0.039,0.020s
DB (↓),0.589,0.940,0.897,1.794,0.808,36.095,0.001s
CH (↑),1357.902,629.823,639.478,273.474,1362.974*,1.347,0.000s
AD-S (↑),0.827,0.281,0.270,0.046,0.789,-0.006,0.096s
AD-DB (↓),0.492,0.995,0.972,1.513,0.450*,214.811,0.105s
AD-CH (↑),4092.035,435.979,420.091,667.069,4294.863*,2.622,0.156s
AD-idea (↑),76.119,1.640,1.823,1.707,3.975,0.030,0.180s
