,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.892,0.814,0.510,0.790,0.716,-0.093,0.179s
GD43 (↑),9.396,1.958,0.799,1.614,1.157,0.007,0.015s
GD53 (↑),0.350,0.457*,0.496*,0.426*,0.408*,0.432*,0.012s
PS (↑),3.417,1.904,1.578,1.757,1.666,-0.703,0.011s
rCIP (↓),2.086,0.037*,0.081*,0.052*,0.062*,65.932,0.021s
WB (↓),0.389,1.831,8.174,2.179,3.301,3128.058,0.011s
XB (↓),0.207,0.229,0.963,0.269,0.400,8159.923,0.009s
SSE (↓),28.522,714.278,1200.685,779.198,930.593,1484.987,0.000s
RS (↑),0.618,0.047,-0.603,-0.019,-0.186,-18.893,0.001s
DH (↓),0.128,0.520,0.747,0.550,0.606,0.994,0.100s
B (↓),0.019,0.457,1.824,0.531,0.777,149.131,0.001s
BH (↓),1.426,357.139,600.342,389.599,465.296,74.249,0.001s
D (↑),0.111,0.236*,0.119*,0.240*,0.234*,0.001,0.015s
H (↓),2.169,0.371*,0.980*,0.413*,0.542*,19.984,0.001s
DBCV (↑),-0.327,-0.991,-0.976,-0.951,-0.988,-0.992,31.917s
I (↑),0.646,0.570,0.135,0.488,0.331,0.000,0.001s
C (↓),0.009,0.124,0.335,0.164,0.232,0.455,0.366s
CDbw (↑),0.154,0.003,0.007,0.021,0.003,0.009,1.971s
VIASCKDE (↑),0.684,0.764*,0.744*,0.773*,0.758*,-0.511,2.705s
COP (↓),0.117,0.320,0.311,0.303,0.299,0.382,0.036s
Sym (↑),0.022,0.005,0.002,0.007,0.003,0.000,0.010s
CS (↓),1.029,1.337,2.703,1.364,1.605,101.851,0.025s
SF (↑),0.173,0.375*,0.285*,0.363*,0.338*,0.000,0.004s
SD (↓),5592552.525,121674058.602,203300672.798,135813112.210,171602616.145,253889760.964,0.218s
SDbw (↓),0.125,1.431,2.026,1.644,1.863,2.762,0.009s
XB* (↓),0.249,0.250,0.971,0.315,0.491,8687.022,0.004s
S (↑),0.557,0.452,0.236,0.406,0.347,-0.062,0.164s
DB (↓),0.595,0.868,1.769,0.930,1.114,97.023,0.002s
CH (↑),8061.328,3274.704,733.584,2752.084,1816.627,1.003,0.001s
ED-S (↑),0.453,0.678*,-0.114,0.560*,0.347,-0.304,99.908s
ED-DB (↓),1.123,0.660*,7.530,0.797*,0.519*,46.162,8.829s
ED-CH (↑),1352.826,5444.183*,684.216,4424.187*,2642.479*,14.863,9.184s
AD-S (↑),0.412,0.439*,0.022,0.391,0.342,0.000,0.242s
AD-DB (↓),1.219,1.012*,3.957,1.070*,1.059*,15.098,0.240s
AD-CH (↑),576.206,3709.934*,1470.468*,3791.515*,3967.999*,33.262,0.241s
AD-idea (↑),59267.326,3.000,0.465,2.340,2.927,0.000,0.339s
