,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.924,0.669,0.745,0.741,0.735,-0.015,0.038s
GD43 (↑),3.173,1.018,1.321,1.283,1.326,0.006,0.009s
GD53 (↑),0.163,0.465*,0.447*,0.442*,0.459*,0.488*,0.010s
PS (↑),3.213,1.393,1.790,1.725,1.791,2.297,0.011s
rCIP (↓),0.002,0.025,0.035,0.011,0.003,1.694,0.011s
WB (↓),0.537,4.902,2.782,2.874,2.875,16853.805,0.011s
XB (↓),0.096,0.515,0.345,0.353,0.356,11382.562,0.009s
SSE (↓),675.478,4054.389,3320.797,3365.997,3366.452,5707.126,0.002s
RS (↑),0.527,-0.350,-0.149,-0.155,-0.188,-2.999,0.002s
DH (↓),0.261,0.610,0.568,0.567,0.557,1.000,2.744s
B (↓),0.101,0.889,0.683,0.693,0.706,3166.631,0.002s
BH (↓),168.869,2027.195,1660.398,1682.998,1683.226,1426.782,0.003s
D (↑),0.332,0.305,0.384*,0.400*,0.320,0.125,0.196s
H (↓),0.292,0.655,0.506,0.511,0.528,3.999,0.003s
DBCV (↑),0.832,-0.997,-0.998,-0.999,-0.999,-1.000,50.843s
I (↑),1.461,0.322,0.471,0.431,0.446,0.000,0.004s
C (↓),0.020,0.225,0.175,0.173,0.152,0.537,5.525s
CDbw (↑),0.476,0.022,0.002,0.003,0.011,0.002,0.889s
VIASCKDE (↑),0.751,0.743,0.714,0.727,0.717,-0.219,46.685s
COP (↓),0.199,0.299,0.366,0.340,0.336,0.383,0.215s
Sym (↑),0.005,0.000,0.001,0.001,0.001,0.000,0.036s
CS (↓),0.779,1.828,1.405,1.466,1.583,154.441,0.350s
SF (↑),0.370,0.306,0.327,0.315,0.317,0.051,0.006s
SD (↓),239185650.517,1366379224.407,1127580068.942,1327820414.490,1409774410.559,1927487714.122,2.581s
SDbw (↓),0.327,1.215,1.094,1.249,1.226,2.862,0.013s
XB* (↓),0.188,0.554,0.386,0.399,0.388,11536.777,0.005s
S (↑),0.646,0.352,0.403,0.410,0.436,-0.008,3.744s
DB (↓),0.485,1.230,1.066,1.114,1.112,148.408,0.003s
CH (↑),24826.832,4078.940,7188.656,6957.868,6955.574,0.791,0.001s
ED-S (↑),0.933,0.580,0.634,0.645,0.635,-0.092,365.911s
ED-DB (↓),0.128,0.675,0.536,0.640,0.529,121.592,113.751s
ED-CH (↑),50247.999,6199.532,19228.656,11857.344,23383.716,93.543,117.547s
AD-S (↑),0.925,0.579,0.407,0.392,0.505,0.000,3.776s
AD-DB (↓),0.148,0.878,0.878,1.161,1.101,46.369,4.034s
AD-CH (↑),42904.344,6038.035,16133.031,8010.977,13875.832,193.137,4.165s
AD-idea (↑),42360.089,4.094,5.246,2.709,2.891,0.410,6.217s
