,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.938,0.593,0.784,0.839,0.741,0.019,0.001s
GD43 (↑),6.308,0.803,1.720,1.725,1.029,0.073,0.000s
GD53 (↑),0.479,0.416,0.490*,0.404,0.359,0.432,0.000s
PS (↑),2.733,1.950,1.728,1.510,1.502,1.644,0.000s
rCIP (↓),0.004,0.067,0.022,0.002*,0.005,0.862,0.001s
WB (↓),0.490,5.291,2.240,1.812,3.138,119.042,0.000s
XB (↓),0.076,0.661,0.275,0.207,0.357,70.997,0.000s
SSE (↓),23.517,121.541,88.482,79.605,102.289,163.369,0.000s
RS (↑),0.579,-0.449,-0.059,0.143,-0.015,-1.930,0.000s
DH (↓),0.285,0.668,0.518,0.438,0.501,0.975,0.001s
B (↓),0.110,1.331,0.544,0.384,0.659,27.573,0.000s
BH (↓),7.839,60.771,44.241,39.803,51.145,54.456,0.000s
D (↑),0.492,0.187,0.242,0.388,0.274,0.087,0.000s
H (↓),0.187,0.787,0.432,0.309,0.420,2.894,0.000s
DBCV (↑),0.820,-0.978,-0.843,-0.488,0.068,-0.985,0.008s
I (↑),1.559,0.234,0.582,0.800,0.446,0.008,0.000s
C (↓),0.012,0.282,0.147,0.101,0.212,0.520,0.003s
CDbw (↑),0.058,0.016,0.051,0.045,0.020,0.021,0.200s
VIASCKDE (↑),0.562,0.488,0.526,0.525,0.553,-0.126,0.006s
COP (↓),0.228,0.284,0.231,0.216*,0.275,0.455,0.003s
Sym (↑),0.081,0.015,0.025,0.046,0.055,0.002,0.001s
CS (↓),0.739,2.074,1.489,1.384,1.336,13.437,0.001s
SF (↑),0.426,0.286,0.350,0.392,0.354,0.112,0.000s
SD (↓),68221.708,349702.220,293305.980,233149.413,302274.679,469849.343,0.007s
SDbw (↓),0.348,1.633,1.229,0.925,1.550,2.510,0.001s
XB* (↓),0.078,0.796,0.281,0.256,0.497,78.032,0.000s
S (↑),0.666,0.306,0.453,0.520,0.422,-0.037,0.003s
DB (↓),0.459,1.490,0.942,0.745,0.958,13.312,0.001s
CH (↑),909.093,112.648,266.077,328.980,189.937,3.742,0.000s
AD-S (↑),0.635,0.181,0.520,0.543,0.327,-0.105,0.012s
AD-DB (↓),0.733,1.417,0.889,0.829,0.972,2.093,0.015s
AD-CH (↑),411.848,319.259,522.139*,495.165*,469.716*,101.022,0.018s
AD-idea (↑),21.943,1.758,4.509,6.085,4.015,0.356,0.026s
