,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.599,0.601*,0.623*,0.619*,0.651*,-0.085,0.009s
GD43 (↑),0.001,0.956*,1.001*,0.873*,1.193*,0.041*,0.001s
GD53 (↑),0.000,0.434*,0.428*,0.362*,0.482*,0.427*,0.001s
PS (↑),-1.227,1.548*,1.591*,1.291*,1.933*,2.901*,0.001s
rCIP (↓),0.507,0.139*,0.143*,0.070*,0.145*,3.590,0.005s
WB (↓),40.108,5.454*,4.887*,5.645*,4.297*,916.053,0.001s
XB (↓),131088.788,0.635*,0.579*,0.524*,0.537*,288.533*,0.001s
SSE (↓),407.516,335.346*,325.220*,338.417*,312.740*,455.831,0.000s
RS (↑),-0.835,-0.509*,-0.464*,-0.665*,-0.364*,-3.973,0.002s
DH (↓),0.238,0.716,0.706,0.660,0.693,0.994,0.016s
B (↓),0.320,1.190,1.102,0.836,1.076,148.437,0.001s
BH (↓),81.503,167.673,162.610,169.208,156.370,91.166,0.000s
D (↑),0.269,0.151,0.172,0.213,0.179,0.028,0.002s
H (↓),2.004,0.789*,0.745*,0.734*,0.698*,4.968,0.001s
DBCV (↑),0.949,-0.999,-1.000,-0.997,-0.999,-1.000,8.525s
I (↑),0.109,0.158*,0.170*,0.206*,0.176*,0.001,0.001s
C (↓),0.318,0.293*,0.286*,0.196*,0.298*,0.483,0.036s
CDbw (↑),12.803,0.002,0.008,0.004,0.003,0.008,0.011s
VIASCKDE (↑),0.785,0.537,0.543,0.554,0.542,-0.192,0.043s
COP (↓),0.659,0.353*,0.429*,0.426*,0.382*,0.431*,0.008s
Sym (↑),0.039,0.004,0.004,0.004,0.004,0.000,0.003s
CS (↓),1.126,2.415,1.967,1.905,1.988,33.288,0.002s
SF (↑),0.281,0.318*,0.321*,0.308*,0.329*,0.061,0.001s
SD (↓),25841769.503,50975776.925,49422835.723,65213683.048,47968966.864,67458903.817,0.068s
SDbw (↓),2.581,2.090*,2.103*,2.094*,2.469*,2.920,0.003s
XB* (↓),259432.233,0.731*,0.676*,0.724*,0.558*,313.986*,0.001s
S (↑),0.235,0.272*,0.279*,0.381*,0.279*,-0.045,0.019s
DB (↓),244.609,1.424*,1.372*,1.333*,1.317*,22.570*,0.001s
CH (↑),31.945,376.970*,420.715*,364.224*,478.527*,1.399,0.000s
AD-S (↑),0.946,0.115,-0.058,0.392,0.012,-0.024,0.067s
AD-DB (↓),0.101,19.386,23.646,0.637,16.785,46.129,0.064s
AD-CH (↑),2475.195,77.189,81.258,791.216,86.842,10.388,0.098s
AD-idea (↑),190.930,0.209,0.170,6.019,0.234,0.202,0.132s
