,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.908,0.717,0.627,0.736,0.686,-0.081,0.398s
GD43 (↑),12.698,1.225,1.017,1.289,1.199,0.003,0.017s
GD53 (↑),0.307,0.455*,0.497*,0.445*,0.492*,0.407*,0.014s
PS (↑),3.592,1.891,1.940,1.923,1.956,-1.804,0.014s
rCIP (↓),5.334,0.049*,0.071*,0.020*,0.031*,129.788,0.025s
WB (↓),0.362,3.162,4.754,2.851,3.658,3530.726,0.013s
XB (↓),0.127,0.395,0.594,0.356,0.457,41378.980,0.015s
SSE (↓),20.384,1081.476,1242.780,1037.705,1141.496,1750.229,0.001s
RS (↑),0.642,-0.220,-0.408,-0.172,-0.293,-29.762,0.001s
DH (↓),0.102,0.612,0.683,0.595,0.639,0.991,0.169s
B (↓),0.011,0.789,1.189,0.713,0.915,107.768,0.003s
BH (↓),0.658,540.738,621.390,518.852,570.748,56.459,0.001s
D (↑),0.108,0.215*,0.151*,0.256*,0.244*,0.005,0.023s
H (↓),2.837,0.563*,0.745*,0.523*,0.627*,30.962,0.003s
DBCV (↑),-0.157,-0.967,-0.985,-0.979,-0.964,-0.990,39.225s
I (↑),0.516,0.397,0.257,0.422,0.330,0.000,0.005s
C (↓),0.006,0.200,0.265,0.183,0.224,0.473,1.020s
CDbw (↑),0.319,0.008,0.002,0.003,0.005,0.008,5.111s
VIASCKDE (↑),0.641,0.804*,0.768*,0.786*,0.804*,-0.555,3.248s
COP (↓),0.087,0.271,0.246,0.257,0.275,0.325,0.062s
Sym (↑),0.016,0.002,0.002,0.006,0.005,0.000,0.012s
CS (↓),0.884,1.716,2.158,1.502,1.713,86.362,0.036s
SF (↑),0.105,0.320*,0.290*,0.322*,0.305*,0.000,0.009s
SD (↓),2371906.271,125259359.042,144719709.426,139196097.768,155911927.047,204351501.554,0.350s
SDbw (↓),0.058,1.508,1.741,1.648,1.884,2.700,0.023s
XB* (↓),0.173,0.434,0.598,0.400,0.465,46406.045,0.008s
S (↑),0.562,0.368,0.299,0.384,0.344,-0.074,0.236s
DB (↓),0.560,1.129,1.406,1.096,1.240,135.379,0.004s
CH (↑),8758.468,1959.732,1303.275,2173.070,1693.796,0.898,0.001s
ED-S (↑),0.433,0.248,0.053,0.431,0.111,-0.521,181.400s
ED-DB (↓),1.122,0.466*,4.242,0.566*,5.708,57.767,8.880s
ED-CH (↑),954.079,3959.906*,1803.958*,2559.634*,1019.271*,22.695,8.785s
AD-S (↑),0.399,0.139,0.071,0.283,0.118,-0.122,0.230s
AD-DB (↓),1.264,1.874,1.802,1.581,2.048,14.245,0.217s
AD-CH (↑),355.475,3123.249*,3083.909*,3713.768*,2537.557*,70.484,0.237s
AD-idea (↑),20836247.785,1.089,1.059,1.612,0.939,0.000,0.398s
