,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.283,0.508*,0.811*,0.818*,0.792*,-0.030,0.001s
GD43 (↑),0.040,0.658*,1.819*,1.495*,1.414*,0.018,0.000s
GD53 (↑),0.044,0.444*,0.474*,0.406*,0.397*,0.464*,0.000s
PS (↑),-2.644,1.900*,1.753*,1.516*,1.948*,1.613*,0.000s
rCIP (↓),3.864,0.095*,0.014*,0.001*,0.007*,4.092,0.002s
WB (↓),1.386,7.589,1.875,2.080,2.055,525.546,0.000s
XB (↓),103.684,0.948*,0.231*,0.238*,0.257*,1249.817,0.000s
SSE (↓),45.411,191.557,117.120,123.390,122.658,239.309,0.000s
RS (↑),-0.098,-0.576,0.027*,0.076*,-0.015*,-4.936,0.000s
DH (↓),0.312,0.741,0.491,0.469,0.506,0.986,0.001s
B (↓),0.189,1.903,0.458,0.442,0.516,72.743,0.000s
BH (↓),7.568,95.778,58.560,61.695,61.329,39.885,0.000s
D (↑),0.006,0.181*,0.309*,0.338*,0.246*,0.047*,0.000s
H (↓),3.569,0.967*,0.377*,0.349*,0.405*,5.964,0.000s
DBCV (↑),0.220,-0.956,-0.698,0.218,-0.938,-0.973,0.011s
I (↑),0.373,0.166,0.821*,0.792*,0.682*,0.001,0.000s
C (↓),0.069,0.338,0.115,0.131,0.133,0.508,0.003s
CDbw (↑),0.373,0.018,0.019,0.060,0.037,0.021,0.007s
VIASCKDE (↑),0.389,0.477*,0.565*,0.575*,0.560*,-0.232,0.007s
COP (↓),0.218,0.329,0.239,0.239,0.327,0.398,0.003s
Sym (↑),0.035,0.010,0.016,0.029,0.019,0.001,0.001s
CS (↓),2.969,2.575*,1.445*,1.274*,1.443*,33.885,0.000s
SF (↑),0.205,0.253*,0.370*,0.377*,0.351*,0.012,0.000s
SD (↓),4192.544,8987.802,5924.239,6379.078,6669.602,19381.883,0.010s
SDbw (↓),0.585,1.922,1.103,1.353,1.192,2.652,0.001s
XB* (↓),372.661,1.067*,0.244*,0.294*,0.323*,1296.377,0.000s
S (↑),0.139,0.240*,0.489*,0.489*,0.475*,-0.057,0.003s
DB (↓),5.330,1.823*,0.825*,0.786*,0.903*,36.279,0.001s
CH (↑),340.344,104.630,423.444*,381.756*,386.403*,0.897,0.000s
AD-S (↑),0.478,0.186,0.472,0.579*,0.375,-0.227,0.013s
AD-DB (↓),1.233,1.689,1.059*,0.757*,1.206*,7.605,0.014s
AD-CH (↑),280.717,325.539*,741.808*,956.639*,624.860*,65.572,0.018s
AD-idea (↑),12.823,2.365,3.107,5.489,3.454,1.157,0.026s
