,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.845,0.551,0.554,0.706,0.697,-0.060,0.006s
GD43 (↑),3.546,0.856,0.890,1.417,1.388,0.018,0.002s
GD53 (↑),0.274,0.464*,0.478*,0.492*,0.496*,0.435*,0.002s
PS (↑),3.164,1.664,1.673,1.850,1.924,2.514,0.002s
rCIP (↓),1.402,0.198*,0.197*,0.037*,0.040*,3.425,0.002s
WB (↓),0.998,6.779,6.660,3.338,3.471,1858.327,0.002s
XB (↓),0.173,0.821,0.808,0.416,0.434,1401.355,0.002s
SSE (↓),77.124,357.787,356.327,289.728,293.971,462.094,0.001s
RS (↑),0.199,-0.519,-0.523,-0.252,-0.269,-3.984,0.001s
DH (↓),0.329,0.745,0.744,0.627,0.636,0.995,0.025s
B (↓),0.168,1.596,1.575,0.830,0.869,297.403,0.001s
BH (↓),15.425,178.894,178.164,144.864,146.986,92.419,0.000s
D (↑),0.372,0.123,0.130,0.221,0.204,0.005,0.003s
H (↓),0.681,0.892,0.889,0.588*,0.605*,4.986,0.001s
DBCV (↑),-0.839,-0.978,-0.967,-0.916,-0.979,-0.982,47.757s
I (↑),0.453,0.144,0.148,0.248,0.237,0.000,0.001s
C (↓),0.077,0.345,0.340,0.240,0.248,0.483,0.050s
CDbw (↑),0.031,0.005,0.007,0.003,0.010,0.012,1.254s
VIASCKDE (↑),0.703,0.545,0.547,0.624,0.631,-0.241,0.388s
COP (↓),0.166,0.208,0.237,0.233,0.242,0.263,0.013s
Sym (↑),0.036,0.002,0.002,0.005,0.004,0.000,0.009s
CS (↓),1.081,2.475,2.565,1.794,1.820,53.854,0.004s
SF (↑),0.285,0.316*,0.317*,0.332*,0.329*,0.050,0.001s
SD (↓),59442226.777,281985439.351,282604913.910,269495644.973,273608076.867,369907836.621,0.056s
SDbw (↓),0.786,2.250,2.230,2.048,2.180,2.850,0.002s
XB* (↓),0.211,0.885,0.846,0.423,0.437,1514.300,0.001s
S (↑),0.435,0.220,0.225,0.351,0.342,-0.034,0.027s
DB (↓),0.569,1.545,1.533,1.192,1.219,42.203,0.002s
CH (↑),1245.664,294.417,299.714,598.019,574.978,0.669,0.001s
ED-S (↑),0.129,-0.002,-0.000,-0.086,-0.085,-0.056,6.129s
ED-DB (↓),1.671,2.517,3.163,1.791,1.418*,7.813,1.240s
ED-CH (↑),242.698,774.556*,632.867*,1183.584*,1018.725*,76.124,1.266s
AD-S (↑),0.100,0.066,0.007,0.020,-0.003,-0.002,0.047s
AD-DB (↓),1.897,1.947,2.486,1.694*,1.729*,5.735,0.045s
AD-CH (↑),232.198,869.683*,784.532*,979.104*,997.171*,91.216,0.057s
AD-idea (↑),1.798,0.846,0.737,1.005,1.007,0.011,0.085s
