,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.667,0.577,0.561,0.591,0.582,-0.136,0.006s
GD43 (↑),0.031,1.460*,1.464*,1.538*,1.515*,0.019,0.004s
GD53 (↑),0.001,0.478*,0.499*,0.485*,0.490*,0.362*,0.002s
PS (↑),-0.957,1.869*,1.918*,1.963*,1.908*,1.654*,0.004s
rCIP (↓),0.916,0.421*,0.434*,0.389*,0.395*,12.223,0.001s
WB (↓),32.897,5.874*,6.258*,5.524*,5.744*,1879.399,0.003s
XB (↓),376.053,0.732*,0.782*,0.691*,0.717*,2378.965,0.001s
SSE (↓),127.769,112.699*,114.486*,110.916*,112.058*,150.592,0.000s
RS (↑),-0.795,-0.488*,-0.516*,-0.468*,-0.484*,-4.963,0.000s
DH (↓),0.140,0.738,0.750,0.733,0.740,0.994,0.012s
B (↓),0.108,1.465,1.567,1.385,1.438,243.712,0.003s
BH (↓),21.295,56.349,57.243,55.458,56.029,25.099,0.000s
D (↑),0.373,0.077,0.075,0.117,0.119,0.001,0.001s
H (↓),1.969,0.844*,0.878*,0.817*,0.836*,5.983,0.000s
DBCV (↑),0.906,-0.999,-0.999,-0.999,-0.999,-0.998,31.665s
I (↑),0.244,0.059,0.055,0.061,0.059,0.000,0.003s
C (↓),0.288,0.342,0.350,0.338,0.343,0.444,0.051s
CDbw (↑),154.044,0.065,0.003,0.009,0.007,0.013,1.123s
VIASCKDE (↑),0.622,0.536,0.520,0.534,0.523,-0.263,0.388s
COP (↓),0.542,0.136*,0.141*,0.140*,0.141*,0.245*,0.015s
Sym (↑),0.072,0.007,0.007,0.007,0.007,0.000,0.005s
CS (↓),0.297,3.245,3.765,3.197,3.255,76.748,0.005s
SF (↑),0.378,0.415*,0.413*,0.415*,0.413*,0.114,0.001s
SD (↓),20871032.045,51910120.160,52852719.538,54203908.907,54985514.213,69523197.342,0.043s
SDbw (↓),4.588,1.979*,2.045*,2.023*,2.055*,2.799*,0.004s
XB* (↓),763.466,0.766*,0.783*,0.712*,0.733*,2856.923,0.001s
S (↑),0.295,0.239,0.225,0.241,0.234,-0.059,0.026s
DB (↓),11.229,1.449*,1.499*,1.421*,1.452*,47.644,0.001s
CH (↑),27.869,261.501*,245.431*,278.053*,267.388*,0.488,0.003s
ED-S (↑),0.845,-0.192,-0.199,-0.186,-0.186,-0.249,6.321s
ED-DB (↓),0.264,11.823,11.218,10.325,11.112,48.188,1.486s
ED-CH (↑),532.373,128.706,125.998,109.971,133.808,9.408,1.495s
AD-S (↑),0.885,0.014,0.012,0.016,0.015,-0.029,0.059s
AD-DB (↓),0.126,20.969,21.130,21.229,18.551,40.991,0.060s
AD-CH (↑),698.583,72.212,71.939,71.735,76.699,9.478,0.056s
AD-idea (↑),50573447.876,0.898,1.044,1.000,1.066,0.760,0.107s
