,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.819,0.698,0.688,0.819,0.581,0.002,0.003s
GD43 (↑),2.200,1.368,1.304,2.200,0.962,0.033,0.001s
GD53 (↑),0.494,0.500*,0.492,0.494,0.492,0.494,0.001s
PS (↑),1.963,1.924,1.944,1.963,1.924,1.915,0.001s
rCIP (↓),0.002,0.075,0.077,0.002,0.077,0.335,0.001s
WB (↓),1.768,3.460,3.623,1.768,5.781,3717.520,0.001s
XB (↓),0.221,0.432,0.453,0.221,0.722,464.400,0.001s
SSE (↓),182.845,246.952,251.086,182.845,289.535,389.492,0.000s
RS (↑),0.062,-0.267,-0.288,0.062,-0.485,-1.000,0.000s
DH (↓),0.503,0.625,0.632,0.503,0.718,0.998,0.010s
B (↓),0.443,0.866,0.908,0.443,1.448,930.545,0.001s
BH (↓),91.423,123.476,125.543,91.423,144.768,194.746,0.000s
D (↑),0.265,0.207,0.207,0.265,0.190,0.011,0.002s
H (↓),0.362,0.604,0.623,0.362,0.839,1.996,0.001s
DBCV (↑),-0.322,-0.879,-0.871,-0.322,-0.863,-0.947,28.777s
I (↑),0.596,0.318,0.305,0.596,0.167,0.000,0.000s
C (↓),0.101,0.222,0.229,0.101,0.303,0.500,0.024s
CDbw (↑),0.104,0.009,0.006,0.105*,0.006,0.004,0.427s
VIASCKDE (↑),0.613,0.568,0.567,0.642*,0.585,-0.014,0.209s
COP (↓),0.303,0.259*,0.261*,0.303,0.288*,0.333,0.007s
Sym (↑),0.054,0.006,0.006,0.054,0.011,0.001,0.002s
CS (↓),1.348,1.746,1.777,1.348,2.190,52.594,0.002s
SF (↑),0.380,0.335,0.333,0.380,0.289,0.236,0.000s
SD (↓),882181.857,1007740.860,1027326.538,882181.857,1412340.876,1632126.452,0.021s
SDbw (↓),1.357,1.633,1.671,1.357,2.293,2.875,0.001s
XB* (↓),0.224,0.433,0.460,0.224,0.734,470.015,0.001s
S (↑),0.486,0.348,0.341,0.486,0.264,-0.001,0.012s
DB (↓),0.852,1.167,1.191,0.852,1.607,40.609,0.001s
CH (↑),902.795,461.282,440.547,902.795,276.074,0.429,0.000s
AD-S (↑),0.166,0.121,0.079,0.166,0.022,0.004,0.029s
AD-DB (↓),1.675,1.736,1.825,1.675,1.916,3.055,0.030s
AD-CH (↑),926.221,892.854,849.956,926.221,809.350,510.991,0.027s
AD-idea (↑),1.435,0.932,0.863,1.435,0.621,0.373,0.052s
