,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.307,0.101,0.893*,0.794*,0.894*,0.002,0.001s
GD43 (↑),0.497,0.227,2.994*,1.376*,2.992*,0.029,0.000s
GD53 (↑),0.400,0.500*,0.454*,0.385,0.451*,0.457*,0.000s
PS (↑),1.213,1.488*,1.641*,1.641*,1.630*,1.872*,0.000s
rCIP (↓),0.000,0.424,0.030,0.031,0.029,0.505,0.000s
WB (↓),16.344,78.746,1.016*,2.218*,1.011*,3564.631,0.001s
XB (↓),1.308,8.885,0.122*,0.267*,0.121*,444.552,0.000s
SSE (↓),124.127,135.865,46.943*,73.262*,46.791*,139.238,0.000s
RS (↑),-0.117,-0.950,0.342*,0.023*,0.347*,-1.007,0.000s
DH (↓),0.518,0.934,0.395*,0.513*,0.393*,0.996,0.001s
B (↓),1.938,16.324,0.238*,0.519*,0.235*,894.215,0.000s
BH (↓),62.063,67.932,23.472*,36.631*,23.395*,69.619,0.000s
D (↑),0.196,0.077,0.407*,0.232*,0.497*,0.029,0.000s
H (↓),0.627,1.798,0.213*,0.387*,0.211*,1.995,0.000s
DBCV (↑),0.888,-0.942,-0.936,-0.857,-0.936,-0.995,0.019s
I (↑),0.134,0.016,1.062*,0.515*,1.071*,0.000,0.001s
C (↓),0.491,0.481*,0.089*,0.222*,0.088*,0.500,0.007s
CDbw (↑),0.644,0.010,0.015,0.035,0.021,0.007,0.453s
VIASCKDE (↑),0.739,0.370,0.596,0.608,0.596,-0.027,0.003s
COP (↓),0.211,0.238,0.247,0.234,0.247,0.245,0.002s
Sym (↑),0.073,0.004,0.039,0.032,0.039,0.001,0.001s
CS (↓),1.757,7.985,0.860*,1.181*,0.858*,55.782,0.000s
SF (↑),0.392,0.246,0.425*,0.365,0.426*,0.235,0.000s
SD (↓),795918.958,1393906.881,494699.700*,781677.917*,490847.437*,1437616.366,0.005s
SDbw (↓),1.987,2.450,1.007*,2.132,0.996*,2.888,0.001s
XB* (↓),1.633,8.887,0.135*,0.347*,0.135*,485.887,0.000s
S (↑),0.179,0.056,0.565*,0.399*,0.566*,-0.001,0.003s
DB (↓),1.183,5.144,0.627*,0.879*,0.623*,37.253,0.001s
CH (↑),30.347,6.299,487.997*,223.601*,490.399*,0.139,0.000s
AD-S (↑),0.843,0.019,0.082,0.074,0.081,0.008,0.013s
AD-DB (↓),0.234,3.513,3.272,3.338,3.261,9.716,0.011s
AD-CH (↑),536.185,42.962,136.356,136.445,136.324,24.326,0.016s
AD-idea (↑),107.727,0.248,1.217,0.714,1.218,0.261,0.020s
