,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.847,0.859*,0.531,0.762,0.793,0.020,0.001s
GD43 (↑),2.094,2.421*,0.719,1.550,1.530,0.098,0.000s
GD53 (↑),0.467,0.472*,0.412,0.462,0.392,0.476*,0.000s
PS (↑),1.315,1.444*,1.651*,1.659*,1.420*,1.847*,0.000s
rCIP (↓),0.029,0.018*,0.025*,0.074,0.039,0.343,0.001s
WB (↓),2.001,1.543*,6.811,2.540,2.238,368.737,0.000s
XB (↓),0.193,0.169*,0.822,0.307,0.241,45.917,0.000s
SSE (↓),96.322,83.865*,148.863,107.735,101.693,191.534,0.000s
RS (↑),0.065,0.157*,-0.598,-0.133,-0.135,-0.983,0.000s
DH (↓),0.476,0.459*,0.702,0.572,0.529,0.991,0.002s
B (↓),0.315,0.303*,1.599,0.598,0.425,91.979,0.000s
BH (↓),48.161,41.933*,74.431,53.867,50.846,95.767,0.000s
D (↑),0.340,0.496*,0.209,0.272,0.201,0.118,0.000s
H (↓),0.304,0.281*,0.912,0.474,0.409,1.957,0.000s
DBCV (↑),0.219,-0.824,-0.952,-0.986,-0.969,-0.977,36.020s
I (↑),0.668,0.754*,0.173,0.440,0.572,0.003,0.000s
C (↓),0.114,0.089*,0.289,0.194,0.122,0.500,0.005s
CDbw (↑),0.097,0.015,0.034,0.018,0.013,0.007,0.517s
VIASCKDE (↑),0.639,0.659*,0.630,0.619,0.552,0.017,0.059s
COP (↓),0.266,0.266,0.287,0.292,0.237*,0.336,0.004s
Sym (↑),0.017,0.023*,0.009,0.015,0.015,0.001,0.001s
CS (↓),1.034,0.979*,2.449,1.524,1.358,16.811,0.001s
SF (↑),0.366,0.381*,0.283,0.341,0.350,0.231,0.000s
SD (↓),28021.473,25025.907*,46988.433,36635.282,36415.677,58622.327,0.008s
SDbw (↓),0.960,0.970,1.732,1.300,1.134,2.795,0.001s
XB* (↓),0.206,0.179*,0.999,0.333,0.307,48.194,0.000s
S (↑),0.460,0.503*,0.301,0.390,0.448,0.001,0.004s
DB (↓),0.789,0.763*,1.662,1.020,0.906,12.652,0.001s
CH (↑),370.723,480.897*,108.934,292.152,331.552,2.012,0.000s
AD-S (↑),0.554,0.429,0.226,0.074,0.465,0.003,0.011s
AD-DB (↓),1.055,1.163,1.378,2.308,1.142,5.819,0.011s
AD-CH (↑),756.896,641.025,564.850,646.081,670.203,67.768,0.011s
AD-idea (↑),4.015,2.639,0.616,0.763,2.125,0.616,0.022s
