,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.084,0.686*,0.684*,0.701*,0.664*,-0.027,0.001s
GD43 (↑),0.232,1.316*,1.257*,1.257*,1.211*,0.023,0.000s
GD53 (↑),0.486,0.498*,0.477,0.453,0.490*,0.445,0.000s
PS (↑),2.764,1.726,1.963,1.810,1.788,1.200,0.000s
rCIP (↓),0.969,0.055*,0.060*,0.060*,0.060*,0.984,0.001s
WB (↓),79.953,3.731*,3.690*,3.437*,4.093*,561.998,0.000s
XB (↓),9.677,0.458*,0.461*,0.427*,0.507*,819.804,0.001s
SSE (↓),144.645,97.700*,97.325*,94.866*,100.815*,149.276,0.000s
RS (↑),-1.892,-0.303*,-0.297*,-0.252*,-0.341*,-1.980,0.000s
DH (↓),0.949,0.645*,0.647*,0.634*,0.662*,0.992,0.001s
B (↓),17.907,0.905*,0.929*,0.853*,1.011*,118.671,0.000s
BH (↓),48.215,48.850,48.663,47.433*,50.407,49.759,0.000s
D (↑),0.067,0.264*,0.256*,0.256*,0.237*,0.094*,0.000s
H (↓),2.713,0.628*,0.631*,0.592*,0.672*,2.977,0.000s
DBCV (↑),0.512,-0.753,-0.921,-0.965,-0.867,-0.985,0.007s
I (↑),0.006,0.278*,0.279*,0.300*,0.254*,0.002,0.000s
C (↓),0.458,0.231*,0.232*,0.225*,0.247*,0.487,0.002s
CDbw (↑),0.020,0.018,0.006,0.006,0.019,0.007,0.005s
VIASCKDE (↑),0.436,0.436,0.393,0.389,0.428,-0.066,0.004s
COP (↓),0.346,0.288*,0.245*,0.253*,0.244*,0.312*,0.002s
Sym (↑),0.001,0.024*,0.023*,0.026*,0.022*,0.001,0.001s
CS (↓),6.620,1.756*,1.794*,1.661*,1.861*,33.644,0.000s
SF (↑),0.132,0.328*,0.329*,0.334*,0.323*,0.136*,0.000s
SD (↓),208856.287,140029.745*,139487.666*,149805.189*,165589.513*,218453.449,0.007s
SDbw (↓),3.635,1.863*,1.993*,1.999*,1.980*,2.858*,0.001s
XB* (↓),9.862,0.460*,0.484*,0.471*,0.517*,882.457,0.000s
S (↑),0.001,0.335*,0.334*,0.341*,0.318*,-0.025,0.002s
DB (↓),5.872,1.219*,1.219*,1.170*,1.276*,39.899,0.001s
CH (↑),5.797,166.179*,168.009*,180.403*,151.466*,0.825,0.000s
AD-S (↑),0.828,0.052,0.036,0.020,0.009,-0.161,0.010s
AD-DB (↓),0.342,1.384,1.394,1.408,1.490,14.868,0.010s
AD-CH (↑),637.828,274.816,255.471,263.496,447.718,161.468,0.013s
AD-idea (↑),17.447,2.297,2.830,2.641,2.198,1.189,0.020s
