,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.377,0.759*,0.752*,0.831*,0.498*,0.039,0.001s
GD43 (↑),0.238,1.490*,1.462*,2.294*,0.724*,0.068,0.000s
GD53 (↑),0.034,0.448*,0.450*,0.497*,0.462*,0.488*,0.000s
PS (↑),2.102,1.944,1.930,1.957,1.580,1.467,0.000s
rCIP (↓),0.520,0.047*,0.043*,0.006*,0.133*,0.966,0.001s
WB (↓),8.699,2.534*,2.615*,1.632*,8.360*,130.471,0.000s
XB (↓),1.957,0.317*,0.327*,0.204*,0.986*,105.149,0.000s
SSE (↓),113.749,85.500*,86.676*,68.749*,123.445,149.539,0.000s
RS (↑),-1.056,-0.117*,-0.135*,0.101*,-0.640*,-1.931,0.000s
DH (↓),0.613,0.552*,0.555*,0.478*,0.779,0.977,0.001s
B (↓),1.868,0.638*,0.658*,0.411*,1.879,28.200,0.000s
BH (↓),37.916,42.750,43.338,34.375*,61.723,49.846,0.000s
D (↑),0.033,0.246*,0.246*,0.302*,0.192*,0.043*,0.000s
H (↓),1.255,0.479*,0.492*,0.339*,1.000*,2.908,0.000s
DBCV (↑),0.161,-0.917,-0.747,0.431*,-0.899,-0.968,34.278s
I (↑),0.152,0.492*,0.489*,0.764*,0.125,0.007,0.000s
C (↓),0.296,0.177*,0.179*,0.104*,0.350,0.488,0.003s
CDbw (↑),0.046,0.011,0.016,0.015,0.007,0.008,0.750s
VIASCKDE (↑),0.582,0.470,0.477,0.462,0.400,-0.125,0.051s
COP (↓),0.275,0.223*,0.251*,0.203*,0.330,0.323,0.003s
Sym (↑),0.013,0.016*,0.016*,0.036*,0.015*,0.003,0.001s
CS (↓),2.343,1.597*,1.610*,1.290*,2.434,14.831,0.001s
SF (↑),0.226,0.367*,0.367*,0.402*,0.266*,0.133,0.000s
SD (↓),250492.152,203428.531*,207497.521*,181632.981*,346783.779,369298.655,0.013s
SDbw (↓),1.706,1.721,1.738,1.515*,2.242,2.936,0.001s
XB* (↓),4.770,0.353*,0.363*,0.205*,1.068*,106.870,0.001s
S (↑),0.259,0.428*,0.427*,0.512*,0.208,-0.040,0.005s
DB (↓),2.541,0.944*,0.949*,0.758*,1.893*,14.829,0.001s
CH (↑),51.040,234.395*,227.188*,363.867*,71.053*,3.403,0.000s
AD-S (↑),0.281,0.263,0.321*,0.361*,0.040,-0.073,0.012s
AD-DB (↓),1.659,1.448*,1.334*,1.285*,1.875,2.374,0.012s
AD-CH (↑),194.496,359.514*,390.689*,404.713*,276.957*,163.449,0.011s
AD-idea (↑),3.312,1.645,1.815,2.411,0.784,0.156,0.026s
