,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.918,0.629,0.718,0.690,0.736,-0.060,0.084s
GD43 (↑),7.592,1.093,1.392,1.327,1.484,0.003,0.008s
GD53 (↑),0.152,0.478*,0.466*,0.487*,0.470*,0.445*,0.008s
PS (↑),3.569,1.907,1.833,1.873,1.718,0.983,0.007s
rCIP (↓),0.956,0.067*,0.071*,0.040*,0.027*,36.252,0.009s
WB (↓),0.427,4.702,3.169,3.608,2.956,4915.739,0.007s
XB (↓),0.135,0.587,0.394,0.450,0.362,71662.342,0.007s
SSE (↓),64.239,1628.152,1422.878,1493.140,1384.257,2313.678,0.001s
RS (↑),0.586,-0.405,-0.220,-0.285,-0.181,-13.959,0.001s
DH (↓),0.146,0.677,0.615,0.637,0.596,0.997,0.286s
B (↓),0.027,1.174,0.785,0.898,0.711,309.557,0.002s
BH (↓),4.283,814.076,711.439,746.570,692.129,154.245,0.001s
D (↑),0.046,0.194*,0.200*,0.204*,0.228*,0.001,0.032s
H (↓),1.227,0.740*,0.563*,0.620*,0.527*,14.989,0.001s
DBCV (↑),-0.587,-0.996,-0.985,-0.986,-0.985,-0.999,31.402s
I (↑),0.760,0.209,0.312,0.268,0.335,0.000,0.001s
C (↓),0.010,0.259,0.205,0.224,0.190,0.489,0.993s
CDbw (↑),0.213,0.004,0.005,0.006,0.004,0.011,1.443s
VIASCKDE (↑),0.681,0.703*,0.720*,0.716*,0.729*,-0.451,6.221s
COP (↓),0.102,0.287,0.291,0.322,0.268,0.362,0.048s
Sym (↑),0.014,0.002,0.002,0.004,0.004,0.000,0.011s
CS (↓),0.997,2.053,1.783,1.798,1.623,119.389,0.059s
SF (↑),0.235,0.314*,0.339*,0.328*,0.343*,0.000,0.004s
SD (↓),70701406.412,1783050917.471,1537506053.166,1871781854.846,1715648078.917,2504261329.690,0.502s
SDbw (↓),0.109,1.848,1.629,1.958,1.822,2.861,0.010s
XB* (↓),0.214,0.614,0.423,0.462,0.386,75274.027,0.005s
S (↑),0.609,0.308,0.360,0.344,0.379,-0.041,0.460s
DB (↓),0.482,1.402,1.142,1.236,1.099,183.942,0.002s
CH (↑),12507.578,2126.060,3153.822,2770.226,3381.258,1.087,0.001s
ED-S (↑),0.546,-0.253,0.183,-0.145,0.377,-0.190,171.837s
ED-DB (↓),0.959,3.927,1.883,3.015,0.279*,10.524,19.986s
ED-CH (↑),1628.959,2348.948*,3809.763*,2740.733*,8958.260*,89.228,20.760s
AD-S (↑),0.505,0.038,0.153,0.017,0.239,-0.007,1.657s
AD-DB (↓),1.097,2.224,1.509,2.637,1.453,6.095,1.567s
AD-CH (↑),867.849,4014.858*,5003.599*,3771.592*,5787.829*,172.248,1.673s
AD-idea (↑),32220.515,0.745,1.251,0.962,1.580,0.000,1.846s
