Metric,Correlation,P-value
cSIL,0.2897873996185688,0.10765986942904206
GD43,0.38261469708103724,0.030673612591076187
GD53,0.2238679909411031,0.21805742666810704
PS,0.10405094687843941,0.5709010342558327
rCIP,-0.12047064151089606,0.5113288814396862
WB,0.18380320692842866,0.313938075454938
XB,0.1830086112063219,0.3160710612281805
SSE,-0.014008297749420234,0.939344523582686
RS,0.34935335003097306,0.050011669106260453
DH,-0.24044696027326726,0.1849711565640521
B,0.18383605931080188,0.313850081537322
BH,0.000701111515321453,0.9969614363268626
D,0.30875697866568697,0.0855419345802847
H,-0.10559851726489425,0.5651552111602411
DBCV,0.5630468113245292,0.0007937556577644959
I,0.23536020299530172,0.1947229701959504
C,-0.1797370260053449,0.32494800999870305
CDbw,0.044202475913423904,0.8101629172924254
VIASCKDE,0.26445360004557456,0.14356533117092385
COP,-0.15924364653592527,0.3839985358087944
Sym,0.269867015966032,0.13524506507329753
CS,0.1408643553719695,0.4418980203826006
SF,0.060796095811025005,0.7409937536523497
SD,-0.11132284794680448,0.5441345455611797
SDbw,-0.33308634523161257,0.062483333326032627
XB*,0.18473768845751376,0.31144111217734516
S,0.39177189569236365,0.026587871308807118
DB,0.14722327957569986,0.42134975468823155
CH,0.34648717013599256,0.052052028235171875
ED-S,0.45102198817301065,0.009575209700415564
ED-DB,-0.4939993014892252,0.004058670177874667
ED-CH,0.2666897918364077,0.1400843620830538
AD-S,0.4789997158350824,0.005544242672040893
AD-DB,-0.46405542298665614,0.007464516473291157
AD-CH,0.27614676197681537,0.12604263294092113
AD-idea,0.2195234697140413,0.22735569737777728
