,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cSIL,-0.30149200997188913,,,0.2739086847283934,-0.044723396857762505,0.08210362033783475
GD43,0.3466931468677942,,,0.6135990222582847,0.04890630461362249,0.4824850411688154
GD53,0.10076324098918507,,,0.29345512156314707,-0.17270800719568663,0.15421705440653882
PS,-0.17680384179476547,,,0.15345866801985222,-0.14580280723473452,0.07461450470701263
rCIP,-0.5518127152114884,,,-0.1263165711598203,-0.1338956532341772,-0.2883184088987001
WB,0.8102897041057792,,,0.5489436488978552,0.3477882359850299,0.7121948885618553
XB,-0.10766136334417484,,,0.20384420213621793,-0.09052507523821485,0.1946694746555607
SSE,0.4537224103205009,-0.25948790896159313,-0.2919331759319011,0.07720583685037812,0.2480038471353085,0.31610407030306253
RS,-0.3648843133945287,,,0.4272312090795451,0.14234670724534257,0.06425543828399694
DH,0.13693523781711,0.3264864864864865,-0.012885752784336745,0.13088357240986673,0.19044131425737734,0.11573172118626623
B,0.31498934817069624,-0.851578947368421,-0.3118277646610046,0.04437045929923141,0.07415488331041035,0.14141053412927831
BH,0.5272048519862003,-0.6771550497866287,-0.26145006081420635,0.05414805005136329,0.35604512707544284,0.2975691311223466
D,-0.6178834779533081,-0.5821094033532962,-0.10413655767809483,0.03141264056089004,-0.267433002777559,-0.05370441567784725
H,-0.6128288039183253,,,-0.13222025570256324,-0.22139359307536,-0.17977969410510553
DBCV,-0.523345588944316,0.5004836415362731,-0.3166821062296904,0.5192519524239761,-0.023327546074205185,0.1814937897298388
I,-0.3465224874680298,-0.6409957325746798,-0.18683491927214585,-0.09304800920826269,-0.1422311125762435,-0.19573575446592542
C,0.45692506006534994,0.7856330014224749,-0.00947195988648059,0.3416834783469684,0.04430888159904004,0.531922878436403
VIASCKDE,0.21812457954470008,0.6141963015647226,0.022257224981265117,-0.17205337387503564,-0.3887414784643289,-0.09217030177209998
COP,0.34406344173816855,-0.4191465149359886,-0.39073716343518466,0.06489102318155379,-0.12917519806370278,0.0683112181810067
Sym,0.2788539106547379,0.000825035561877667,-0.3159562734015547,-0.054024283079817326,0.0678016919267228,0.2182433868080858
CS,-0.4424975850167462,0.26637268847795165,-0.13098662087716115,0.008911221951310075,0.04614123772093087,-0.09346535414989779
SF,-0.19171515394238295,-0.6236415362731152,-0.6670589778445838,0.1565899723999654,-0.05463383356630371,0.22483264049334706
SD,-0.32622750307169357,-0.33547652916073967,0.03553978560015421,-0.16689976112974494,0.18519078764689273,-0.08106671026339254
SDbw,-0.30020647257537375,0.37007672634271105,0.3750413738988617,0.31913017925359977,0.617942917649324,-0.021268549196949694
XB*,-0.2470512309977455,0.30591749644381216,-0.5351905511435692,0.3031514457794176,-0.036193410828381074,0.04851345679918893
S,0.11664241387537269,0.5787766714082504,-0.22535683623096087,0.17555107244080848,-0.15563286952491776,0.14695944036341838
DB,-0.36563166763259386,-0.041706970128022755,-0.25140439054638497,0.15017884327388395,-0.022433493555392012,-0.018879305159660215
CH,0.8076044636766688,0.8390611664295874,0.3271568171520023,0.477765263561766,0.1847771754715226,0.5521060947582046
AD-S,-0.4827621699489394,0.6343954480796585,-0.02507482530824561,0.014833609233740866,-0.5591898236684953,-0.3982078872268044
AD-DB,-0.5198606687574309,0.3380938833570412,0.05442408361355802,-0.024307833211629146,-0.39208808675054657,-0.08964505091502672
AD-CH,0.7164892906882743,0.5337980085348506,0.21996583673178338,0.22479795041895123,0.11439176207376496,0.20890507185549484
AD-idea,0.2052044741018277,0.7120341394025604,0.23885609692114293,0.06308402539698256,-0.3609127463445368,-0.13778694522011373
