,ecoli,glass,ionosphere,sonar
cSIL,-0.1995660144052425,-0.3870745094759232,-0.14796752866111967,-0.48598956023187523
GD43,-0.1455282753373709,-0.41848869060392385,-0.6650510284162778,-0.4036624879392737
GD53,-0.18945501815174562,-0.14493792996393828,-0.4451593543102637,-0.055981445502655866
PS,-0.4945006038269639,0.06201482235788616,0.08808131517823294,0.24953974752310393
rCIP,0.34898792827209263,0.6817186650196143,0.18978947185509684,0.29513551700611856
WB,-0.6511564128348112,-0.49116181663513797,-0.26689121141485056,-0.3919545048986013
XB,0.025233231171905443,0.44164542029909687,0.5102351751706635,0.34229997444671373
SSE,-0.37315478909464306,0.06925948851564905,0.5009936287750641,-0.27178370837538035
RS,-0.3680866624005851,-0.2531008415669744,-0.7102710231082847,-0.2556268741033474
DH,-0.24106710123815536,0.14729070500021607,0.5547762333173147,-0.42391694902027766
B,-0.3303461890324994,0.14810904860852006,0.5677156098761744,-0.1980729493058253
BH,-0.20750393633154376,-0.12374144461626883,0.3213338233583611,-0.7173140481844255
D,-0.14389393001933917,-0.4242768801950187,-0.4821392757850388,0.14098722309414893
H,0.34419099215265514,0.6989200115771741,0.6867835210823816,0.2987159636031009
DBCV,-0.5542066416954496,-0.006448373374066822,0.39273508128277274,-0.21898435916564468
I,-0.7577350206534196,-0.2897527707028541,-0.26431374899121723,-0.06066473898876707
C,-0.515146700102567,-0.01934802477171267,-0.40080010805478716,0.6957332434497949
VIASCKDE,0.5829201210068757,-0.18608212494486365,-0.37906991843090787,-0.5581569166423206
COP,0.21886227991286136,0.10978515773041893,0.2167610786019099,-0.7759354350839659
Sym,0.27986437921980506,-0.011004040098769305,0.21544812607558156,-0.6509948003439117
CS,-0.19641951860940995,0.2021078730669776,0.6598570808668983,-0.32566612965566444
SF,-0.6298843497294063,-0.35411800729815895,-0.19643824261043447,-0.527097099455592
SD,-0.3976902838439186,-0.047289940881157476,0.49850695045910687,-0.6849461549184934
SDbw,-0.3300889598936569,-0.1822863102425854,0.6207982927367273,1.0
XB*,0.11677801587472547,0.12648459464208447,-0.14410472407543162,0.6557888164440446
S,0.3567580768298539,-0.01731938902638085,0.3755943026030696,-0.6488816775790374
DB,-0.17079257327954064,0.1100612715864852,0.6115745145129236,-0.154176220547477
CH,0.6306400199107017,0.3024074843994811,0.4088841293626882,-0.30361862634907394
AD-S,-0.059879923422745764,-0.09859868786070405,0.37055003247748464,-0.4440092404527999
AD-DB,-0.008234636799351481,0.43010660924933053,0.03506787085711217,0.48889243635714813
AD-CH,-0.4375178242712517,0.11117717319795718,0.47613433654085274,-0.39768401430915795
AD-idea,0.2297863021662465,-0.19376697693952138,-0.28316981655823786,0.5779571678431186
