Metric,Correlation,P-value
cSIL,0.47276946887793836,0.012762163427068271
GD43,0.46277055497774355,0.015071517932959083
GD53,0.05321696937936939,0.7920685854756632
PS,-0.08308483093333231,0.6803345880804914
rCIP,-0.08332930955491398,0.6794431099978555
WB,-0.31916087884771277,0.10465413765663906
XB,-0.512408966130087,0.006282323171914262
SSE,-0.09759113536345668,0.6282000112887711
RS,0.5433082160489487,0.003403580600653604
DH,-0.23912857526474196,0.22964380234741172
B,-0.1130372315848695,0.5745453258113027
BH,0.0824645371518531,0.6825983357540766
D,0.5361733496255582,0.003941055879414698
H,-0.45972535310050666,0.015839772309912264
DBCV,0.5311398057043379,0.00436230732932793
I,0.3756800595132748,0.05346676575604707
C,-0.3030684359776782,0.12437368734202182
CDbw,0.2151450100677578,0.2811627970644384
VIASCKDE,0.23511110216470368,0.257920465290474
COP,-0.015450629605486595,0.9390298656390208
Sym,0.41299454785885154,0.03226894425480995
CS,-0.3570535804162861,0.06750249530826329
SF,0.5095952212412361,0.006624665333881764
SD,-0.28974394364203127,0.14265584662256484
SDbw,-0.240380073074167,0.2271415629708099
XB*,-0.5723435228850319,0.0018110427706408095
S,0.5658277898579652,0.0020969338896182394
DB,-0.4363335465925875,0.02288379609874651
CH,0.1930982114215003,0.3345382582237001
AD-S,0.5828388034427847,0.0014210269973165726
AD-DB,-0.6469151458634108,0.0002657662128804932
AD-CH,0.13391746334891333,0.5054505693587384
AD-idea,0.22735715800488088,0.2540800067083848
