,ecoli,glass,ionosphere,sonar
cSIL,-0.10105237415324017,-0.03129917558621071,-0.0036515915736249037,-0.0032770496557529413
GD43,-0.22951859288792667,-0.07095366616518306,-0.3434378918528239,-0.009697579073154836
GD53,-0.15217990547707036,-0.19029257563020405,-0.3393775719689944,0.0009829259550923415
PS,-0.03801546666558334,-0.003967714565496047,-0.010959378508896701,0.0005673977213642549
rCIP,0.005145173672797644,0.004004320235882755,1.0645402553989067e-13,-1.7400835552076167e-28
WB,-0.017965145790321484,-0.006527224674694048,-0.0006902478413966098,-4.234447911926877e-05
XB,0.07623682253446916,0.002068317064753846,0.06177843530570092,0.0016959911227349272
SSE,-6.140247957714775e-05,-3.7710799974370685e-07,8.757542529181466e-06,-7.186537795477335e-07
RS,-0.03320770878636073,-0.007572464134170137,-0.064405410852788,-0.00034433835993237494
DH,-0.13633228240846895,0.00891531859510658,0.19575658502987914,-0.010732855618355318
B,-0.06478778193328168,0.010027859261748723,0.151319726909822,-0.0014631187059207132
BH,-0.0011747622849291783,-0.0012970303016586937,-9.501210826185603e-05,-3.203497611779583e-05
D,-0.11487241610784656,-0.1455969564917797,-0.16067177741915148,-0.0017527456340395318
H,0.0545346883371039,0.030868977620880117,0.0611591350823176,0.0005258849601986799
DBCV,-0.37680708627730064,-0.020457055911323872,0.14213972546227724,0.02102212568524546
I,-0.00017169964123575548,-6.417093639348814e-05,-1.481560830834734e-05,-0.0006316479040814522
C,-0.5105876852185176,-0.015083448210456072,-0.13328841837551553,0.037520029946354616
VIASCKDE,0.04528829367520579,0.020157831013290987,-0.02275364985055376,-0.044299060202663186
COP,-0.0006049465406692256,0.003589837429679495,0.02083250644149148,-0.004433393225810243
Sym,0.0035236402166513637,-0.001017785907639884,0.0001173118808170793,-0.015896036718687702
CS,-0.021581618693882407,0.004370823650411944,0.045930693706412354,-0.0023204857849308523
SF,-0.4484688888298306,-0.2953167068236323,-0.016894587192901125,-0.06329616951535419
SD,-1.9868167752546968e-05,-8.148422555877342e-07,0.00022109568582897291,-0.0013847273083734042
SDbw,-0.06555663450128797,-0.01459936078672875,0.16315411445486458,0.0003728844418257815
XB*,-0.0025070782035508847,0.0009255685303551644,-0.0012593417983082903,0.006424352904195306
S,0.1331860153751924,-0.014483119711535554,0.26776258081320287,-0.08301340279917507
DB,-0.026939734331471083,0.0022930771234346984,0.030873893259719495,-0.00018228135788294546
CH,0.0011493885436464376,0.0001410902174127951,0.0007322585767939207,-0.0003274028632578227
AD-S,-0.15474730428871916,-0.03379310815535394,0.06684144815050676,-0.014849721495128528
AD-DB,0.0017664063059450326,0.0065794661199737444,-0.0004508898010494217,0.000731232302992893
AD-CH,-0.0004841773995550479,-4.20978819607042e-06,0.0012719656731461253,-0.00018671581122596992
AD-idea,0.008166527538055688,0.0005604076438628358,-0.005521362939659516,0.0017813017284350656
