,coil20,olivetti,yaleA
cSIL,-0.2831350452072269,-0.5048336179975903,-0.6054261089546132
GD43,0.05342498268928348,-0.007435426321383901,-0.6354749181594036
GD53,-0.15703245907696614,0.21189251201814954,-0.02354785090126491
PS,0.32890324116044173,0.2315157378667771,0.07320457573974648
WB,0.5541871208018624,0.31002869340051786,0.24644109238520406
XB,0.14007020425211883,-0.11073486881800967,-0.6354419765157385
SSE,0.6498346701257574,0.3792206213701332,0.33579184889991126
RS,0.16604140634909303,-0.586409893304132,-0.7325817808866971
DH,-0.31222174545980297,-0.21286496465448543,-0.02750288485688577
B,0.8605510063313857,0.4780147734549362,0.2147382648542545
BH,0.650500061925149,0.4100435154023885,0.6529602301693898
D,-0.12310977925406973,-0.01926347233485055,-0.6182820524377696
H,-0.09887045912594565,-0.6014672545163713,-0.8089892689815134
DBCV,0.7006643751364136,0.5571003545755929,0.460439032715041
I,0.7108899054157771,0.03282847091794222,-0.08701193317698959
C,0.12771319483893576,0.35154918272455726,-0.2863915146509799
VIASCKDE,,,
COP,0.4764457467509844,0.6053765195015844,0.8411764399249186
Sym,0.8247611207403301,0.16578206340743282,0.0767268007351162
CS,-0.11902163121117183,-0.49588593116654534,-0.5934964984264715
SF,-0.36741532799052606,-0.5173888025160276,-0.5958168772633552
SD,0.8630992681828467,-0.0586385813634826,0.060818125939045564
SDbw,,,
XB*,-0.15577471989838723,-0.38665935566099185,-0.681315995778104
S,0.8018646468197734,0.5383924959208225,0.191616599991545
DB,0.13526075124034084,-0.2972674198967412,-0.4936010995458557
CH,0.7511630287510296,0.688421565921921,0.39030472085355233
AD-S,0.6725895005208996,0.5604625589808566,0.27352907251664016
AD-DB,0.24757786737258217,-0.41946073007264034,-0.350135586984716
AD-CH,0.9132827483632798,0.5110079634906347,0.09950708533622113
AD-idea,0.9228612519864148,0.8600980386536026,0.8268912621743831
