,coil20,olivetti,yaleA
cSIL,-0.7261625016341468,-0.6093752465539242,-0.6310926242281533
GD43,-0.21987222679333815,-0.013512120244618736,-0.47702546215102776
GD53,-0.15095452819853514,0.7286218381965031,0.4307218157664183
PS,0.42413715482484327,0.5321806821981898,0.39953889385307617
WB,0.36833216298535054,0.5013671764931658,0.4334031296868337
XB,-0.1436020416996847,-0.07308364234753624,-0.5153160175763896
SSE,0.07437211257407447,0.6444064979346689,0.6735397637502866
RS,-0.14594504642495795,-0.5235826755095547,-0.633987371089196
DH,-0.5034834637265235,-0.052885157838829924,0.12408526344241615
B,0.1217915410541168,0.17768205662409686,0.16284358161478316
BH,0.4611412834452299,0.358700926769361,0.6415569803925105
D,-0.4043929351798811,0.05269029186536916,-0.6528876598320525
H,-0.44934093938446573,-0.5398316367449641,-0.7318761129850625
DBCV,0.35522399342233224,0.8389429109857856,0.7268569261450999
I,0.5023695096937992,-0.11136171155639085,-0.182132546230441
C,-0.19389073611443347,0.40281282708226035,0.022308248150417372
VIASCKDE,,,
COP,0.3047273670544969,0.6800457720409782,0.870260797244174
Sym,0.433885887847563,0.0983179851724235,0.41091878842902974
CS,-0.4847531799228132,-0.10839178961060927,0.02511526525438508
SF,-0.3528700266471317,-0.2853322574158577,-0.5247816933821896
SD,0.3916915522584037,0.16876664364191535,0.3348341339875522
SDbw,,,
XB*,-0.42324638790460745,0.16750017443259949,-0.31994891802508596
S,0.43903954963922265,0.7564453032377295,0.6145834523178253
DB,-0.35104505054828755,0.14842369551349824,0.03552151261714871
CH,0.5534338237913231,0.8479124116613641,0.5428562667302507
AD-S,0.6613765095046638,0.6978592481087319,0.5190396947612033
AD-DB,-0.05336784013271471,-0.060237943880140754,0.01856047131501623
AD-CH,0.8218480375932843,0.18428198078946958,-0.07648153828836947
AD-idea,0.941651913795246,0.8686467497943136,0.8819538208760143
