,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast
cSIL,0.26078646126747684,-0.08449608954395223,0.05156871564067681,-0.7146984888323846,-0.13366047726518154,-0.4254577046657439,-0.44115912239131716,-0.6857439076480957
GD43,0.493634077465764,0.1317044570208232,-0.23805676746601676,-0.698844231269323,0.31393859963050663,-0.06913719738939435,-0.22192290686184413,-0.6563997348389312
GD53,0.1726406228183464,0.1706899991245566,-0.1874593774380647,0.061480515564394114,0.3392883637237218,0.2546276333969695,-0.33568690985911476,0.12406780587404061
PS,0.06469862297143783,0.06040921471091989,0.14471950266676303,0.5756910970232906,0.09780303670890575,0.5479905124904569,0.6465642452743707,0.1842348387994667
rCIP,0.3413981187918184,-0.11761967249553701,-0.38919281492428065,-0.5576092923805946,-0.47121118229924197,-0.20504824676861355,-0.6022912600360198,-0.6682787583661342
WB,0.33516361792213406,0.35396682157679343,0.41087449743580307,0.6669522348021305,0.5907782491607859,0.8310998314331542,0.5908823560706972,0.8569541904883875
XB,0.5190616355898411,0.14252393790746398,-0.13014283836970714,-0.5513305787511918,0.21143852385697834,-0.02353306788292519,-0.3340977110312161,-0.46306390205154896
SSE,0.12685530555560393,0.3991544596074949,0.6246924891756211,0.621300817706377,0.7377062844001346,0.33680715565369523,0.37281874751859784,0.6429058958435276
RS,0.3335289944595954,-0.06211108137016427,-0.20121401729349137,-0.46901384033054994,-0.14052703277129552,0.03700082605462466,-0.5728250355831023,-0.4714013501298828
DH,-0.1579996515132055,-0.17843042973565248,0.2581918514262118,-0.19809587101620968,0.052934169542446986,-0.5238392989922421,0.20182781702510055,-0.22762547257877178
B,0.20472122568049966,0.265263386341172,0.08969458719735036,-0.5705683492733106,0.4973925432349267,-0.5757624139163583,-0.2013134006568676,-0.3952905355436238
BH,-0.052735936824406804,0.3212503543879009,0.5139951848122131,0.3067034586379266,0.6209879697481939,0.09686298738651285,0.518350415907312,0.5708855202678644
D,0.34612193982173006,0.05841568879818835,-0.3950327269189487,-0.5271397344948288,-0.5312870165941797,-0.37543702140031493,-0.6194207457784263,-0.6352990341367433
H,0.33688250248209145,-0.07351880632141007,-0.29624237541063897,-0.5534889768557312,-0.5131910354695706,-0.2489522199822157,-0.5645794681347046,-0.6074177933171606
DBCV,0.20154127863811935,0.15345951101122365,-0.1826655093876354,-0.6515236993820509,0.04625899243000373,-0.6178642733496317,-0.1718328170444104,-0.6667252724800179
I,0.4350029092485709,-0.02679919254559998,-0.08129584447761941,-0.5174232136149557,0.08719921057508057,-0.09449003055061435,-0.3252362368699911,0.24427075737711473
C,0.29204128735377205,0.4582667718845097,0.38418738535036634,-0.27809529313184433,0.45742196120052675,-8.329911485152317e-05,0.5341963130863788,-0.43111361656104047
VIASCKDE,0.5989426196100337,0.0981503542678239,0.22547793492749352,-0.6958470040323357,0.27254351105807356,-0.03007024660710331,-0.16943704962613945,-0.3758470222024925
COP,0.30597189076273273,-0.22805857910693675,0.24656748586728444,0.41642755724988584,0.42365419814389293,0.49225335649838003,-0.09285849388560262,0.32072185776189843
Sym,0.5533081406041338,0.2292876175266835,-0.02958061966868571,-0.5783495622525934,0.5647546881574376,-0.05907936323975786,-0.09806354681548833,0.22643657654202998
CS,0.2316451403136398,-0.06749629955038113,-0.05157708759314863,-0.6400184922996909,-0.44005188644814774,-0.4301075039742507,-0.49383352785468904,-0.7582095640245686
SF,0.28125215860006453,-0.14527137781911778,-0.19812979000287242,-0.3015487300991072,-0.45069413453789825,0.05656543867103369,-0.5530531180332174,-0.4740004871068445
SD,0.10000342264393744,0.06634880240282794,0.1344845329215936,-0.47107977693663505,0.20822711335657956,-0.20420137243428974,-0.17369613178495905,-0.15851478310050168
SDbw,-0.02767033359657104,-0.35848857754439356,-0.014241937563396393,-1.0,0.10980249192388954,-0.09803483872132265,-0.1702593822405138,-0.11051991040957196
XB*,0.4474590107400922,0.08493552346365592,-0.2824532871731484,-0.6475136525181312,0.024119262864659624,-0.1986011088665796,-0.4080813810845654,-0.6603813742143227
S,0.5921283864745388,0.24715812504955684,0.13903385189478124,-0.5737669392354591,0.34701177892035123,-0.25686777176785014,0.07345718571135161,-0.511288960219361
DB,0.25708160515851186,-0.12065833816179156,-0.0962330820778427,-0.6554220000577885,-0.10201841613104311,-0.3968679533363832,-0.48596961132904865,-0.6486197775742819
CH,0.3975148496073195,0.3016466088997288,0.4395668529472285,0.5535349887458113,0.45664071208766416,0.8028411406884599,0.3642120793360554,0.8233575134750188
AD-S,0.21189415319204508,0.03910079434620973,-0.260079944431536,-0.6749282322696687,-0.21740201207993057,-0.43878436434117546,-0.6640370514425279,-0.7599255681287973
AD-DB,0.17707352646743035,-0.08774455638022165,-0.22915289708245293,-0.6862153057142335,-0.3614860841896663,-0.40827779619630217,-0.6952128538847958,-0.7503855028711913
AD-CH,0.5447888695649582,0.36795190798177585,0.26415770475763156,0.3824042497717302,0.15478361784210354,0.8022826094440068,-0.11744877662894022,0.6843988116961904
AD-idea,-0.13536041992772668,-0.32320685467871646,0.1157776228077741,-0.318437242591723,0.36872003199924114,0.23245825575417423,-0.07629777830136587,-0.24123966471058975
