,KMeans,MeanShift,DBSCAN,SpectralClustering,AgglomerativeClustering,HDBSCAN
cSIL,-0.5821428571428571,,,-0.28690376952431607,-0.6928628956037806,-0.5774369124195943
GD43,-0.5045612203863267,,,-0.31248007316534515,-0.4278748189927669,-0.6585790378181435
GD53,0.2290464342892718,,,0.23966678964869428,0.6150125261080513,-0.7840518953311975
PS,-0.5964285714285713,,,0.13504656523681166,0.02230899897281937,-0.2637308263236022
WB,-0.9071428571428571,,,-0.16345964763688003,0.11119948903336034,0.13805047006432458
XB,-0.475,,,-0.42001956848440064,-0.48728171768494516,-0.6516575952498763
SSE,-0.4392857142857142,,,-0.2441740642561068,0.06611188927138589,-0.5210291934685799
RS,-0.8892857142857141,,,-0.4581906483758046,-0.8093284030718788,-0.6328550222662049
DH,-0.45357142857142857,,,-0.43928771928349214,-0.7660524674384415,0.53686293913904
B,-0.4464285714285714,,,-0.09398920415727578,-0.2225686926142307,0.35873330034636314
BH,-0.09642857142857142,,,0.0812464426619508,0.4955116766723079,0.16674913409203362
D,-0.48268766608168373,,,0.1184074400281305,0.8140623892238442,-0.6503222606253078
H,-0.9035714285714285,,,-0.39935223647841095,-0.8057396542421937,-0.7060860959920832
DBCV,0.06280916963166586,,,-0.11587142034300534,0.7135989960257714,-0.8684669657468053
I,-0.9178571428571428,,,-0.33932170127659395,-0.3190310030917583,-0.6546264225630876
C,-0.5071428571428571,,,-0.029294486526902544,0.05819476558325632,0.026224641266699655
VIASCKDE,,,,,,
COP,-0.23214285714285712,,,0.1578323511463461,0.5225460872729755,0.739732805541811
Sym,-0.6,,,-0.26383567616878867,-0.004429509168715035,-0.6110836219693221
CS,-0.5321428571428571,,,-0.2972449317752524,-0.744473480148873,-0.5150915388421573
SF,,,,,,-0.637647995413142
SD,0.36071428571428565,,,0.0548033336691608,0.019646520623902625,-0.6269173676397823
SDbw,,,,,,
XB*,-0.4647750309651827,,,-0.442811182566313,-0.5574532484240832,-0.6922507480223795
S,-0.8714285714285713,,,-0.02984454776899787,0.14344881887713137,0.12914398812469075
DB,-0.4571428571428571,,,-0.32737973565315337,-0.6639914561097234,-0.4844136566056408
CH,-0.3892857142857143,,,0.21713035835940353,0.3237639151912849,0.8238495794161306
AD-S,-0.8035714285714285,,,0.12243300704357625,0.04255584198219776,0.8159327065809006
AD-DB,-0.5107142857142857,,,-0.2197160997224217,-0.7272936801733064,0.37753587333003463
AD-CH,-0.3892857142857143,,,0.1428928232557416,0.3983038083361583,0.5279564571994062
AD-idea,-0.7607142857142857,,,0.49731496901939776,0.03975096668929647,0.7872340425531914
