,AgglomerativeClustering,DBSCAN,HDBSCAN,KMeans,MeanShift,SpectralClustering
cSIL,0.2883353183759914,-0.4362466176153666,-0.17536137617432465,0.6173231274242338,0.35163490809394643,0.44177760533254257
GD43,0.46963121137584224,-0.4139355936910662,-0.10932491099085219,0.5229393879675365,0.31417155030926064,0.3498992301185562
GD53,0.023598155167528386,0.1404590202401742,0.24624365397249529,-0.5385474300408646,0.0394870943674344,-0.10221808289983002
PS,0.020311842704790462,0.3896080162955484,0.6163253966994899,-0.37032071421460594,0.055507372228931276,-0.05023832582443437
rCIP,-0.015210420405756929,-0.2892593957586586,-0.04791470384163789,-0.2987963538352178,0.15727493019800692,-0.04764597854269889
WB,0.6823707482318581,-0.37107340065131383,-0.07289031283551325,0.7795122402877495,0.40010357899118426,0.6405847225908498
XB,0.3275449046215897,-0.45905851620399274,-0.14818162235290117,-0.016969906850608632,0.24868827958403966,0.21940759986505973
SSE,0.3531383844370067,0.3277972652633902,0.4415526938982207,0.3126072012883925,0.11724049174309871,0.335101483203446
RS,0.5631116945445762,-0.24959859333805515,-0.08531888914318886,0.7262832632377627,0.4596655055110917,0.592310024703851
DH,0.2740497675388774,-0.4119689879850501,-0.11361899109614487,0.7400212762910379,0.05286701204954268,0.47316724527853216
B,0.549103480770937,-0.4036310463678195,-0.0866291943425829,0.7775124702929679,0.21653244161196025,0.6368647037764179
BH,0.41359674580259687,-0.545101040414353,0.199684554413747,0.5387839629276945,0.07771626027290411,0.4517533976970807
D,0.04361013985400418,-0.15401636426503112,0.09086706761797822,-0.3292000326717807,0.1919194545377797,0.009790682993593588
H,-0.08983689614771205,-0.4455429603783476,-0.18441809368657042,-0.2526414058005954,0.22603299952854747,0.006256484393748156
DBCV,0.3909489474648016,0.6557993859963146,0.7383212825068026,0.6330595595837011,0.4018110341099846,0.6122199382497058
I,0.5093265729781646,-0.46235485326376186,0.12442536604843142,0.36986030687939575,0.4231698758185292,0.42378690944742475
C,0.662830417076184,0.38880401070094694,0.2589746714896398,0.8196218429011856,0.3956455663666239,0.6684236070676152
CDbw,0.34648511044116714,-0.06909328987291162,0.20785095984300028,0.619202762111,0.10695147642952106,0.2815199925907312
VIASCKDE,0.43080655290616104,0.43376688574290445,0.3933339808097023,0.5214009959397942,0.14522562934208838,0.45890090619584817
COP,0.42631521890090357,0.2214781861117454,0.2543290083380343,0.5800252215019569,0.1358277138551883,0.4915712093785739
Sym,0.23442634354255756,0.35956508927451253,0.33672860577981545,0.13493378388342883,0.283515355924962,0.23577663961161674
CS,0.17751752342424273,-0.16313133285458042,0.14120470728742313,0.5608608486997549,0.2912558472617415,0.45417760327884943
SF,-0.05419861171133786,-0.013887902149804126,0.327498145342595,-0.020894102863191058,0.3092287898572605,0.1283868733477437
SD,0.02757787116914398,0.03586137632607632,0.26167943182726394,-0.2179837771002504,0.036859861015559284,0.018425962370868354
SDbw,0.49780675091860926,-0.21595003210655722,0.10200640796527852,0.7741832359144623,0.2787208110157547,0.6542106811647471
XB*,0.20512796491541258,0.09994189220013408,0.04482301602158351,-0.27750777969740725,0.24418032556065272,0.09699094619492225
S,0.5661133564559748,0.5103229536418668,0.44114331017908237,0.6980634508284416,0.5035034030016714,0.6101431666050873
DB,0.31213232179079087,-0.11515982052782948,0.10714098890721421,0.6635658517839035,0.35479864177843445,0.44734282740881415
CH,0.6133204257137047,0.20031222631683882,-0.0013583488191297192,0.7407842419556617,0.2121293135456281,0.6321725242120889
AD-S,0.49934747620769926,0.7646938613643635,0.7508090892212135,0.661502870426482,0.565022540321278,0.7104443955058218
AD-DB,0.2756983998304598,0.4537412400816231,0.5584392140980071,0.49520348637778194,0.4369306280010498,0.5133988853079398
AD-CH,0.6412405664259834,0.628309163849451,0.3252140005153855,0.5102981660930492,0.3307737974435006,0.4839689098507117
AD-idea,0.6141713509201269,0.3812672885583792,0.5302235882265592,0.7960647855346442,0.38076912195500634,0.696118269125684
